,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P29274,IC50,=,6068.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,aa2ar
1,CHEMBL10,P29274,Ki,=,3407.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,aa2ar
2,CHEMBL100003,P30543,Ki,=,11500.0,nM,C\1(=C(/O)\OC)/C(=NC(=C(C1CCC)C(=O)OCC)C)C,aa2ar
3,CHEMBL100004,P30543,Ki,=,7100.0,nM,C\1(=C(/O)\OCC)/C(=NC(=C(C1C)C(=O)OCCSc1ccccc1)C)C,aa2ar
4,CHEMBL100071,P30543,Ki,=,35900.0,nM,C1(=C(N=C(/C(=C(\O)/OCC)/C1C)C)c1ccccc1)C(=O)OCC,aa2ar
5,CHEMBL100071,P30543,Ki,=,35900.0,nM,C1(=C(N=C(/C(=C(\O)/OCC)/C1C)C)c1ccccc1)C(=O)OCC,aa2ar
6,CHEMBL100071,P30543,Ki,=,28400.0,nM,C1(=C(N=C(/C(=C(\O)/OCC)/C1C)C)c1ccccc1)C(=O)OCC,aa2ar
7,CHEMBL100071,P30543,Ki,=,35900.0,nM,C1(=C(N=C(/C(=C(\O)/OCC)/C1C)C)c1ccccc1)C(=O)OCC,aa2ar
8,CHEMBL100121,P29274,Ki,>,10000.0,nM,c12c(c(cc(n1)c1ccccc1)N1CCN(CCC(=O)OCC)CC1)ccc(n2)C,aa2ar
9,CHEMBL100121,P29274,Ki,>,10000.0,nM,c12c(c(cc(n1)c1ccccc1)N1CCN(CCC(=O)OCC)CC1)ccc(n2)C,aa2ar
10,CHEMBL100195,P30543,Ki,=,135.0,nM,n12c(nc(n2)c2occc2)c2c(nc1NC(=O)CCCNC(=O)OC(C)(C)C)ccc(c2)Cl,aa2ar
11,CHEMBL100195,P30543,Ki,=,19.9,nM,n12c(nc(n2)c2occc2)c2c(nc1NC(=O)CCCNC(=O)OC(C)(C)C)ccc(c2)Cl,aa2ar
12,CHEMBL100346,P29274,Ki,=,10000.0,nM,c12c(c(=O)n(c(=O)n1CCC)CCC)n(nn2)C1CCCC1,aa2ar
13,CHEMBL100347,P29274,Ki,=,13000.0,nM,c12c(nn(n2)C2CCCC2)c(=O)n(c(=O)n1CCC)CCC,aa2ar
14,CHEMBL100348,P29274,Ki,=,1660.0,nM,n1(c2c(nc1)c(nc(n2)c1cn(nc1)CCCc1ccccc1)N)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,aa2ar
15,CHEMBL100348,P30543,Ki,=,1280.0,nM,n1(c2c(nc1)c(nc(n2)c1cn(nc1)CCCc1ccccc1)N)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,aa2ar
16,CHEMBL100382,P30543,Ki,=,28.3,nM,n12c(nc(n2)c2occc2)c2c(nc1NC(=O)CCc1ccccc1)ccc(c2)Cl,aa2ar
17,CHEMBL100389,P29274,Ki,=,250000.0,nM,c12c(nn(n2)C2CCCCC2)c(=O)n(c(=O)n1C)C,aa2ar
18,CHEMBL100426,P30543,Ki,=,453.0,nM,n12c(nc(n2)c2occc2)c2c(nc1NC(=O)C(c1ccccc1)(c1ccccc1)C)ccc(c2)Cl,aa2ar
19,CHEMBL100440,P29274,Ki,=,13500.0,nM,c12c(n(nn2)C2C(O)CCCC2)c(=O)n(c(=O)n1CCC)CCC,aa2ar
20,CHEMBL100513,P29274,Ki,>,100000.0,nM,n1(c2c(nc1)c(nc(n2)c1cn(nc1)CC(=O)N(C)C)N)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,aa2ar
21,CHEMBL100513,P30543,Ki,=,21000.0,nM,n1(c2c(nc1)c(nc(n2)c1cn(nc1)CC(=O)N(C)C)N)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,aa2ar
22,CHEMBL100646,P30543,Ki,=,9720.0,nM,C1(=C(N=C(/C(=C(\O)/OC)/C1C)C)C)C(=O)OCc1ccccc1,aa2ar
