,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100063,P12821,IC50,=,2.4,nM,N1([C@@H](CN(C1=O)C)C(=O)O)C(=O)[C@@H](N[C@H](C(=O)O)CCCCCCCC)CC,ace
1,CHEMBL100413,P12821,IC50,=,1.7,nM,N1(C(=O)N(C[C@H]1C(=O)O)Cc1ccccc1)C(=O)[C@@H](N[C@H](C(=O)O)CCc1ccccc1)C,ace
2,CHEMBL100586,P12821,IC50,=,2400.0,nM,N1(C(=O)N(C[C@H]1C(=O)O)Cc1ccccc1)C(=O)[C@H](N[C@H](C(=O)O)CCc1ccccc1)C,ace
3,CHEMBL100826,P12821,IC50,=,2.3,nM,N1(C(=O)N(C[C@H]1C(=O)O)Cc1ccccc1)C(=O)[C@@H](N[C@H](C(=O)O)CCc1ccccc1)CC,ace
4,CHEMBL100966,P12821,IC50,=,2400.0,nM,N1([C@@H](CN(C1=O)C)C(=O)O)C(=O)[C@H](N[C@H](C(=O)O)CCCCCCCC)C,ace
5,CHEMBL101360,P12821,IC50,=,1.6,nM,N1([C@@H](CN(C1=O)C)C(=O)O)C(=O)[C@@H](N[C@H](C(=O)O)CCCCCCCC)C,ace
6,CHEMBL101409,P12821,IC50,=,11.0,nM,N1(C(=O)N(C[C@H]1C(=O)O)Cc1ccccc1)C(=O)[C@@H](N[C@H](C(=O)O)Cc1ccccc1)C,ace
7,CHEMBL101469,P12821,IC50,=,1.5,nM,N1(C(=O)N(C[C@H]1C(=O)O)Cc1ccccc1)C(=O)[C@@H](N[C@H](C(=O)O)CCCCCCCC)C,ace
8,CHEMBL1017,P12821,Inhibition,=,97.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,ace
9,CHEMBL1017,P12821,Ki,=,6000.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,ace
10,CHEMBL102044,P12821,IC50,=,10000.0,nM,N1([C@@H](CN(C1=O)C)C(=O)O)C(=O)[C@@H](N)C,ace
11,CHEMBL10247,P12821,IC50,=,140.0,nM,C(=O)(C(Cc1ccccc1)CS)NCC(=O)O,ace
12,CHEMBL10247,P12821,IC50,=,316.23,nM,C(=O)(C(Cc1ccccc1)CS)NCC(=O)O,ace
13,CHEMBL10247,P12822,IC50,=,420.0,nM,C(=O)(C(Cc1ccccc1)CS)NCC(=O)O,ace
14,CHEMBL10247,P47820,Ki,>,100.0,nM,C(=O)(C(Cc1ccccc1)CS)NCC(=O)O,ace
15,CHEMBL104054,P12822,IC50,=,8.0,nM,N1(C(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)S)CCC[C@@H]1C)CC(=O)O,ace
16,CHEMBL104054,P12822,IC50,=,8.2,nM,N1(C(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)S)CCC[C@@H]1C)CC(=O)O,ace
17,CHEMBL10465,P12821,IC50,=,10.0,nM,N1(C(C(=O)O)CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,ace
18,CHEMBL10521,P12821,IC50,=,3.0,nM,N1(C(=O)C(CC(=O)C(NC(=O)C(NC(=O)C2CCC2)CCCCN)Cc2ccccc2)C)C(C(=O)O)CCC1.C(C(=O)O)(F)(F)F,ace
19,CHEMBL105790,P12821,IC50,=,3162.28,nM,N12N(C(=O)C(C1=O)(CS)C)CCCC2C(=O)O,ace
20,CHEMBL105833,P47820,Inhibition,=,55.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C1CCCC1)C(C)C,ace
21,CHEMBL105833,P47820,Inhibition,=,34.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C1CCCC1)C(C)C,ace
22,CHEMBL105833,P47820,Inhibition,=,33.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C1CCCC1)C(C)C,ace
23,CHEMBL105833,P47820,Inhibition,=,38.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C1CCCC1)C(C)C,ace
24,CHEMBL105866,P47820,Inhibition,=,67.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OC(C)C)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C)C(C)C,ace
25,CHEMBL105866,P47820,Inhibition,=,78.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OC(C)C)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C)C(C)C,ace
26,CHEMBL105866,P47820,Inhibition,=,81.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OC(C)C)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C)C(C)C,ace
27,CHEMBL105866,P47820,Inhibition,=,85.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OC(C)C)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C)C(C)C,ace
28,CHEMBL105890,P12821,IC50,=,3.981,nM,N1(C(=O)C(NC(C(=O)O)CCc2ccccc2)CCCCN)C(C(=O)O)CCC1,ace
29,CHEMBL105971,P12821,IC50,=,3.162,nM,N1(C(=O)C(NC(C(=O)O)CCc2c3c(ccc2)cccc3)C)C(C(=O)O)CCC1,ace
30,CHEMBL106037,P47820,Inhibition,=,35.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(OC(=O)CC)cc2)CCCC1)[C@H](SC(=O)C)C(C)C,ace
31,CHEMBL106037,P47820,Inhibition,=,4.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(OC(=O)CC)cc2)CCCC1)[C@H](SC(=O)C)C(C)C,ace
32,CHEMBL106037,P47820,Inhibition,=,23.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(OC(=O)CC)cc2)CCCC1)[C@H](SC(=O)C)C(C)C,ace
33,CHEMBL106037,P47820,Inhibition,=,50.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCC)Cc2ccc(OC(=O)CC)cc2)CCCC1)[C@H](SC(=O)C)C(C)C,ace
34,CHEMBL106039,P47820,Inhibition,=,16.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCCCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C(C)C)C(C)C,ace
35,CHEMBL106039,P47820,Inhibition,=,25.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCCCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C(C)C)C(C)C,ace
36,CHEMBL106039,P47820,Inhibition,=,27.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OCCCC)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C(C)C)C(C)C,ace
37,CHEMBL106193,P12821,IC50,=,158.49,nM,C(=O)(N1C(C(=O)O)CCC1)C1CCC1S,ace
38,CHEMBL106198,P47820,Inhibition,=,29.0,%,C(=O)(NC1(C(=O)N[C@H](C(=O)OC2CCCC2)Cc2ccc(cc2)O)CCCC1)[C@H](SC(=O)C)C(C)C,ace
