,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100020,P37136,ID50,=,12.0,mg.kg-1,N(C(=O)c1ccccc1)C(=S)NCCC1CCN(Cc2ccccc2)CC1,aces
1,CHEMBL100020,P37136,ID50,=,50.0,mg.kg-1,N(C(=O)c1ccccc1)C(=S)NCCC1CCN(Cc2ccccc2)CC1,aces
2,CHEMBL100020,P37136,IC50,=,13.0,nM,N(C(=O)c1ccccc1)C(=S)NCCC1CCN(Cc2ccccc2)CC1,aces
3,CHEMBL100020,P37136,IC50,=,13.0,nM,N(C(=O)c1ccccc1)C(=S)NCCC1CCN(Cc2ccccc2)CC1,aces
4,CHEMBL100334,P22303,IC50,=,120.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccccc1)C,aces
5,CHEMBL100334,P37136,IC50,=,120.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccccc1)C,aces
6,CHEMBL100366,P22303,IC50,=,780.4,nM,N1(C2[C@](c3c1ccc(c3)OC(=O)Nc1ccccc1)(CCN2C)C)C=O,aces
7,CHEMBL100510,P22303,IC50,=,100.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)cccc2)C,aces
8,CHEMBL100510,P37136,IC50,=,100.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)cccc2)C,aces
9,CHEMBL100718,P37136,IC50,=,6.0,nM,C12C(=O)c3c(C(=O)C1C=CC(=C2)C(=O)NC(=S)NCCOCCN(Cc1ccccc1)C)cccc3,aces
10,CHEMBL100819,P37136,IC50,=,30.0,nM,c12c(C(=O)c3c1cccc3)ccc(C(=O)NC(=S)NCCOCCN(Cc1ccccc1)C)c2,aces
11,CHEMBL101028,P22303,IC50,=,1000.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)Nc1ccc(cc1)OC(F)(F)F)C,aces
12,CHEMBL101028,P37136,IC50,=,1000.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)Nc1ccc(cc1)OC(F)(F)F)C,aces
13,CHEMBL101155,P22303,IC50,=,1100.0,nM,N(C(=S)NC(=O)c1ccccc1)CCCOCCN(Cc1ccccc1)C,aces
14,CHEMBL101155,P37136,IC50,=,1100.0,nM,N(C(=S)NC(=O)c1ccccc1)CCCOCCN(Cc1ccccc1)C,aces
15,CHEMBL101482,P22303,IC50,=,1000000.0,nM,C(=O)(SCC(CC)C)OCC[N+](C)(C)C.[Cl-],aces
16,CHEMBL101482,P23795,IC50,=,800000.0,nM,C(=O)(SCC(CC)C)OCC[N+](C)(C)C.[Cl-],aces
17,CHEMBL101518,P22303,IC50,=,30.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)Cl)C,aces
18,CHEMBL101518,P37136,IC50,=,30.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)Cl)C,aces
19,CHEMBL101809,P22303,IC50,=,230.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)c1ccccc1)C,aces
20,CHEMBL101809,P37136,IC50,=,230.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)c1ccccc1)C,aces
21,CHEMBL101940,P22303,IC50,=,55.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(c(c1)Cl)Cl)C,aces
22,CHEMBL101940,P37136,IC50,=,55.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(c(c1)Cl)Cl)C,aces
23,CHEMBL101988,P22303,IC50,=,1800.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)Nc1ccc(cc1)Cl)C,aces
24,CHEMBL101988,P37136,IC50,=,1800.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)Nc1ccc(cc1)Cl)C,aces
25,CHEMBL102077,P22303,IC50,=,100000.0,nM,C(=O)(SCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
26,CHEMBL102077,P22303,IC50,=,80000.0,nM,C(=O)(SCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
27,CHEMBL102077,P23795,IC50,=,20000.0,nM,C(=O)(SCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
28,CHEMBL102078,P22303,IC50,=,1000000.0,nM,C(=O)(SCCCC)OCC[N+](C)(C)C.[Cl-],aces
29,CHEMBL102078,P22303,IC50,=,500000.0,nM,C(=O)(SCCCC)OCC[N+](C)(C)C.[Cl-],aces
30,CHEMBL102078,P23795,IC50,=,100000.0,nM,C(=O)(SCCCC)OCC[N+](C)(C)C.[Cl-],aces
31,CHEMBL102142,P22303,IC50,=,77.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)C)C,aces
32,CHEMBL102142,P37136,IC50,=,77.0,nM,c1ccc(cc1)CN(CCOCCNC(=S)NC(=O)c1ccc(cc1)C)C,aces
33,CHEMBL102201,P22303,Activity,>,10.0,ug,[C@]12([C@@H](C(CCC2)(C)C)CCC(=C)[C@H]1CC/C(=C/C(=O)O)/C)C,aces
34,CHEMBL102226,P22303,IC50,=,500000.0,nM,C(=O)(SCCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
35,CHEMBL102226,P22303,IC50,=,50000.0,nM,C(=O)(SCCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
36,CHEMBL102226,P22303,Ki,=,20000.0,nM,C(=O)(SCCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
37,CHEMBL102226,P22303,Ki,=,40000.0,nM,C(=O)(SCCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
38,CHEMBL102226,P23795,Ki,=,10000.0,nM,C(=O)(SCCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
39,CHEMBL102226,P23795,IC50,=,10000.0,nM,C(=O)(SCCCCCCC)OCC[N+](C)(C)C.[Cl-],aces
40,CHEMBL1025,O42275,Relative potency,=,13.0,%,P(=O)(F)(OC(C)C)OC(C)C,aces
41,CHEMBL1025,O42275,IC50,=,480.0,nM,P(=O)(F)(OC(C)C)OC(C)C,aces
42,CHEMBL1025,P04058,Kd,=,70000.0,nM,P(=O)(F)(OC(C)C)OC(C)C,aces
43,CHEMBL1025,P22303,Ki,=,6000.0,nM,P(=O)(F)(OC(C)C)OC(C)C,aces
44,CHEMBL1025,P22303,IC50,=,120.0,nM,P(=O)(F)(OC(C)C)OC(C)C,aces
45,CHEMBL1025,P22303,Kd,=,13000.0,nM,P(=O)(F)(OC(C)C)OC(C)C,aces
46,CHEMBL1025,P22303,Ki,=,1.3,10'5/M/min,P(=O)(F)(OC(C)C)OC(C)C,aces
47,CHEMBL102637,P22303,IC50,>,10000000.0,nM,C(=O)(SCC)OCC[N+](C)(C)C.[Cl-],aces
48,CHEMBL102637,P22303,IC50,>,10000000.0,nM,C(=O)(SCC)OCC[N+](C)(C)C.[Cl-],aces
49,CHEMBL102637,P23795,IC50,>,10000000.0,nM,C(=O)(SCC)OCC[N+](C)(C)C.[Cl-],aces
50,CHEMBL103153,P22303,IC50,=,50000.0,nM,C(=O)(Sc1c(CC)cccc1)OCC[N+](C)(C)C.[Cl-],aces
51,CHEMBL103153,P23795,IC50,=,10000.0,nM,C(=O)(Sc1c(CC)cccc1)OCC[N+](C)(C)C.[Cl-],aces
52,CHEMBL10347,O42275,Inhibition,=,12.39,%,c1ccc2c(c1)c1c([nH]2)[C@H]2N(CC1)C[C@@H]1[C@H](C2)[C@@H]([C@H](CC1)O)C(=O)OC,aces
