,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL104714,P56658,Ki,=,497.0,nM,n1(cnc2c1ccnc2N)[C@@H]([C@@H](O)CO)CCCCCC,ada
1,CHEMBL1090,P56658,Km,=,43000.0,nM,OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@@H]1O,ada
2,CHEMBL1090,P56658,Relative Vmax,=,1.0,Unspecified,OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@@H]1O,ada
3,CHEMBL1090,P56658,Km,=,120000.0,nM,OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@@H]1O,ada
4,CHEMBL109444,P56658,Compound remaining,=,100.0,%,n1(c2c(nc1)c(ncn2)N)[C@@H]1C=C([C@H]([C@H]1O)O)CF,ada
5,CHEMBL109444,P56658,Compound remaining,=,101.0,%,n1(c2c(nc1)c(ncn2)N)[C@@H]1C=C([C@H]([C@H]1O)O)CF,ada
6,CHEMBL112683,P56658,Ki,=,40000.0,nM,n1([C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)cnc(c1)NC=O,ada
7,CHEMBL113259,P56658,Compound remaining,=,82.0,%,n1(c2c(nc1)c(ncn2)N)[C@@H]1C=C([C@H]([C@H]1O)O)[C@@H](O)C,ada
8,CHEMBL113259,P56658,Compound remaining,=,74.0,%,n1(c2c(nc1)c(ncn2)N)[C@@H]1C=C([C@H]([C@H]1O)O)[C@@H](O)C,ada
9,CHEMBL115824,P00813,Ki,=,100.0,nM,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ccnc12,ada
10,CHEMBL115824,P56658,Ki,=,180.0,nM,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ccnc12,ada
11,CHEMBL115824,P56658,Ki,=,660.0,nM,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ccnc12,ada
12,CHEMBL115824,P56658,Ki,=,380.0,nM,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ccnc12,ada
13,CHEMBL115824,P56658,Ki,=,660.0,nM,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ccnc12,ada
14,CHEMBL1169542,P56658,Ki,=,37.5,nM,CCCCCCCC[C@@H](Cn1cc2c(N)ncnc2n1)O,ada
15,CHEMBL118106,P00813,Ki,=,1200.0,nM,c1(nc(c2sc(cc2)CNc2[nH]c3c(c2)cccc3)cs1)NC(=N)N,ada
16,CHEMBL1181730,P56658,Ki,=,53.4,nM,c12c(nn(c1)C(C(O)C)CCCCCC)ncnc2N,ada
17,CHEMBL1181766,P56658,Ki,=,1.0,nM,c12c(nn(c2)CC(O)CCCCCC)ncnc1N,ada
18,CHEMBL121714,P00813,Ki,=,38.0,nM,c1(ncn(c1)[C@H](CCn1c2cc(NC(=O)CCc3ccc(cc3)C)ccc2cc1)CO)C(=O)N,ada
19,CHEMBL121723,P56658,Km,>,800000.0,nM,C1(=C(/C(=C/COP(=O)(COCCn2c3c(nc2)c(ncn3)N)O)/OC1=O)OC)OC,ada
20,CHEMBL121723,P56658,Ki,>,800000.0,nM,C1(=C(/C(=C/COP(=O)(COCCn2c3c(nc2)c(ncn3)N)O)/OC1=O)OC)OC,ada
21,CHEMBL121939,P00813,Ki,=,11.0,nM,c1n(cnc1C(=O)N)[C@@H](CO)CCn1ccc2c1cc(cc2)NC(=O)CCCCc1ccccc1,ada
22,CHEMBL122016,P00813,Ki,=,1300.0,nM,c1(ncn(c1)[C@H](CCn1c2cc(NC(=O)C)ccc2cc1)CO)C(=O)N,ada
23,CHEMBL1229971,P56658,Ki,=,150000.0,nM,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]([C@H](C1)O)CO,ada
24,CHEMBL1233689,P56658,Ki,=,6600.0,nM,S(CCCC)c1nc(N)c2ncn(c2n1)[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)CO,ada
25,CHEMBL123620,P00813,Ki,=,12.0,nM,c1(ncn(c1)[C@H](CCn1c2c(cc1)ccc(c2)OCCCCc1ccccc1)CO)C(=O)N,ada
