,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100081,P78536,IC50,=,277.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1C)Cc1ccc(cc1)OCCN1CCCCC1)c1ccc(cc1)OC,ada17
1,CHEMBL100134,P78536,IC50,=,36.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1C)Br)CC#CCN(CC)CC)c1ccc(cc1)OC,ada17
2,CHEMBL100146,P78536,IC50,=,207.0,nM,S(=O)(=O)(N1C(CN(c2c(C1)cccc2)C(=O)CCc1ccccc1)C(=O)NO)c1ccc(cc1)OC,ada17
3,CHEMBL100280,P78536,IC50,=,174.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN1CCOCC1)C)c1ccc(cc1)OC,ada17
4,CHEMBL100512,P78536,IC50,=,154.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN1CCN(CC1)C)C)c1ccc(cc1)OC,ada17
5,CHEMBL100564,P78536,IC50,=,200.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN1C(C(=O)OC)CCC1)C)c1ccc(cc1)OC,ada17
6,CHEMBL100570,P78536,IC50,>,1000.0,nM,c1(ccc(cc1)OC)c1ccc(cc1)CN1S(=O)(=O)CCC1C(=O)NO,ada17
7,CHEMBL100570,P78536,IC50,>,1000.0,nM,c1(ccc(cc1)OC)c1ccc(cc1)CN1S(=O)(=O)CCC1C(=O)NO,ada17
8,CHEMBL100777,P78536,IC50,=,49.0,nM,S(=O)(=O)(N(c1c(cc(cc1CN1CCN(CC1)C)c1cc2c(cc1)cccc2)C(=O)NO)C)c1ccc(cc1)OC,ada17
9,CHEMBL100950,P78536,IC50,=,243.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1C)Cc1ccc(CN(C)C)cc1)c1ccc(cc1)OC,ada17
10,CHEMBL101210,P78536,IC50,=,63.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1CN1CCN(C(=O)OC(C)(C)C)CC1)Br)C)c1ccc(cc1)OC,ada17
11,CHEMBL101413,P78536,IC50,=,157.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1Cn1cncc1)C)c1ccc(cc1)OC,ada17
12,CHEMBL101612,P78536,IC50,=,80.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1CN1CCN(CC1)C)Br)C)c1ccc(Oc2ccc(Cl)cc2)cc1,ada17
13,CHEMBL101864,P78536,IC50,=,26.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1CN1CCN(CC1)C)Br)C)c1ccc(cc1)OC,ada17
14,CHEMBL101981,P78536,IC50,=,210.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN(CC)CC)C)c1ccc(cc1)OC,ada17
15,CHEMBL102057,P78536,IC50,=,210.0,nM,S(=O)(=O)(N(c1c(cc(cc1CN1CCN(CC1)C)c1ccc(OC(F)(F)F)cc1)C(=O)NO)C)c1ccc(cc1)OC,ada17
16,CHEMBL1077188,P78536,Ki,=,4818.0,nM,C1(=O)NC(=O)C(N1)(CN1Cc2c(C1=O)nccc2)C,ada17
17,CHEMBL1077203,P78536,Ki,=,0.4,nM,C1(=O)NC(=O)[C@](N1)(CN1Cc2c(C1=O)cc(cc2)Cl)c1ccc(cc1)F,ada17
18,CHEMBL1077216,P78536,Ki,=,0.7,nM,C1(=O)NC(=O)[C@](N1)(CN1Cc2c(C1=O)cc(cc2)OC)c1nccnc1,ada17
19,CHEMBL1078279,P78536,IC50,=,2700.0,nM,c1(S(=O)(=O)N[C@]2([C@@H]([C@@H]2c2ccccc2)C)C(=O)O)sc(cc1)c1ccc(cc1)Cl,ada17
20,CHEMBL1078281,P78536,IC50,=,4000.0,nM,c1(S(=O)(=O)N[C@]2([C@@H]([C@@H]2c2ccccc2)C)C(=O)O)sc(cc1)n1ncc(c1)Cl,ada17
