,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100029,P18090,IC50,>,1000.0,nM,c1(c([nH]c2c1cccc2)c1ccccc1)CC(=O)N1CCCCC1,adrb1
1,CHEMBL100057,P08588,EC50,=,1010.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCc2c(ccc(c2)F)F)cc1,adrb1
2,CHEMBL100057,P08588,Intrinsic activity,=,0.24,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCc2c(ccc(c2)F)F)cc1,adrb1
3,CHEMBL100103,P18090,IC50,>,1000.0,nM,c1(c([nH]c2c1cc(cc2)C)c1ccc(cc1)C)CC(=O)N(CCC)CCC,adrb1
4,CHEMBL100124,P08588,EC50,=,2050.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCCCc2sccc2)cc1,adrb1
5,CHEMBL100124,P08588,Intrinsic activity,=,0.62,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCCCc2sccc2)cc1,adrb1
6,CHEMBL100143,P18090,IC50,>,1000.0,nM,c1(c([nH]c2c1cccc2)c1ccc(cc1)F)CC(=S)N(CCCCCC)CCCCCC,adrb1
7,CHEMBL100256,P18090,IC50,>,1000.0,nM,c1(c([nH]c2c1cccc2)c1sccc1)CC(=O)N(CCC)CCC,adrb1
8,CHEMBL100307,P18090,Inhibition,=,45.0,%,c1(c[nH]c2c1cccc2)CC(NCC(COc1c(C(=O)N)cccc1)O)(C)C,adrb1
9,CHEMBL100351,P08588,EC50,=,50.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(n2c3c(cc2)c(C(=O)O)ccc3)cc1,adrb1
10,CHEMBL100351,P08588,Intrinsic activity,=,1.0,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(n2c3c(cc2)c(C(=O)O)ccc3)cc1,adrb1
11,CHEMBL100377,P18090,IC50,>,1000.0,nM,c1(c(c2c([nH]1)ccc(c2)Cl)CCC(=O)N(CCC)CCC)c1ccc(cc1)Cl,adrb1
12,CHEMBL100414,P08588,EC50,>,1000.0,nM,[nH]1c2c(c3c1cccc3)c(OC[C@@H](O)CNCC1CCN(CC1)CCCCCC)ccc2,adrb1
13,CHEMBL100425,P18090,Inhibition,=,37.0,%,c1(c([nH]c2c1cccc2)C)CC(NCC(COc1c(C)cccc1)O)(C)C,adrb1
14,CHEMBL100589,P08588,EC50,=,6300.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(NC(=O)N(Cc2c(ccc(c2)F)F)C(C)C)cc1,adrb1
15,CHEMBL100589,P08588,Intrinsic activity,=,1.21,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(NC(=O)N(Cc2c(ccc(c2)F)F)C(C)C)cc1,adrb1
16,CHEMBL100624,P08588,IC50,=,33100.0,nM,S(=O)(=O)(Nc1ccc(OCC(O)CNCc2ccc(n3cncc3)cc2)cc1)C,adrb1
17,CHEMBL100724,P08588,EC50,>,1000.0,nM,C(=O)(N1CCC(CC1)CNC[C@@H](COc1c2c([nH]c3c2cccc3)ccc1)O)Nc1cc(C(=O)O)ccc1,adrb1
18,CHEMBL100724,P08588,Intrinsic activity,=,0.05,Unspecified,C(=O)(N1CCC(CC1)CNC[C@@H](COc1c2c([nH]c3c2cccc3)ccc1)O)Nc1cc(C(=O)O)ccc1,adrb1
19,CHEMBL100970,P08588,EC50,=,489.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)Nc2ccccc2)cc1,adrb1
20,CHEMBL100970,P08588,Intrinsic activity,=,0.38,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)Nc2ccccc2)cc1,adrb1
21,CHEMBL101132,P08588,Intrinsic activity,=,0.18,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)Nc2ncccc2)cc1,adrb1
22,CHEMBL101485,P08588,EC50,=,1015.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NC2CCCCC2)cc1,adrb1
23,CHEMBL101485,P08588,Intrinsic activity,=,0.29,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NC2CCCCC2)cc1,adrb1
24,CHEMBL101521,P08588,EC50,=,580.0,nM,S(=O)(=O)(Nc1cc(ccc1O)[C@@H](O)CNCC1CCN(c2ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc2)CC1)C,adrb1
25,CHEMBL101521,P08588,Intrinsic activity,=,0.64,Unspecified,S(=O)(=O)(Nc1cc(ccc1O)[C@@H](O)CNCC1CCN(c2ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc2)CC1)C,adrb1
26,CHEMBL101606,P08588,EC50,=,1000.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(n2ncc(c2)C(=O)O)cc1,adrb1
27,CHEMBL101606,P08588,Intrinsic activity,=,0.16,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(n2ncc(c2)C(=O)O)cc1,adrb1
28,CHEMBL101630,P08588,EC50,=,1860.0,nM,S(=O)(=O)(Nc1cc(ccc1O)[C@@H](O)CNCC1CCN(c2ccc(C(=O)N[C@H](C(=O)O)CC(C)C)cc2)CC1)C,adrb1
29,CHEMBL101630,P08588,Intrinsic activity,=,0.68,Unspecified,S(=O)(=O)(Nc1cc(ccc1O)[C@@H](O)CNCC1CCN(c2ccc(C(=O)N[C@H](C(=O)O)CC(C)C)cc2)CC1)C,adrb1
30,CHEMBL101674,P08588,EC50,=,520.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(NC(=O)N[C@H](C(=O)O)Cc2ccccc2)cc1,adrb1
31,CHEMBL101674,P08588,Intrinsic activity,=,0.6,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](c1cc(NS(=O)(=O)C)c(cc1)O)O)c1ccc(NC(=O)N[C@H](C(=O)O)Cc2ccccc2)cc1,adrb1
32,CHEMBL102194,P08588,EC50,=,887.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCCCCCCCC)cc1,adrb1
33,CHEMBL102194,P08588,Intrinsic activity,=,0.16,Unspecified,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCCCCCCCC)cc1,adrb1
34,CHEMBL102194,P08588,IC50,=,27.0,nM,S(=O)(=O)(N1CCC(CC1)CNC[C@@H](COc1ccc(cc1)O)O)c1ccc(NC(=O)NCCCCCCCC)cc1,adrb1
35,CHEMBL103137,P08588,EC50,=,417.0,nM,[nH]1c2c(c3c1cccc3)c(OC[C@@H](O)CNCC1CCN(CCC(F)(F)F)CC1)ccc2,adrb1
36,CHEMBL103137,P08588,Intrinsic activity,=,0.13,Unspecified,[nH]1c2c(c3c1cccc3)c(OC[C@@H](O)CNCC1CCN(CCC(F)(F)F)CC1)ccc2,adrb1
37,CHEMBL104,P08588,IC50,=,11279.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,adrb1
38,CHEMBL104,P08588,Ki,=,6513.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,adrb1
39,CHEMBL104061,P08588,IC50,=,2000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(NC(=O)NCCC)cc1,adrb1
40,CHEMBL104076,P08588,IC50,=,7000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(NC(=O)OCCc2ccccc2)cc1,adrb1
41,CHEMBL104127,P08588,IC50,=,7000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)C,adrb1
42,CHEMBL104180,P08588,IC50,=,20000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccccc1,adrb1
43,CHEMBL104193,P08588,IC50,=,160.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(NC(=O)NCCc2ccccc2)cc1,adrb1
44,CHEMBL104222,P08588,IC50,=,60000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(NC(=O)OCCC)cc1,adrb1
45,CHEMBL104377,P08588,IC50,=,100000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)C(C)C,adrb1
46,CHEMBL104481,P08588,Intrinsic activity,=,68.0,%,C(=O)(N1CCC(Nc2ccc(cc2)CCNC[C@@H](COc2ccc(cc2)O)O)CC1)NC1CCCCC1,adrb1
47,CHEMBL104481,P08588,EC50,=,85.0,nM,C(=O)(N1CCC(Nc2ccc(cc2)CCNC[C@@H](COc2ccc(cc2)O)O)CC1)NC1CCCCC1,adrb1
48,CHEMBL10453,P18090,EC50,=,9.2,nM,c1(c(c(ccc1OCC(CNC(C)(C)C)O)O)O)F,adrb1
49,CHEMBL104551,P08588,IC50,=,100000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)CCc1ccccc1,adrb1
50,CHEMBL10494,P18090,EC50,>>,10000.0,nM,c1c(c(cc(c1O)O)F)OCC(CNC(C)(C)C)O,adrb1
51,CHEMBL104981,P08588,IC50,=,30000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(cc1)C(C)C,adrb1
52,CHEMBL105968,P08588,IC50,=,10000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(cc1)Br,adrb1
53,CHEMBL106022,P08588,Intrinsic activity,=,53.0,%,C(=O)(N1CCC(Nc2ccc(cc2)CCNC[C@@H](COc2ccc(cc2)O)O)CC1)NCCCCCCCC,adrb1
54,CHEMBL106022,P08588,EC50,=,610.0,nM,C(=O)(N1CCC(Nc2ccc(cc2)CCNC[C@@H](COc2ccc(cc2)O)O)CC1)NCCCCCCCC,adrb1
55,CHEMBL106487,P08588,IC50,=,60000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(NC(=O)CCCC)cc1,adrb1
56,CHEMBL106511,P08588,Intrinsic activity,=,75.0,%,S(=O)(=O)(Nc1cc(OC[C@@H](O)CNCCc2ccc(NC3CCN(C(=O)NCc4c(ccc(c4)F)F)CC3)cc2)ccc1O)C,adrb1
57,CHEMBL106511,P08588,EC50,=,423.0,nM,S(=O)(=O)(Nc1cc(OC[C@@H](O)CNCCc2ccc(NC3CCN(C(=O)NCc4c(ccc(c4)F)F)CC3)cc2)ccc1O)C,adrb1
58,CHEMBL106512,P08588,Intrinsic activity,=,22.0,%,S(=O)(=O)(Nc1cc(OC[C@@H](O)CNCCc2ccc(NC3CCN(C(=O)NCCCCCCCC)CC3)cc2)ccc1O)C,adrb1
59,CHEMBL106746,P08588,IC50,=,2000.0,nM,S(=O)(=O)(Nc1ccc(cc1)CCNC[C@@H](c1cnccc1)O)c1ccc(NC(=O)NC)cc1,adrb1
