,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P31749,Residual Activity,=,105.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
1,CHEMBL10,P31749,Residual Activity,=,102.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
2,CHEMBL10,P31749,Inhibition,=,38.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
3,CHEMBL10,P31749,Ki,>,7943.28,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
4,CHEMBL10,P31749,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
5,CHEMBL10,P31749,Inhibition,=,62.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
6,CHEMBL10,P31749,Activity,=,89.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
7,CHEMBL10,P31749,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,akt1
8,CHEMBL101253,P31749,Ki,>,7943.28,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,akt1
9,CHEMBL101253,P31749,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,akt1
10,CHEMBL101253,P31749,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,akt1
11,CHEMBL101683,P31749,Residual Activity,=,106.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,akt1
12,CHEMBL101683,P31749,Residual Activity,=,93.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,akt1
13,CHEMBL101804,P31749,Inhibition,=,0.8,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,akt1
14,CHEMBL101804,P31749,Inhibition,=,-0.33,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,akt1
15,CHEMBL102346,P31749,Residual Activity,=,107.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,akt1
16,CHEMBL102346,P31749,Residual Activity,=,106.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,akt1
17,CHEMBL102714,P31749,Activity,=,88.0,%,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,akt1
18,CHEMBL102936,P31749,Inhibition,=,2.3,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,akt1
19,CHEMBL102936,P31749,Inhibition,=,1.74,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,akt1
20,CHEMBL103080,P31749,Inhibition,=,-0.39,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,akt1
21,CHEMBL103080,P31749,Inhibition,=,0.47,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,akt1
