,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100037,P16116,Inhibition,=,88.0,%,n1(c(=O)c(c(nc1C)NCc1cnccc1)C#N)CC(=O)O,aldr
1,CHEMBL100037,P16116,Inhibition,=,90.0,%,n1(c(=O)c(c(nc1C)NCc1cnccc1)C#N)CC(=O)O,aldr
2,CHEMBL100037,P16116,Inhibition,=,88.0,%,n1(c(=O)c(c(nc1C)NCc1cnccc1)C#N)CC(=O)O,aldr
3,CHEMBL100107,P16116,Inhibition,=,85.0,%,c1(c(nc(nc1SC)CC(C)(C)C)OCC(=O)O)C#N,aldr
4,CHEMBL100107,P16116,Inhibition,=,96.0,%,c1(c(nc(nc1SC)CC(C)(C)C)OCC(=O)O)C#N,aldr
5,CHEMBL100107,P16116,Inhibition,=,95.0,%,c1(c(nc(nc1SC)CC(C)(C)C)OCC(=O)O)C#N,aldr
6,CHEMBL100108,P16116,Inhibition,=,88.0,%,n1c(c(c(nc1C(C)C)SC)C#N)OCC(=O)O,aldr
7,CHEMBL100108,P16116,Inhibition,=,97.0,%,n1c(c(c(nc1C(C)C)SC)C#N)OCC(=O)O,aldr
8,CHEMBL100108,P16116,Inhibition,=,98.0,%,n1c(c(c(nc1C(C)C)SC)C#N)OCC(=O)O,aldr
9,CHEMBL100152,P16116,Inhibition,=,82.0,%,n1c(nc(c(c1SCc1ccccc1)C#N)OCC(=O)O)C(C)(C)C,aldr
10,CHEMBL100152,P16116,Inhibition,=,85.0,%,n1c(nc(c(c1SCc1ccccc1)C#N)OCC(=O)O)C(C)(C)C,aldr
11,CHEMBL100152,P16116,Inhibition,=,86.0,%,n1c(nc(c(c1SCc1ccccc1)C#N)OCC(=O)O)C(C)(C)C,aldr
12,CHEMBL1020,P07943,IC50,=,2153.0,nM,O=C(c1n(c(cc1)CC(=O)O)C)c1ccc(cc1)C,aldr
13,CHEMBL1020,P15121,IC50,=,2390.0,nM,O=C(c1n(c(cc1)CC(=O)O)C)c1ccc(cc1)C,aldr
14,CHEMBL10350,P15121,IC50,=,226.6,nM,N1(C(=O)C(c2c(C1=O)ccc(c2)F)CC(=O)O)Cc1c(cc(cc1)Br)F,aldr
15,CHEMBL10350,P16116,Inhibition,=,80.0,%,N1(C(=O)C(c2c(C1=O)ccc(c2)F)CC(=O)O)Cc1c(cc(cc1)Br)F,aldr
16,CHEMBL10372,P07943,IC50,=,5.0,nM,c1(=O)c2c(c(nn1Cc1nc3c(ccc(c3)C(F)(F)F)s1)CC(=O)O)cccc2,aldr
17,CHEMBL10372,P07943,IC50,=,5.0,nM,c1(=O)c2c(c(nn1Cc1nc3c(ccc(c3)C(F)(F)F)s1)CC(=O)O)cccc2,aldr
