,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1082,P24735,Kcat/Km,=,25.0,/uM/s,N12[C@@H]([C@@H](C1=O)NC(=O)[C@@H](c1ccc(cc1)O)N)SC([C@@H]2C(=O)O)(C)C,ampc
1,CHEMBL1082,P24735,Km,=,20000.0,nM,N12[C@@H]([C@@H](C1=O)NC(=O)[C@@H](c1ccc(cc1)O)N)SC([C@@H]2C(=O)O)(C)C,ampc
2,CHEMBL1082,P24735,Kcat,=,0.5,/s,N12[C@@H]([C@@H](C1=O)NC(=O)[C@@H](c1ccc(cc1)O)N)SC([C@@H]2C(=O)O)(C)C,ampc
3,CHEMBL1088806,P24735,Inhibition,=,9.0,%,c1c(cc(cc1Cl)S(=O)(=O)N1CCC1C(=O)O)Cl,ampc
4,CHEMBL1089447,P24735,Inhibition,=,29.0,%,c1cccc(c1)S(=O)(=O)NCB(O)O,ampc
5,CHEMBL1089448,P24735,Inhibition,=,18.0,%,c1(ccc(cc1)S(=O)(=O)NCC(=O)O)CCCCC1CCNCC1,ampc
6,CHEMBL1089449,P24735,Inhibition,=,4.0,%,c1c(cc(cc1C#N)S(=O)(=O)NCC(=O)O)Br,ampc
7,CHEMBL1089450,P24735,Inhibition,=,5.0,%,c1ncc(cc1)S(=O)(=O)N1CCC1C(=O)O,ampc
8,CHEMBL1089451,P24735,Inhibition,=,18.0,%,c1ccc(cc1)S(=O)(=O)N1CCCC1C(=O)O,ampc
9,CHEMBL1089652,P24735,Inhibition,=,11.0,%,c1sc(cc1)C(=O)C(C(=O)C(F)(F)F)C,ampc
10,CHEMBL1089781,P24735,IC50,=,1200.0,nM,c1(ccc(c2c1cc(S(=O)(=O)NCB(O)O)s2)Cl)Cl,ampc
11,CHEMBL1089782,P24735,Inhibition,=,19.0,%,c1cncc(c1)C(=O)CC(=O)C(F)(F)F,ampc
