,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL103,P15207,Ki,=,143.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
1,CHEMBL103,P15207,IC50,=,214.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
2,CHEMBL103,P15207,IC50,=,1548.82,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
3,CHEMBL103,P15207,Relative binding affinity,=,4.7,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
4,CHEMBL103,P15207,RBA,=,5.5,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
5,CHEMBL103,P15207,Binding,=,1.35,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
6,CHEMBL103,P15207,RBA,=,5.5,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
7,CHEMBL103,P19091,Inhibition,=,46.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
8,CHEMBL103,P19091,IC50,=,37.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,andr
9,CHEMBL104,P15207,Ki,=,7724.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,andr
10,CHEMBL104,P15207,IC50,=,11586.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,andr
11,CHEMBL1062,P15207,Ki,=,493.0,nM,C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@](CC2)(C(=O)C)O)C)C,andr
12,CHEMBL1062,P15207,IC50,=,739.0,nM,C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@](CC2)(C(=O)C)O)C)C,andr
13,CHEMBL1062,P15207,Relative binding affinity,=,4.7,Unspecified,C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@](CC2)(C(=O)C)O)C)C,andr
14,CHEMBL1079306,P19091,Activity,=,225.0,%,C1[C@](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C)(O)Cc1ccccc1,andr
15,CHEMBL1079306,P19091,Activity,=,396.0,%,C1[C@](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C)(O)Cc1ccccc1,andr
16,CHEMBL1085,P15207,Ki,=,800.0,nM,N1(c2c(Sc3c1cccc3)ccc(c2)C(=O)C)CCCN1CCN(CC1)CCO,andr
17,CHEMBL1091,P15207,RBA,<,0.1,Unspecified,C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(=O)COC(=O)C)O)C)C,andr
18,CHEMBL110691,P15207,IC50,=,31.3,nM,C12=CC(=O)CC[C@@]1([C@@H]1[C@@H](C=C2Cl)[C@H]2[C@@]([C@@](CC2)(OC(=O)C)C(=O)C)(CC1)C)C,andr
19,CHEMBL110691,P15207,Ki,=,20.9,nM,C12=CC(=O)CC[C@@]1([C@@H]1[C@@H](C=C2Cl)[C@H]2[C@@]([C@@](CC2)(OC(=O)C)C(=O)C)(CC1)C)C,andr
20,CHEMBL110739,P15207,IC50,=,23442.29,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)[C@H](C[C@]1([C@H]3CC[C@@H]1C(=O)CO)C)O,andr
21,CHEMBL110739,P15207,RBA,=,0.5,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)[C@H](C[C@]1([C@H]3CC[C@@H]1C(=O)CO)C)O,andr
22,CHEMBL111861,P15207,RBA,<,0.1,Unspecified,[C@]12([C@@](C(=O)CO)(CC[C@H]1[C@H]1[C@@H]([C@@]3(C(=C[C@@H](CC3)O)CC1)C)C(=O)C2)O)C,andr
23,CHEMBL112570,P15207,IC50,>,42657.95,nM,C1C[C@@H](CC2=CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1[C@H](C)CCCC(C)C)C)O,andr
24,CHEMBL1159650,P15207,IC50,=,3775.0,nM,ClCC(=O)[C@]1(OC(=O)CC)[C@@]2([C@H]([C@H]3[C@](F)([C@@H](O)C2)[C@@]2(C(=CC(=O)C=C2)CC3)C)C[C@@H]1C)C,andr
25,CHEMBL1159650,P15207,Ki,=,2517.0,nM,ClCC(=O)[C@]1(OC(=O)CC)[C@@]2([C@H]([C@H]3[C@](F)([C@@H](O)C2)[C@@]2(C(=CC(=O)C=C2)CC3)C)C[C@@H]1C)C,andr
26,CHEMBL1162,P15207,IC50,=,22.0,nM,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,andr
27,CHEMBL1162,P15207,Ki,=,15.0,nM,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,andr
28,CHEMBL1162,P15207,IC50,=,120.23,nM,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,andr
29,CHEMBL1162,P15207,RBA,=,45.0,Unspecified,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,andr
30,CHEMBL1162,P15207,RBA,=,1.8,Unspecified,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,andr
