,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100177,P27338,Activity,<,5.0,nmol/min/mg,c1cc(ccc1)C1=CCN(CC1)CC=C,aofb
1,CHEMBL100177,P56560,Ki,=,268000.0,nM,c1cc(ccc1)C1=CCN(CC1)CC=C,aofb
2,CHEMBL100177,P56560,Kinact,=,0.029,min-1,c1cc(ccc1)C1=CCN(CC1)CC=C,aofb
3,CHEMBL100179,P27338,Ratio,=,423.0,Unspecified,c1cc(ccc1F)C1=CCN(CC1)C,aofb
4,CHEMBL100179,P56560,k cat,=,93.0,min-1,c1cc(ccc1F)C1=CCN(CC1)C,aofb
5,CHEMBL100179,P56560,Km,=,220000.0,nM,c1cc(ccc1F)C1=CCN(CC1)C,aofb
6,CHEMBL100611,P27338,Activity,<,5.0,nmol/min/mg,c1cc(ccc1)C1=CCN(CC1)C(C)C,aofb
7,CHEMBL101362,P27338,T1/2,=,1.888,hr,c1cc(ccc1)C1=CCN(CC1)CC,aofb
8,CHEMBL101362,P27338,Inhibition,=,10.4,%,c1cc(ccc1)C1=CCN(CC1)CC,aofb
9,CHEMBL101362,P27338,Activity,=,8.82,nmol/min/mg,c1cc(ccc1)C1=CCN(CC1)CC,aofb
10,CHEMBL101362,P27338,Ratio,=,200.0,Unspecified,c1cc(ccc1)C1=CCN(CC1)CC,aofb
11,CHEMBL101362,P27338,Ratio,=,68.0,Unspecified,c1cc(ccc1)C1=CCN(CC1)CC,aofb
12,CHEMBL101362,P56560,k cat,=,74.0,min-1,c1cc(ccc1)C1=CCN(CC1)CC,aofb
13,CHEMBL101362,P56560,k cat,=,34.0,min-1,c1cc(ccc1)C1=CCN(CC1)CC,aofb
14,CHEMBL101362,P56560,Km,=,1090000.0,nM,c1cc(ccc1)C1=CCN(CC1)CC,aofb
15,CHEMBL101362,P56560,Km,=,170000.0,nM,c1cc(ccc1)C1=CCN(CC1)CC,aofb
16,CHEMBL101664,P56560,Ratio,=,382.0,Unspecified,c1(ccc(cc1)C1=CCNCC1)Cl,aofb
17,CHEMBL10316,P27338,IC50,=,1000.0,nM,C1(Oc2c(OC1)cccc2)C1=NCCN1,aofb
18,CHEMBL1061,P27338,IC50,=,225000.0,nM,N1C(=O)SC(C1=O)Cc1ccc(cc1)O,aofb
19,CHEMBL107488,P19643,IC50,=,9.772,nM,c1(=O)c(c(c2c(o1)cc(OCc1cc(O)ccc1)cc2)C)C,aofb
20,CHEMBL107488,P19643,IC50,=,9.772,nM,c1(=O)c(c(c2c(o1)cc(OCc1cc(O)ccc1)cc2)C)C,aofb
21,CHEMBL107541,P19643,IC50,=,8.71,nM,c1(=O)c(c(c2c(o1)cc(OCc1c(C)cccc1)cc2)C)C,aofb
22,CHEMBL107541,P19643,IC50,=,8.71,nM,c1(=O)c(c(c2c(o1)cc(OCc1c(C)cccc1)cc2)C)C,aofb
23,CHEMBL1076153,P27338,IC50,=,29380.0,nM,N1=C(CC(N1C(=S)N)c1ccc[nH]1)c1ccc(cc1)Cl,aofb
24,CHEMBL1076880,P27338,IC50,=,11956.0,nM,c1(ccc(cc1)c1csc(n1)NN=C1CCCCC1)OC,aofb
25,CHEMBL1076880,P27338,IC50,=,12022.64,nM,c1(ccc(cc1)c1csc(n1)NN=C1CCCCC1)OC,aofb
26,CHEMBL1077616,P27338,Activity,=,-1.68,%,c1(cc(O)c2c(c1)OC/C(=C\c1ccc(cc1)O)/C2=O)O,aofb
27,CHEMBL1077616,P27338,IC50,=,8709.64,nM,c1(cc(O)c2c(c1)OC/C(=C\c1ccc(cc1)O)/C2=O)O,aofb
28,CHEMBL1077616,P27338,IC50,=,8.61,nM,c1(cc(O)c2c(c1)OC/C(=C\c1ccc(cc1)O)/C2=O)O,aofb
29,CHEMBL1077616,P27338,Inhibition,=,36.22,%,c1(cc(O)c2c(c1)OC/C(=C\c1ccc(cc1)O)/C2=O)O,aofb
