,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL103006,P56817,IC50,>,5000.0,nM,C(=C\c1ccc(cc1)OC)/C(=O)CC(=O)/C=C/c1ccc(cc1)OC,bace1
1,CHEMBL1076569,P56817,IP,=,1100.0,nM,O=S(=O)(N(c1nc(cc(c1Cl)c1oc(nn1)[C@](Cc1cc2c(cc1)OCO2)(C)N)N(C[C@@H]1[C@H](C1)C)CCOC)C)C,bace1
2,CHEMBL1076569,P56817,IP,=,119.0,nM,O=S(=O)(N(c1nc(cc(c1Cl)c1oc(nn1)[C@](Cc1cc2c(cc1)OCO2)(C)N)N(C[C@@H]1[C@H](C1)C)CCOC)C)C,bace1
3,CHEMBL1076901,P56817,IC50,=,1000.0,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COCc1ccccc1)C)C,bace1
4,CHEMBL1076901,P56817,IC50,=,3.6,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COCc1ccccc1)C)C,bace1
5,CHEMBL1076902,P56817,IC50,=,4500.0,nM,O=C(N[C@@H](c1ccccc1)C)c1cc(N(S(=O)(=O)C)C)cc(c1)C(=O)N[C@@H](COCc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,bace1
6,CHEMBL1076902,P56817,IC50,=,6.6,nM,O=C(N[C@@H](c1ccccc1)C)c1cc(N(S(=O)(=O)C)C)cc(c1)C(=O)N[C@@H](COCc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc1ccccc1,bace1
7,CHEMBL1076905,P56817,IC50,=,160.0,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COc1cc(cc(c1)F)F)C)C,bace1
8,CHEMBL1076905,P56817,IC50,=,3.1,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COc1cc(cc(c1)F)F)C)C,bace1
9,CHEMBL1076906,P56817,IC50,=,340.0,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COc1cc(cc(c1)F)F)C)C,bace1
10,CHEMBL1076906,P56817,IC50,=,10.0,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COc1cc(cc(c1)F)F)C)C,bace1
11,CHEMBL1076907,P56817,IC50,=,10000.0,nM,[C@@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COCc1cc(cc(c1)F)F)(CCSC)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,bace1
12,CHEMBL1076908,P56817,IC50,=,1260.0,nM,O=S(=O)(N(c1cc(cc(C(=O)NC)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)C)O)COCc1cc(cc(c1)F)F)C)C,bace1
13,CHEMBL1076909,P56817,IC50,>,10000.0,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)NC1CC1)C)O)COCc1cc(cc(c1)F)F)C)C,bace1
14,CHEMBL1076910,P56817,IC50,=,3600.0,nM,O=S(=O)(N(c1cc(cc(C(=O)N[C@@H](c2ccccc2)C)c1)C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NCc1ccc(cc1)F)C(C)C)C)O)COCc1cc(cc(c1)F)F)C)C,bace1
15,CHEMBL1077232,P56817,IC50,=,660.0,nM,[C@@H]1(CCC[C@H](C1)C(=O)N[C@H]([C@H](CNCc1cccc(c1)C(C)C)O)Cc1ccccc1)C(N(C(=O)CC)C)(C)C,bace1
16,CHEMBL1077232,P56817,IC50,=,150.0,nM,[C@@H]1(CCC[C@H](C1)C(=O)N[C@H]([C@H](CNCc1cccc(c1)C(C)C)O)Cc1ccccc1)C(N(C(=O)CC)C)(C)C,bace1
17,CHEMBL1077236,P56817,IC50,=,130.0,nM,[C@@H]1(CCC[C@H](C1)C(=O)N[C@H]([C@H](CNCc1cccc(c1)C(C)C)O)Cc1ccccc1)C(N1C(=O)CCC1)(C)C,bace1
18,CHEMBL1077236,P56817,IC50,=,25.0,nM,[C@@H]1(CCC[C@H](C1)C(=O)N[C@H]([C@H](CNCc1cccc(c1)C(C)C)O)Cc1ccccc1)C(N1C(=O)CCC1)(C)C,bace1
19,CHEMBL1077237,P56817,IC50,=,67.0,nM,[C@@H]1(CCC[C@H](C1)C(=O)N[C@H]([C@H](CNCc1cccc(c1)C(C)C)O)Cc1ccccc1)C(N1C(=O)CCCC1)(C)C,bace1
20,CHEMBL1077237,P56817,IC50,=,2.5,nM,[C@@H]1(CCC[C@H](C1)C(=O)N[C@H]([C@H](CNCc1cccc(c1)C(C)C)O)Cc1ccccc1)C(N1C(=O)CCCC1)(C)C,bace1
21,CHEMBL1078442,P56817,IC50,=,32200.0,nM,O(C/C=C(/CCC=C(C)C)\C)c1c2c(cc3c1cco3)oc(=O)cc2,bace1
22,CHEMBL1078442,P56817,Ki,=,34800.0,nM,O(C/C=C(/CCC=C(C)C)\C)c1c2c(cc3c1cco3)oc(=O)cc2,bace1
