,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P15056,Kd,=,530.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,braf
1,CHEMBL10,P15056,Kd,=,530.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,braf
2,CHEMBL10,P15056,Kd,=,710.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,braf
3,CHEMBL10,P15056,Kd,=,710.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,braf
4,CHEMBL101253,P15056,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,braf
5,CHEMBL101253,P15056,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,braf
6,CHEMBL101253,P15056,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,braf
7,CHEMBL101253,P15056,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,braf
8,CHEMBL101804,P15056,Inhibition,=,4.38,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,braf
9,CHEMBL101804,P15056,Inhibition,=,1.17,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,braf
10,CHEMBL101804,P15056,Inhibition,=,3.43,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,braf
11,CHEMBL101804,P15056,Inhibition,=,1.98,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,braf
12,CHEMBL102936,P15056,Inhibition,=,6.11,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
13,CHEMBL102936,P15056,Inhibition,=,4.74,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
14,CHEMBL102936,P15056,Inhibition,=,6.73,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
15,CHEMBL102936,P15056,Inhibition,=,4.42,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
16,CHEMBL103080,P15056,Inhibition,=,2.94,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
17,CHEMBL103080,P15056,Inhibition,=,1.61,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
18,CHEMBL103080,P15056,Inhibition,=,2.51,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
19,CHEMBL103080,P15056,Inhibition,=,1.25,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
20,CHEMBL103098,P15056,Inhibition,=,3.48,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
21,CHEMBL103098,P15056,Inhibition,=,2.03,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
22,CHEMBL103098,P15056,Inhibition,=,5.35,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
23,CHEMBL103098,P15056,Inhibition,=,2.45,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,braf
24,CHEMBL103104,P15056,Inhibition,=,6.29,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,braf
25,CHEMBL103104,P15056,Inhibition,=,6.98,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,braf
26,CHEMBL103104,P15056,Inhibition,=,8.05,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,braf
27,CHEMBL103104,P15056,Inhibition,=,7.97,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,braf
28,CHEMBL103115,P15056,Inhibition,=,-3.52,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,braf
29,CHEMBL103115,P15056,Inhibition,=,-4.83,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,braf
30,CHEMBL103115,P15056,Inhibition,=,-2.42,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,braf
31,CHEMBL103115,P15056,Inhibition,=,-4.38,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,braf
32,CHEMBL103667,P15056,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,braf
33,CHEMBL103667,P15056,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,braf
34,CHEMBL103667,P15056,Kd,=,2700.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,braf
35,CHEMBL103667,P15056,IC50,=,83.4,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,braf
36,CHEMBL103667,P15056,Kd,=,2700.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,braf
37,CHEMBL105442,P15056,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,braf
38,CHEMBL105442,P15056,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,braf
39,CHEMBL1076204,P15056,IC50,=,30.0,nM,c1(c2nccc(n2nc1)c1cc(ccc1F)NC(=O)c1cc(ccc1)C(F)(F)F)c1ccc(nc1)N1CCN(CC1)C,braf
40,CHEMBL1076206,P15056,IC50,=,0.5,nM,N1(c2ccc(cc2)c2ccnc3n2nc(c3c2cc(c(cc2)F)O)c2ccncc2)C[C@H]2N(C[C@@H]1C2)C(=O)C,braf
41,CHEMBL1076233,P15056,IC50,=,1.0,nM,N1(c2cc(c(cc2)c2ccnc3n2nc(c3c2cc(c(cc2)F)OC)c2ccncc2)C)C[C@H]2N(C[C@@H]1C2)C,braf
42,CHEMBL1076439,P15056,IC50,=,139.0,nM,c1cnc2n(c1c1cc(ccc1)NC(=O)c1cc(ccc1)C(F)(F)F)ncc2c1ccc(cc1)NC(=O)COCCOC,braf
43,CHEMBL1076440,P15056,IC50,=,34.0,nM,c1cnc2n(c1c1cc(ccc1)NC(=O)c1cc(ccc1)C(F)(F)F)ncc2c1ccc(cc1)NC(=O)CN(C)C,braf
44,CHEMBL1076441,P15056,IC50,=,40.0,nM,N(C(=O)CN(C)C)c1cccc(c2c3nccc(n3nc2)c2cc(ccc2)NC(=O)c2cc(ccc2)C(F)(F)F)c1,braf
45,CHEMBL1076482,P15056,IC50,=,38.0,nM,c1cnc2n(c1c1cc(ccc1)NC(=O)c1cc(ccc1)C(F)(F)F)ncc2c1ccc(cc1)CN1CCN(CC1)C,braf
46,CHEMBL1076497,P15056,IC50,=,44.0,nM,N1(CCN(CC1)c1ncc(cc1)c1c2nccc(n2nc1)c1cc(ccc1)NC(=O)c1cc(ccc1)C(F)(F)F)C,braf
