,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100038,P00918,KA,=,9.0,uM,S(=O)(=O)(NC(=O)N1CCC(C(=O)NCCC(=O)NC(C(=O)O)Cc2nc[nH]c2)CC1)c1c(C)cccc1,cah2
1,CHEMBL100075,P00918,Ki,=,7.0,nM,[n+]1(c(cc(cc1C(C)C)c1ccccc1)C(C)C)CC(=O)OCCOc1cc2sc(S(=O)(=O)N)nc2cc1.[Cl](=O)(=O)(=O)[O-],cah2
2,CHEMBL100266,P00918,Ki,=,2.1,nM,c1(S(=O)(=O)N)sc(NS(=O)(=O)c2cc(C(=O)OCCN(C)C)ccc2)nn1,cah2
3,CHEMBL100329,P00918,Ki,=,1.7,nM,c1(S(=O)(=O)N)sc(NS(=O)(=O)c2cc(C(=O)NCCN(CC)CC)ccc2)nn1,cah2
4,CHEMBL100456,P00918,Ki,=,7.0,nM,c1(S(=O)(=O)N)nc2c(s1)cc(OC(=O)C[n+]1c(cc(cc1CC)c1ccccc1)CC)cc2.[Cl](=O)(=O)(=O)[O-],cah2
5,CHEMBL100580,P00918,Ki,=,320.0,nM,[n+]1(c(cc(cc1C)C)C)CC(=O)NNc1ccc(S(=O)(=O)N)cc1.[Cl](=O)(=O)(=O)[O-],cah2
6,CHEMBL100733,P00918,Ki,=,6.0,nM,c1(S(=O)(=O)N)sc(nn1)NC(=O)CCNC(=O)C[n+]1c(cc(cc1C(C)C)c1ccccc1)C(C)C.[Cl](=O)(=O)(=O)[O-],cah2
7,CHEMBL100748,P00918,Ki,=,15.0,nM,[n+]1(c(cc(cc1CC)c1ccccc1)CC)CC(=O)Nc1nc(Nc2ccc(S(=O)(=O)N)cc2)ccn1.[Cl](=O)(=O)(=O)[O-],cah2
8,CHEMBL100757,P00918,Ki,=,34.0,nM,[n+]1(c(cc(cc1C)c1ccccc1)C)CC(=O)OCCc1ccc(S(=O)(=O)N)cc1.[Cl](=O)(=O)(=O)[O-],cah2
9,CHEMBL100760,P00918,Ki,=,16.0,nM,[n+]1(c(cc(cc1CC)c1ccccc1)CC)CC(=O)Nc1c(cc(S(=O)(=O)N)cc1)F.[Cl](=O)(=O)(=O)[O-],cah2
10,CHEMBL100860,P00918,Ki,=,5.0,nM,c1(S(=O)(=O)N)sc(NS(=O)(=O)c2ccc(NC(=O)C[n+]3c(cc(cc3C(C)C)c3ccccc3)C(C)C)cc2)nn1.[Cl](=O)(=O)(=O)[O-],cah2
11,CHEMBL100873,P00918,Ki,=,275.0,nM,[n+]1(c(cc(cc1C(C)C)c1ccccc1)C(C)C)CC(=O)Nc1c(S(=O)(=O)N)cccc1.[Cl](=O)(=O)(=O)[O-],cah2
12,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
13,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
14,CHEMBL1009,P00918,Ka,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
15,CHEMBL1009,P00918,Ka,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
16,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
17,CHEMBL1009,P00918,Ka,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
18,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
19,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
20,CHEMBL1009,P00918,Ka,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
21,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
22,CHEMBL1009,P00918,KA,=,11.4,uM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,cah2
23,CHEMBL100906,P00918,Ki,=,4.0,nM,c1(S(=O)(=O)N)nc2c(s1)cc(cc2)OCCOC(=O)C[n+]1c(cc(cc1C)c1ccccc1)C.[Cl](=O)(=O)(=O)[O-],cah2
24,CHEMBL101002,P00918,Ki,=,71.0,nM,[n+]1(c(cc(cc1C(C)C)c1ccccc1)C(C)C)CC(=O)OCc1ccc(S(=O)(=O)N)cc1.[Cl](=O)(=O)(=O)[O-],cah2
25,CHEMBL101174,P00918,Ki,=,215.0,nM,[n+]1(c(cc(cc1C)c1ccccc1)C)CC(=O)Nc1c(S(=O)(=O)N)cccc1.[Cl](=O)(=O)(=O)[O-],cah2
26,CHEMBL101183,P00918,Ki,=,49.0,nM,[n+]1(c(cc(cc1C)C)C)CC(=O)Nc1c(cc(S(=O)(=O)N)cc1)I.[Cl](=O)(=O)(=O)[O-],cah2
27,CHEMBL101190,P00918,Ki,=,6.0,nM,c1(S(=O)(=O)N)sc(NS(=O)(=O)c2ccc(NC(=O)C[n+]3c(cc(cc3C)C)C)cc2)nn1.[Cl](=O)(=O)(=O)[O-],cah2
28,CHEMBL101196,P00918,Ki,=,38.0,nM,[n+]1(c(cc(cc1C)c1ccccc1)C)CC(=O)OCc1ccc(S(=O)(=O)N)cc1.[Cl](=O)(=O)(=O)[O-],cah2
29,CHEMBL101330,P00918,Ki,=,5.0,nM,c1(s/c(=N/S(=O)(=O)c2ccc(NC(=O)C[n+]3c(cc(cc3C)C)C)cc2)/n(n1)C)S(=O)(=O)N.[Cl](=O)(=O)(=O)[O-],cah2
30,CHEMBL101370,P00918,Inhibition,=,35.0,%,S(=O)(=O)(c1oc2c(c1)cc(s2)CNCCF)N,cah2
