,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100114,P42574,IC50,=,263.0,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)COc2c3c(c(cc2)OC)cccc3)CC(C)C)C1O,casp3
1,CHEMBL100405,P42574,IC50,=,940.0,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)COc2cc3c(cc2)cccc3)CC(C)C)C1O,casp3
2,CHEMBL100405,P42574,IC50,=,944.0,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)COc2cc3c(cc2)cccc3)CC(C)C)C1O,casp3
3,CHEMBL100405,P42574,IC50,=,940.0,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)COc2cc3c(cc2)cccc3)CC(C)C)C1O,casp3
4,CHEMBL100409,P42574,IC50,=,357.0,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)COc2c3c(c(cc2Cl)Cl)cccc3)CC(C)C)C1O,casp3
5,CHEMBL100559,P42574,IC50,=,207.0,nM,S(=O)(=O)(C(F)(F)F)Nc1c2c(c(OCC(=O)NC(C(=O)N[C@@H]3C(OC(=O)C3)O)C(C)C)ccc2)ccc1,casp3
6,CHEMBL100578,P42574,IC50,=,1570.0,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)COc2nccc3c2cccc3)CC(C)C)C1O,casp3
7,CHEMBL100588,P42574,IC50,=,2.3,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OCc2ccccc2)CCC(=O)O)CC(C)C)C1O,casp3
8,CHEMBL100588,P42574,IC50,=,2.3,nM,O1C(=O)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OCc2ccccc2)CCC(=O)O)CC(C)C)C1O,casp3
9,CHEMBL100591,P42574,IC50,=,1920.0,nM,S(=O)(=O)(C(F)(F)F)Nc1c(cc2c(c1)cccc2)OCC(=O)NC(C(=O)N[C@@H]1C(OC(=O)C1)O)C(C)C,casp3
