,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P24941,Thermal melting change,=,-0.1,degrees C,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cdk2
1,CHEMBL10,P24941,Ki,>,7943.28,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cdk2
2,CHEMBL10,P24941,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cdk2
3,CHEMBL10,P24941,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cdk2
4,CHEMBL100391,P24941,IC50,=,500.0,nM,n1c(c(cnc1Nc1ccc(OCC(CN(C)C)O)cc1)Cl)Nc1ccccc1,cdk2
5,CHEMBL100473,P24941,Thermal melting change,=,0.7,degrees C,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cdk2
6,CHEMBL100664,P24941,IC50,=,15000.0,nM,n1c(nccc1Nc1c(OC)cccc1)Nc1ccc(OCC(CN(C)C)O)cc1,cdk2
7,CHEMBL100675,P24941,IC50,=,22000.0,nM,c1(ncnc(c1)Nc1ccc(OCC(CN(C)C)O)cc1)Nc1c(ccc(c1)C)Cl,cdk2
8,CHEMBL100811,P24941,IC50,=,28000.0,nM,c1(ncnc(c1)Nc1ccc(OCC(CN(C)C)O)cc1)Nc1c(Br)cccc1,cdk2
9,CHEMBL100811,P24941,IC50,=,28000.0,nM,c1(ncnc(c1)Nc1ccc(OCC(CN(C)C)O)cc1)Nc1c(Br)cccc1,cdk2
10,CHEMBL100945,P24941,IC50,=,19000.0,nM,c1(N(c2cc(ccc2Cl)Cl)CC#C)cc(ncn1)Nc1ccc(OCC(CN(C)C)O)cc1,cdk2
11,CHEMBL100979,P24941,IC50,=,4000.0,nM,c1(n2c(nc1C)cccc2)c1nc(ncc1)N,cdk2
12,CHEMBL101019,P24941,IC50,=,7000.0,nM,n1c(nccc1Nc1c(F)cccc1)Nc1ccc(OCC(CN(C)C)O)cc1,cdk2
