,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1089318,P21964,Ki,=,10.0,nM,c1(c(cc(cc1[N+](=O)[O-])c1nc(no1)c1c([n+](c(c(c1C)Cl)C)[O-])Cl)O)O,comt
1,CHEMBL1089318,P21964,Ki,=,1.0,nM,c1(c(cc(cc1[N+](=O)[O-])c1nc(no1)c1c([n+](c(c(c1C)Cl)C)[O-])Cl)O)O,comt
2,CHEMBL1089318,P22734,Ki,=,15.85,nM,c1(c(cc(cc1[N+](=O)[O-])c1nc(no1)c1c([n+](c(c(c1C)Cl)C)[O-])Cl)O)O,comt
3,CHEMBL1089318,P22734,Ki,=,1.5,nM,c1(c(cc(cc1[N+](=O)[O-])c1nc(no1)c1c([n+](c(c(c1C)Cl)C)[O-])Cl)O)O,comt
4,CHEMBL1089503,P21964,Ki,<,1.0,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)O)Cl)[N+](=O)[O-])O)O,comt
5,CHEMBL1089504,P21964,Ki,=,2.2,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OC)Cl)[N+](=O)[O-])O)O,comt
6,CHEMBL1089505,P21964,Ki,=,9.2,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OCCC)Cl)[N+](=O)[O-])O)O,comt
7,CHEMBL1089536,P21964,Ki,=,10.2,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OCc1ccccc1)Cl)[N+](=O)[O-])O)O,comt
8,CHEMBL1089537,P21964,Ki,=,17.0,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OCOC(=O)C(C)C)Cl)[N+](=O)[O-])O)O,comt
9,CHEMBL1089538,P21964,Ki,=,17.0,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OC(OC(=O)C(C)C)C)Cl)[N+](=O)[O-])O)O,comt
10,CHEMBL1089539,P21964,Ki,=,10.6,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OCOC(=O)CCC)Cl)[N+](=O)[O-])O)O,comt
11,CHEMBL1089630,P21964,Ki,=,1.3,nM,c1(c(c(c2c(c1)c(c(s2)C(=O)OCCCC)Cl)[N+](=O)[O-])O)O,comt
