,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P11712,IC50,=,1000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp2c9
1,CHEMBL10,P11712,Potency,=,1995.3,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp2c9
2,CHEMBL10,P11712,Inhibition,=,75.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp2c9
3,CHEMBL10,P11712,AC50,=,1995.26,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp2c9
4,CHEMBL10,P11712,Inhibition,=,87.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp2c9
5,CHEMBL10,P11712,Inhibition,=,75.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp2c9
6,CHEMBL10009,P11712,Potency,=,1258.9,nM,n12c(c(c3c1ccc(c3)OC)CCNC(=O)CCC)c1c(C2)cccc1,cp2c9
7,CHEMBL10009,P11712,AC50,=,1258.93,nM,n12c(c(c3c1ccc(c3)OC)CCNC(=O)CCC)c1c(C2)cccc1,cp2c9
8,CHEMBL100473,P11712,Potency,=,794.3,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp2c9
9,CHEMBL1008,P11712,IC50,=,4310.0,nM,N(CC(N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1,cp2c9
10,CHEMBL1008,P11712,IC50,>,30000.0,nM,N(CC(N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1,cp2c9
11,CHEMBL100848,P11712,Potency,=,7943.3,nM,S(=O)(=O)(Nc1ncccc1)c1ccc(/N=N\c2cc(C(=O)O)c(cc2)O)cc1,cp2c9
12,CHEMBL100848,P11712,AC50,=,7943.28,nM,S(=O)(=O)(Nc1ncccc1)c1ccc(/N=N\c2cc(C(=O)O)c(cc2)O)cc1,cp2c9
13,CHEMBL100899,P11712,IC50,=,11000.0,nM,N(=C\Nc1ccc(cc1)C(CC)C)/O,cp2c9
14,CHEMBL100917,P11712,IC50,=,42000.0,nM,N(/C=N/c1c(CCCC)cccc1)O,cp2c9
15,CHEMBL101,P11712,Potency,=,31622.8,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,cp2c9
16,CHEMBL101,P11712,Ki,=,19000.0,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,cp2c9
17,CHEMBL101168,P11712,IC50,=,42900.0,nM,n1n(c2c(n1)cccc2)N,cp2c9
18,CHEMBL101180,P11712,IC50,=,30000.0,nM,N(=C\Nc1ccc(cc1)C(C)C)/O,cp2c9
19,CHEMBL101296,P11712,IC50,=,17000.0,nM,N(=C\Nc1ccc(cc1)CC)/O,cp2c9
20,CHEMBL1016,P11712,IC50,=,3000.0,nM,c1cc(c2c(c1)nc(n2Cc1ccc(cc1)c1ccccc1c1nnn[nH]1)OCC)C(=O)O,cp2c9
21,CHEMBL1017,P11712,IC50,=,4780.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,cp2c9
22,CHEMBL10188,P11712,IC50,=,2000.0,nM,c1ccc2c(c1)nc(c(c2C(=O)N[C@@H](CC)c1ccccc1)O)c1ccccc1,cp2c9
23,CHEMBL102714,P11712,Potency,=,31622.8,nM,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,cp2c9
24,CHEMBL102714,P11712,Potency,=,10000.0,nM,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,cp2c9
25,CHEMBL102714,P11712,AC50,=,31622.78,nM,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,cp2c9
26,CHEMBL102740,P11712,Potency,=,3981.1,nM,C(CCCNC(=N)N)NC(=N)N,cp2c9
27,CHEMBL10284,P11712,Potency,=,12589.3,nM,c1ccc2c(c1)c(c(c(n2)c1ccccc1)C)C(=O)N[C@@H](CC)c1ccccc1,cp2c9
28,CHEMBL103,P11712,Ki,=,5500.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,cp2c9
29,CHEMBL103163,P11712,IC50,>,100000.0,nM,C(c1ccc(N/C=N/O)cc1)(C)(C)C,cp2c9
30,CHEMBL103313,P11712,IC50,=,8800.0,nM,N(=C\Nc1ccc(cc1)CCCC)/O,cp2c9
31,CHEMBL103320,P11712,IC50,=,79000.0,nM,N(=C\Nc1ccc(cc1)C)/O,cp2c9
32,CHEMBL1034,P11712,Potency,=,1584.9,nM,c1cc(c(c(c1)Cl)Nc1ccccc1CC(=O)[O-])Cl.[Na+],cp2c9
33,CHEMBL1034,P11712,Potency,=,7943.3,nM,c1cc(c(c(c1)Cl)Nc1ccccc1CC(=O)[O-])Cl.[Na+],cp2c9
34,CHEMBL1034,P11712,AC50,=,1584.89,nM,c1cc(c(c(c1)Cl)Nc1ccccc1CC(=O)[O-])Cl.[Na+],cp2c9
35,CHEMBL1034,P11712,AC50,=,7943.28,nM,c1cc(c(c(c1)Cl)Nc1ccccc1CC(=O)[O-])Cl.[Na+],cp2c9
36,CHEMBL103469,P11712,Potency,=,7943.3,nM,C(=O)(N1CCCCC1)c1cc2c(OCO2)cc1,cp2c9
37,CHEMBL103469,P11712,AC50,=,7943.28,nM,C(=O)(N1CCCCC1)c1cc2c(OCO2)cc1,cp2c9
