,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P08684,Inhibition,=,77.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
1,CHEMBL10,P08684,Potency,=,501.2,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
2,CHEMBL10,P08684,Potency,=,1258.9,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
3,CHEMBL10,P08684,AC50,=,501.19,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
4,CHEMBL10,P08684,AC50,=,1258.93,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
5,CHEMBL10,P08684,Potency,=,1258.9,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
6,CHEMBL10,P08684,Potency,=,501.2,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
7,CHEMBL10,P08684,Inhibition,=,77.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
8,CHEMBL10,P08684,Inhibition,=,61.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
9,CHEMBL10,P08684,Inhibition,=,61.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,cp3a4
10,CHEMBL1000,P08684,Inhibition,=,13.0,%,N1(C(c2ccc(cc2)Cl)c2ccccc2)CCN(CC1)CCOCC(=O)O,cp3a4
11,CHEMBL10009,P08684,Potency,=,2511.9,nM,n12c(c(c3c1ccc(c3)OC)CCNC(=O)CCC)c1c(C2)cccc1,cp3a4
12,CHEMBL10009,P08684,AC50,=,2511.89,nM,n12c(c(c3c1ccc(c3)OC)CCNC(=O)CCC)c1c(C2)cccc1,cp3a4
13,CHEMBL10009,P08684,Potency,=,2511.9,nM,n12c(c(c3c1ccc(c3)OC)CCNC(=O)CCC)c1c(C2)cccc1,cp3a4
14,CHEMBL100379,P08684,IC50,=,18000.0,nM,c1(N2CCOCC2)cc([C@@H](NC(=O)/C=C/c2ccc(F)cc2)C)ccc1F,cp3a4
15,CHEMBL100379,P08684,IC50,=,19000.0,nM,c1(N2CCOCC2)cc([C@@H](NC(=O)/C=C/c2ccc(F)cc2)C)ccc1F,cp3a4
16,CHEMBL100379,P08684,IC50,=,19000.0,nM,c1(N2CCOCC2)cc([C@@H](NC(=O)/C=C/c2ccc(F)cc2)C)ccc1F,cp3a4
17,CHEMBL100379,P08684,IC50,=,21000.0,nM,c1(N2CCOCC2)cc([C@@H](NC(=O)/C=C/c2ccc(F)cc2)C)ccc1F,cp3a4
18,CHEMBL10041,P08684,Potency,=,25118.9,nM,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,cp3a4
19,CHEMBL10041,P08684,Potency,=,25118.9,nM,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,cp3a4
20,CHEMBL100473,P08684,Potency,=,3162.3,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp3a4
21,CHEMBL100473,P08684,Potency,=,316.2,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp3a4
22,CHEMBL100473,P08684,AC50,=,316.23,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp3a4
23,CHEMBL100473,P08684,AC50,=,3162.28,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp3a4
24,CHEMBL100473,P08684,Potency,=,3162.3,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp3a4
25,CHEMBL100473,P08684,Potency,=,316.2,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,cp3a4
26,CHEMBL1008,P08684,IC50,=,23600.0,nM,N(CC(N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1,cp3a4
27,CHEMBL1008,P08684,IC50,>,30000.0,nM,N(CC(N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1,cp3a4
28,CHEMBL100899,P08684,IC50,>,100000.0,nM,N(=C\Nc1ccc(cc1)C(CC)C)/O,cp3a4
29,CHEMBL100917,P08684,IC50,=,51000.0,nM,N(/C=N/c1c(CCCC)cccc1)O,cp3a4
30,CHEMBL101,P08684,Potency,=,12589.3,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,cp3a4
31,CHEMBL101,P08684,Potency,=,12589.3,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,cp3a4
32,CHEMBL101168,P08684,Potency,=,6309.6,nM,n1n(c2c(n1)cccc2)N,cp3a4
33,CHEMBL101168,P08684,AC50,=,6309.57,nM,n1n(c2c(n1)cccc2)N,cp3a4
34,CHEMBL101168,P08684,Potency,=,6309.6,nM,n1n(c2c(n1)cccc2)N,cp3a4
35,CHEMBL101168,P08684,IC50,=,450.0,nM,n1n(c2c(n1)cccc2)N,cp3a4
36,CHEMBL101180,P08684,IC50,>,100000.0,nM,N(=C\Nc1ccc(cc1)C(C)C)/O,cp3a4
37,CHEMBL101296,P08684,IC50,>,100000.0,nM,N(=C\Nc1ccc(cc1)CC)/O,cp3a4
38,CHEMBL101326,P08684,Potency,=,25118.9,nM,n1(c(c(c(n1)C#N)[S+](C(F)(F)F)[O-])N)c1c(cc(C(F)(F)F)cc1Cl)Cl,cp3a4
39,CHEMBL101326,P08684,Potency,=,25118.9,nM,n1(c(c(c(n1)C#N)[S+](C(F)(F)F)[O-])N)c1c(cc(C(F)(F)F)cc1Cl)Cl,cp3a4
40,CHEMBL1014,P08684,Potency,=,12589.3,nM,c1(n(c2c(n1)cccc2C(=O)OC(C)OC(=O)OC1CCCCC1)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1)OCC,cp3a4
41,CHEMBL1014,P08684,Potency,=,12589.3,nM,c1(n(c2c(n1)cccc2C(=O)OC(C)OC(=O)OC1CCCCC1)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1)OCC,cp3a4
