,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P07333,Residual Activity,=,52.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,csf1r
1,CHEMBL10,P07333,Residual Activity,=,109.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,csf1r
2,CHEMBL10,P07333,Ki,>,2511.89,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,csf1r
3,CHEMBL10,P07333,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,csf1r
4,CHEMBL10,P07333,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,csf1r
5,CHEMBL101253,P07333,Ki,=,1000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,csf1r
6,CHEMBL101253,P07333,Kd,=,45.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,csf1r
7,CHEMBL101253,P07333,Kd,=,18.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,csf1r
8,CHEMBL101311,P07333,Ki,=,1000.0,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,csf1r
9,CHEMBL101683,P07333,Residual Activity,=,1.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,csf1r
10,CHEMBL101804,P07333,Inhibition,=,2.62,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,csf1r
11,CHEMBL101804,P07333,Inhibition,=,-1.01,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,csf1r
12,CHEMBL102301,P07333,IC50,>,30000.0,nM,c12c(N3CCN(/C(=N\Cc4cc5c(OCO5)cc4)/S)CC3)ncnc1cc(c(c2)OC)OC,csf1r
13,CHEMBL102346,P07333,Residual Activity,=,2.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,csf1r
14,CHEMBL102346,P07333,Residual Activity,=,7.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,csf1r
15,CHEMBL102936,P07333,Inhibition,=,3.16,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,csf1r
16,CHEMBL102936,P07333,Inhibition,=,1.7,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,csf1r
17,CHEMBL103080,P07333,Inhibition,=,1.8,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,csf1r
