,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL104474,P61073,IC50,>,1000.0,nM,n1(cnc2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccccc2)CC=C)CC1)c1ccccc1,cxcr4
1,CHEMBL104698,P61073,IC50,>,1000.0,nM,N1(C(=O)N[C@@H](C1=O)Cc1c[nH]c2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccccc2)CC=C)CC1)(c1ccccc1)C,cxcr4
2,CHEMBL104793,P61073,IC50,>,1000.0,nM,N1(C(=O)N[C@@H](C1=O)Cc1c[nH]c2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccccc2)CC=C)CC1)c1ccccc1,cxcr4
3,CHEMBL105570,P61073,IC50,>,1000.0,nM,n1(cnc2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccc([N+](=O)[O-])cc2)CC=C)CC1)(c1ccccc1)C,cxcr4
4,CHEMBL105659,P61073,IC50,>,1000.0,nM,n1(cnc2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccccc2)CC=C)CC1)(c1ccccc1)C,cxcr4
5,CHEMBL105975,P61073,IC50,>,1000.0,nM,N1(C(=O)N[C@@H](C1=O)Cc1c[nH]c2c1cccc2)CC(c1cc(Cl)ccc1)CCN1CCC(N(C(=O)OCc2ccccc2)CC)CC1,cxcr4
6,CHEMBL106803,P61073,IC50,>,1000.0,nM,n1(cnc2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccc([N+](=O)[O-])cc2)CC=C)CC1)c1ccccc1,cxcr4
7,CHEMBL106907,P61073,IC50,>,1000.0,nM,N1(C(=O)N[C@@H](C1=O)Cc1c[nH]c2c1cccc2)CC(CCN1CCC(N(C(=O)OCc2ccccc2)CC)CC1)(c1ccccc1)C,cxcr4
8,CHEMBL107128,P61073,IC50,>,1000.0,nM,N1(C(=O)N[C@@H](C1=O)Cc1c[nH]c2c1cccc2)CC(c1cc(Cl)ccc1)CCN1CCC(N(C(=O)OCc2ccccc2)CC=C)CC1,cxcr4
9,CHEMBL107439,P61073,IC50,>,1000.0,nM,N1(C(=O)N[C@@H](C1=O)Cc1c[nH]c2c1cccc2)CC(c1cc(Cl)ccc1)(CCN1CCC(N(C(=O)OCc2ccccc2)CC=C)CC1)C,cxcr4
10,CHEMBL1078231,P61073,IC50,>,50000.0,nM,C12([C@H](CN(C(=O)O1)CC1CCOCC1)CCCC)CCN(CC2)C1(CCN(CC1)C(=O)c1c(ncnc1C)C)C,cxcr4
