,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL84822,P0A6K3,Ki,=,37000.0,nM,[N+](=O)(c1ccc(NC(=O)[C@@H](NC(=O)[C@@H](OP(=O)O)CCCC)CC(C)C)cc1)[O-],def
1,CHEMBL309477,P0A6K3,Ki,=,125000.0,nM,[N+](=O)(c1ccc(NC(=O)[C@@H](NC(=O)[C@H](OP(=O)O)CCCC)CC(C)C)cc1)[O-],def
2,CHEMBL30125,P68825,IC50,>,100000.0,nM,C(c1cc(CNC(c2c3c(ccc2)cccc3)C(=O)N)ccc1)(F)(F)F,def
3,CHEMBL33924,P68825,IC50,=,302.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC1CCCCC1,def
4,CHEMBL399871,P68825,IC50,=,61500.0,nM,C\1=C/C=C/C[C@H](O)C[C@H](/C=C/C=C/CCC[C@H](OC(=O)/C=C\C=C\C[C@@H]1O[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)CO)C)O,def
5,CHEMBL286441,P68825,IC50,<,5.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CCCCC,def
6,CHEMBL35483,P68825,IC50,=,168.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC(=O)N,def
7,CHEMBL37522,P68825,IC50,=,73.0,nM,N1C(=O)C(Cc2c1cccc2)CC(=O)NO,def
8,CHEMBL399435,P68825,IC50,=,57700.0,nM,C\1=C\C[C@@H](C[C@H](/C=C/C=C/CCC[C@H](OC(=O)/C=C\C=C\C[C@@H](/C=C1)O[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)CO)CC)O)O,def
9,CHEMBL27348,P68825,IC50,>,100000.0,nM,N(C(=O)NN)(c1c2c(ccc1)cccc2)CCc1cc(C(F)(F)F)ccc1,def
10,CHEMBL34024,P68825,IC50,=,18.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC1OCCCC1,def
11,CHEMBL252148,P68825,IC50,=,12100.0,nM,C\1=C\C[C@@H](C[C@H](/C=C/C=C\CCC[C@H](OC(=O)/C=C\C=C\C[C@@H](/C=C1)O[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)CO)C)O)O,def
12,CHEMBL284794,P68825,IC50,=,169.0,nM,N1C(=O)C(C=Cc2c1cccc2)CC(=O)NO,def
13,CHEMBL36140,P68825,IC50,<,5.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CCC(C)C,def
14,CHEMBL36605,P68825,IC50,<,5.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CCc1ccccc1,def
15,CHEMBL285024,P68825,IC50,=,397.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC(=O)N1CCCC1,def
16,CHEMBL35361,P68825,IC50,=,50.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC(=O)C(C)(C)C,def
17,CHEMBL38016,P68825,IC50,<,5.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CCC1OCCO1,def
18,CHEMBL286917,P68825,IC50,=,29.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC1CC1,def
19,CHEMBL29940,P68825,IC50,>,100000.0,nM,N(c1c2c(ccc1)cccc2)(C(=O)CS)CCc1cc(C(F)(F)F)ccc1,def
20,CHEMBL286560,P68825,IC50,=,175.0,nM,N1(C(=O)C(Cc2c1cccc2)CC(=O)NO)CC1CC1,def
21,CHEMBL285938,P68825,IC50,=,10.0,nM,C1(C(=O)Nc2c(S1)cccc2)CN(C=O)O,def
22,CHEMBL29796,P68825,IC50,>,100000.0,nM,C(c1cc(CNC(c2c3c(ccc2)cccc3)C(=O)O)ccc1)(F)(F)F,def
23,CHEMBL29912,P68825,IC50,=,2200.0,nM,N(C(=O)NO)(c1c2c(ccc1)cccc2)CCc1cc(C(F)(F)F)ccc1,def
24,CHEMBL34553,P68825,IC50,=,58.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC(=O)Nc1cc(ccc1F)F,def
25,CHEMBL34538,P68825,IC50,<,5.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CCCC(C)C,def
26,CHEMBL287497,P68825,IC50,=,37.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)C,def
27,CHEMBL441517,P68825,IC50,>,100000.0,nM,N(c1c2c(ccc1)cccc2)(C(=O)CO)CCc1cc(C(F)(F)F)ccc1,def
28,CHEMBL29911,P68825,IC50,=,59.0,nM,C(c1cc(CNC(C(=O)NO)c2cc(OC)ccc2)ccc1)(F)(F)F,def
29,CHEMBL38162,P68825,IC50,>,2000.0,nM,N1C(=O)C(Sc2c1cccc2)CC(=O)N(OC)C,def
30,CHEMBL287061,P68825,IC50,=,515.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC#N,def
31,CHEMBL285547,P68825,IC50,=,12.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)Cc1ccccc1,def
32,CHEMBL36126,P68825,IC50,=,427.0,nM,C1(C(=O)Nc2c(S1)cccc2)CN(C(=O)C)O,def
33,CHEMBL417683,P68825,IC50,=,343.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CC(=O)Nc1ncccc1,def
34,CHEMBL36229,P68825,IC50,<,5.0,nM,N1(C(=O)C(Sc2c1cccc2)CC(=O)NO)CCOC,def
35,CHEMBL734,P68825,IC50,>,100000.0,nM,CC(=O)NO,def
36,CHEMBL308333,P68825,IC50,<,5.0,nM,C(C(=O)NO)[C@H](C(=O)N[C@@H](C(C)C)C(=O)N1[C@@H](CCC1)CO)CCCCC,def
37,CHEMBL287247,P68825,IC50,=,230.0,nM,N1C(=O)C(Sc2c1cccc2)CC(=O)NOCc1ccccc1,def
