,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1076580,P28845,IC50,=,3.3,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)CC)C,dhi1
1,CHEMBL1076580,P50172,IC50,=,3.09,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)CC)C,dhi1
2,CHEMBL1076594,P28845,IC50,=,547.0,nM,[C@@H]12N[C@@H](CN(C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C)CC2,dhi1
3,CHEMBL1076594,P50172,IC50,=,54.0,nM,[C@@H]12N[C@@H](CN(C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C)CC2,dhi1
4,CHEMBL1076600,P28845,IC50,=,11.3,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)Cl)C,dhi1
5,CHEMBL1076600,P50172,IC50,=,12.1,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)Cl)C,dhi1
6,CHEMBL1076683,P28845,IC50,=,860.0,nM,[C@@H]12N([C@@H](C/C(=N/OC)/C1)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
7,CHEMBL1076683,P50172,IC50,=,103.0,nM,[C@@H]12N([C@@H](C/C(=N/OC)/C1)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
8,CHEMBL1079975,P28845,IC50,=,1623.0,nM,[C@@H]12N([C@@H](CC(C1)(O)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
9,CHEMBL1079975,P50172,IC50,=,138.0,nM,[C@@H]12N([C@@H](CC(C1)(O)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
10,CHEMBL1080158,P28845,IC50,=,740.0,nM,[C@]12(N([C@@H](CC(C1)(O)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C,dhi1
11,CHEMBL1080158,P50172,IC50,=,114.0,nM,[C@]12(N([C@@H](CC(C1)(O)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C,dhi1
12,CHEMBL1080315,P28845,IC50,=,970.0,nM,[C@@H]12N([C@@H](CC(C1)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
13,CHEMBL1080315,P28845,IC50,=,30.0,nM,[C@@H]12N([C@@H](CC(C1)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
14,CHEMBL1080315,P50172,IC50,=,5.0,nM,[C@@H]12N([C@@H](CC(C1)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
15,CHEMBL1080315,P50172,IC50,=,28.0,nM,[C@@H]12N([C@@H](CC(C1)O)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
16,CHEMBL1080557,P28845,IC50,=,159.0,nM,[C@@H]12N([C@@H](C/C(=N/OCc3ccccc3)/C1)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
17,CHEMBL1080557,P50172,IC50,=,989.0,nM,[C@@H]12N([C@@H](C/C(=N/OCc3ccccc3)/C1)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
18,CHEMBL1080752,P28845,IC50,=,0.33,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)CC(C)(C)C)C,dhi1
19,CHEMBL1080752,P50172,IC50,=,0.26,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)CC(C)(C)C)C,dhi1
20,CHEMBL1080885,P28845,IC50,=,69.0,nM,[C@@H]12N([C@@H](CC(C1)OC)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
21,CHEMBL1080885,P28845,IC50,=,37.0,nM,[C@@H]12N([C@@H](CC(C1)OC)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
22,CHEMBL1080885,P50172,IC50,=,8.0,nM,[C@@H]12N([C@@H](CC(C1)OC)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
23,CHEMBL1080885,P50172,IC50,=,5.0,nM,[C@@H]12N([C@@H](CC(C1)OC)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
24,CHEMBL1080886,P28845,IC50,=,114.0,nM,[C@@H]12N([C@@H](CC(C1)OCC)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
25,CHEMBL1080886,P50172,IC50,=,2.0,nM,[C@@H]12N([C@@H](CC(C1)OCC)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
26,CHEMBL1080887,P28845,IC50,=,32.0,nM,[C@@H]12N([C@@H](CC(C1)(O)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
27,CHEMBL1080887,P28845,IC50,=,276.0,nM,[C@@H]12N([C@@H](CC(C1)(O)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
28,CHEMBL1080887,P50172,IC50,=,206.0,nM,[C@@H]12N([C@@H](CC(C1)(O)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
29,CHEMBL1080887,P50172,IC50,=,3.0,nM,[C@@H]12N([C@@H](CC(C1)(O)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
30,CHEMBL1080888,P28845,IC50,=,48.0,nM,[C@@H]12N([C@@H](CC(C1)(OC)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
31,CHEMBL1080888,P28845,IC50,=,356.0,nM,[C@@H]12N([C@@H](CC(C1)(OC)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
32,CHEMBL1080888,P50172,IC50,=,32.0,nM,[C@@H]12N([C@@H](CC(C1)(OC)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
33,CHEMBL1080888,P50172,IC50,=,43.0,nM,[C@@H]12N([C@@H](CC(C1)(OC)C(F)(F)F)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
34,CHEMBL1080922,P28845,IC50,=,16.1,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)OC)C,dhi1
35,CHEMBL1080922,P50172,IC50,=,8.88,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)OC)C,dhi1
36,CHEMBL1080935,P28845,IC50,=,361.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C(=O)OC(C)(C)C,dhi1
37,CHEMBL1080935,P50172,IC50,=,772.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C(=O)OC(C)(C)C,dhi1
38,CHEMBL1081078,P28845,IC50,=,270.0,nM,[C@@H]12N([C@@H](C/C(=N/O)/C1)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
39,CHEMBL1081078,P50172,IC50,=,47.0,nM,[C@@H]12N([C@@H](C/C(=N/O)/C1)CC2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
40,CHEMBL1081251,P28845,IC50,=,0.11,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C,dhi1
41,CHEMBL1081251,P50172,IC50,=,0.36,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C,dhi1
42,CHEMBL1081297,P28845,IC50,=,40.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C1CCCC1,dhi1
43,CHEMBL1081297,P50172,IC50,=,1.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C1CCCC1,dhi1
44,CHEMBL1081298,P28845,IC50,=,309.0,nM,[C@@H]12N([C@@H](CN(C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C)CC2)C(=O)OC(C)(C)C,dhi1
45,CHEMBL1081298,P50172,IC50,=,692.0,nM,[C@@H]12N([C@@H](CN(C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C)CC2)C(=O)OC(C)(C)C,dhi1
46,CHEMBL1081299,P28845,IC50,=,478.0,nM,[C@@H]12N([C@@H](CN(C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C)CC2)C,dhi1
47,CHEMBL1081299,P50172,IC50,=,117.0,nM,[C@@H]12N([C@@H](CN(C1)S(=O)(=O)c1ccc(cc1)C(C)(C)C)CC2)C,dhi1
48,CHEMBL1081452,P28845,IC50,=,4402.0,nM,C1N[C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
49,CHEMBL1081452,P50172,IC50,=,156.0,nM,C1N[C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C,dhi1
50,CHEMBL1081453,P28845,IC50,=,75.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C1CC2CCC1C2,dhi1
51,CHEMBL1081453,P28845,IC50,=,77.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C1CC2CCC1C2,dhi1
52,CHEMBL1081453,P50172,IC50,=,31.0,nM,C1N([C@H]2C[C@@H]1N(C2)S(=O)(=O)c1ccc(cc1)C(C)(C)C)C1CC2CCC1C2,dhi1
