,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1077662,P22411,IC50,=,217.0,nM,C1CC(CCN1CC(=O)NC1CC1)N(N)CC(=O)N1CSC[C@H]1C#N.Cl,dpp4
1,CHEMBL1077782,P22411,IC50,=,1449.0,nM,C1CC(CCN1S(=O)(=O)c1ccc(cc1)Cl)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
2,CHEMBL1077835,P22411,IC50,=,2701.0,nM,C1CC(CCN1S(=O)(=O)c1ccc(cc1)C)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
3,CHEMBL1077836,P22411,IC50,=,3755.0,nM,C1CC(CCN1S(=O)(=O)C)N(NCC)CC(=O)N1CSC[C@H]1C#N.Cl,dpp4
4,CHEMBL1077837,P22411,IC50,=,866.0,nM,C1CC(CCN1C(=O)C1CCC(CC1)C)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
5,CHEMBL1077838,P22411,IC50,=,1534.0,nM,C1CC(CCN1C(=O)C)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
6,CHEMBL1077867,P22411,IC50,=,90.0,nM,Cl.c1c(ccc(c1)S(=O)(=O)N)NC(=O)CN1CCC(CC1)N(N)CC(=O)N1CSC[C@H]1C#N,dpp4
7,CHEMBL1077868,P22411,IC50,=,490.0,nM,C1CC(CCN1CC(=O)Nc1ncc(cc1)Cl)N(NCC)CC(=O)N1CSC[C@H]1C#N.Cl,dpp4
8,CHEMBL1077869,P22411,IC50,=,38450.0,nM,C1CC(CCN1CC(=O)Nc1ncc(cc1)Cl)N(NC(=O)OC)CC(=O)N1CSC[C@H]1C#N.Cl,dpp4
9,CHEMBL1077953,P22411,IC50,=,667.0,nM,C1CC(CCN1C(=O)Cc1cccnc1)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
10,CHEMBL1077954,P22411,IC50,=,830.0,nM,C1CC(CCN1C(=O)CN1CCOCC1)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
11,CHEMBL1078049,P22411,IC50,=,120.0,nM,C1CC(CCN1CC(=O)Nc1ncc(cc1)Cl)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
12,CHEMBL1078161,P22411,IC50,=,4048.0,nM,C1CC(CCN1CC(=O)Nc1ncc(cc1)Cl)N(N)CC(=O)N1CSC[C@@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
13,CHEMBL1078246,P22411,IC50,=,1228.0,nM,C1CC(CCN1C(=O)N(CCN)C)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
14,CHEMBL1078247,P22411,IC50,=,790.0,nM,C1CC(CCN1C(=O)N1CCOCC1)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
15,CHEMBL1078249,P22411,IC50,=,3700.0,nM,C1CC(CCN1CC(=O)Nc1ncc(cc1)Cl)N(N)CC(=O)N1CCC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
16,CHEMBL1078410,P22411,IC50,=,143.0,nM,C1CC(CCN1CC(=O)Nc1ncccn1)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
17,CHEMBL1078428,P22411,IC50,=,1793.0,nM,C1CC(CCN1C(=O)c1cccc(c1Cl)Cl)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
18,CHEMBL1078527,P22411,IC50,=,4149.0,nM,C1CC(CCN1C(=O)C(C)(C)C)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
19,CHEMBL1078951,P22411,IC50,=,12076.0,nM,C1CC(CCN1)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
20,CHEMBL1078952,P22411,IC50,=,6677.0,nM,C1CC(CCN1S(=O)(=O)c1ccc(cc1)OC)N(N)CC(=O)N1CSC[C@H]1C#N.C(C(=O)O)(F)(F)F,dpp4
