,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100264,P35462,Inhibition,=,-27.62,%,n1c(nc2c(c1Nc1ccc(Cl)cc1)cccc2)N1CCOCC1,drd3
1,CHEMBL100461,P35462,Ki,>,5000.0,nM,c1(ccc(cc1)OCCNCc1ccccc1)O,drd3
2,CHEMBL1006,P35462,Ki,=,655.0,nM,S(CCNCCCN)P(=O)(O)O,drd3
3,CHEMBL1006,P35462,IC50,=,1929.0,nM,S(CCNCCCN)P(=O)(O)O,drd3
4,CHEMBL10085,P19020,Ki,=,1.8,nM,C(=O)(N1CCCCC1)c1cc(CN2CCN(c3c(OC(C)C)cccc3)CC2)ccc1,drd3
5,CHEMBL10085,P35462,Ki,<,4.0,nM,C(=O)(N1CCCCC1)c1cc(CN2CCN(c3c(OC(C)C)cccc3)CC2)ccc1,drd3
6,CHEMBL10085,P35462,Ki,=,1.8,nM,C(=O)(N1CCCCC1)c1cc(CN2CCN(c3c(OC(C)C)cccc3)CC2)ccc1,drd3
7,CHEMBL100952,P35462,Ki,>,400.0,nM,N1(c2c(O)cccc2)CCN(Cc2ccccc2)CC1,drd3
8,CHEMBL101032,P35462,Ki,>,400.0,nM,C(N1CCN(CC1)c1ccccc1)c1ccccc1,drd3
9,CHEMBL101285,P35462,Ki,=,281.5,nM,c1(c(OCCNCc2ccccc2)cccc1)O,drd3
10,CHEMBL101480,P35462,EC50,>,1000.0,nM,N1(CC(c2cc(OC)ccc2)OCC1)CCC,drd3
11,CHEMBL101910,P35462,Ki,>,400.0,nM,S(=O)(=O)(Nc1cc(ccc1F)OCCNCc1sccc1)C,drd3
12,CHEMBL102414,P35462,Ki,=,83.0,nM,C12c3c(CCC1N(CCc1sccc1)CCO2)ccc(c3)O,drd3
13,CHEMBL102463,P35462,EC50,=,27.0,nM,N1(CC(c2cc(O)ccc2)OCC1)CCC,drd3
14,CHEMBL102490,P35462,Ki,=,27.8,nM,S(=O)(=O)(Nc1cc(ccc1Cl)OCCNCc1sccc1)C,drd3
15,CHEMBL102582,P35462,Ki,=,0.21,nM,C12c3c(CCC1N(CCO2)CCC)ccc(c3)O,drd3
16,CHEMBL102599,P35462,Ki,>,8000.0,nM,c1([nH]cc(n1)CN1CCN(c2ncncc2)CC1)c1ccccc1,drd3
17,CHEMBL102632,P35462,Ki,=,240.0,nM,c12C3C(N(CCO3)CCC)CCc1scc2,drd3
18,CHEMBL103441,P35462,Ki,=,117.0,nM,c1(sccc1)CCN(CCc1cscc1)CCC,drd3
19,CHEMBL1036,P19020,Ki,=,1095.0,nM,C1(CCN(CC1)CCCC(c1ccc(cc1)F)O)(c1ccc(cc1)Cl)O,drd3
20,CHEMBL103622,P35462,Ki,=,40.0,nM,c12c(scc2)CCC(C1)N(CCC)CCC,drd3
21,CHEMBL103772,P35462,Ki,>,8000.0,nM,c1([nH]cc(n1)CN1CCN(c2ncccn2)CC1)c1ccccc1,drd3
22,CHEMBL103857,P35462,Ki,=,28.0,nM,c12c(ccs2)CCC(C1)N(CCC)CCC,drd3
23,CHEMBL103871,P35462,Ki,=,193.0,nM,c1c(cccc1)c1[nH]cc(n1)CN1CCN(CC1)c1ccccc1,drd3
24,CHEMBL103900,P35462,Ki,>,400.0,nM,N1(c2ccc(cc2)O)CCN(Cc2ccccc2)CC1,drd3
25,CHEMBL103912,P35462,Ki,=,60.0,nM,c12c(ccs1)CCC(C2)CN(CCC)CCC,drd3
26,CHEMBL103951,P35462,Ki,>,400.0,nM,N(Cc1ccccc1)CCOc1ccccc1,drd3
27,CHEMBL104,P35462,Ki,=,899.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,drd3
28,CHEMBL104,P35462,IC50,=,2647.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,drd3
29,CHEMBL104092,P35462,Ki,=,8700.0,nM,n1(c(C#Cc2ccccc2)ccc1)C1CCN(CC1)Cc1ccccc1,drd3
30,CHEMBL104135,P35462,Ki,=,247.0,nM,c12c(scc1)CCC(C2)CN(CCC)CCC,drd3
31,CHEMBL104201,P35462,Ki,=,7000.0,nM,n1(cc(C=C(C#N)C#N)cc1)C1CCN(CC1)Cc1ccccc1,drd3
32,CHEMBL104453,P35462,Ki,=,770.0,nM,n1(c(c2ocnc2)ccc1)C1CCN(CC1)Cc1ccccc1,drd3
33,CHEMBL105509,P35462,Ki,=,158.0,nM,n1c2c(CC(N(CCC)CCC)CC2)ccc1OC,drd3
34,CHEMBL105512,P35462,Ki,=,1.9,nM,n1c(sc2c1CCC(C2)N(CCC)CCC)N,drd3
35,CHEMBL105623,P35462,Ki,=,108.0,nM,s1cc(cc1)CCN(CCc1cscc1)CCC,drd3
36,CHEMBL105646,P35462,EC50,>,2800.0,nM,N1(CC(c2cc(Cl)ccc2)OCC1)CCC,drd3
37,CHEMBL105977,P35462,Ki,=,4.97,nM,C1(Cc2c(nccc2)CC1)N(CCC)CCC,drd3
38,CHEMBL106047,P35462,Ki,=,366.0,nM,c12c(cc(cc2)OC)CCC(C1)N(CCC)CCC,drd3
39,CHEMBL106186,P35462,Inhibition,<,50.0,%,n12c(nc(c2)CN2CCN(c3c(OC)cccc3)CC2)c2c(nc1O)cccc2,drd3
40,CHEMBL1065,P35462,Ki,=,59.0,nM,c1cc2c3c(c1)C1=C[C@@H](C(=O)N[C@H](CO)CC)CN([C@@H]1Cc3cn2C)C,drd3
41,CHEMBL1065,P35462,IC50,=,172.0,nM,c1cc2c3c(c1)C1=C[C@@H](C(=O)N[C@H](CO)CC)CN([C@@H]1Cc3cn2C)C,drd3
42,CHEMBL106622,P35462,Ki,=,3.8,nM,[C@H]12c3c(c4c(C1)ccc(c4O)O)cc(cc3CCN2CCC)F,drd3
43,CHEMBL106622,P35462,Ki,>,10000.0,nM,[C@H]12c3c(c4c(C1)ccc(c4O)O)cc(cc3CCN2CCC)F,drd3
44,CHEMBL106635,P35462,Ki,=,2600.0,nM,n1(c(ccc1)I)C1CCN(CC1)Cc1ccccc1,drd3
45,CHEMBL106660,P35462,Ki,=,72.7,nM,N1(C2CC(CC1CC2)OC(c1cc(Cl)ccc1)c1ccccc1)CCCc1ccccc1,drd3
46,CHEMBL106737,P35462,Ki,=,985.0,nM,n12c(=NCC2CN2CCN(c3c(OC)cccc3)CC2)c2c([nH]c1=O)cccc2,drd3
47,CHEMBL107084,P35462,Inhibition,<,50.0,%,n12c(ncc2CN2CCN(c3c(OC)cccc3)CC2)c2c(nc1O)cccc2,drd3
48,CHEMBL107492,P35462,Ki,>,1425.0,nM,N#Cc1cc(C2CN(CCC2)CCC)ccc1,drd3
49,CHEMBL107492,P35462,Ki,=,249.0,nM,N#Cc1cc(C2CN(CCC2)CCC)ccc1,drd3
50,CHEMBL107492,P35462,Ki,=,249.0,nM,N#Cc1cc(C2CN(CCC2)CCC)ccc1,drd3
51,CHEMBL107529,P35462,Ki,=,6800.0,nM,c1(cn(cc1)C1CCN(CC1)Cc1ccccc1)c1ocnc1,drd3
52,CHEMBL1076586,P35462,Ki,>,10000.0,nM,c1(ccc(cc1)C(=O)N1CCN(CC1)C(=O)c1ccc2c(c1)[nH]cc2)c1ccccc1,drd3
53,CHEMBL1077189,P35462,Ki,>,10000.0,nM,C1N2C(c3c(CC2)cccc3)c2c3c1cccc3[nH]c2,drd3
54,CHEMBL1077197,P35462,EC50,>,3162.28,nM,C1CN(C(=O)N1c1cnccc1)CC1CCCCN1,drd3
55,CHEMBL1077197,P35462,Ki,>,630.96,nM,C1CN(C(=O)N1c1cnccc1)CC1CCCCN1,drd3
56,CHEMBL1077344,P35462,EC50,>,3162.28,nM,C1CN(C(=O)N1c1cc(ccc1)Cl)CCN1CCCCCC1,drd3
57,CHEMBL1077344,P35462,Ki,=,5.012,nM,C1CN(C(=O)N1c1cc(ccc1)Cl)CCN1CCCCCC1,drd3
58,CHEMBL1077348,P35462,EC50,>,3162.28,nM,C1CN(C(=O)N1c1ccc(cc1)C)CCN1CCCCCC1,drd3
59,CHEMBL1077348,P35462,Ki,=,125.89,nM,C1CN(C(=O)N1c1ccc(cc1)C)CCN1CCCCCC1,drd3
60,CHEMBL1078207,P35462,Ki,=,31.62,nM,c1c(cc2CCN(CCc2c1)Cc1cc[nH]n1)NS(=O)(=O)c1ccc(cc1)c1ccccc1,drd3
61,CHEMBL1078208,P35462,Ki,=,19.95,nM,c1c(cc2CCN(CCc2c1)Cc1cc[nH]n1)NS(=O)(=O)c1ccc(cc1)OC(C)C,drd3
62,CHEMBL1078491,P35462,Ki,=,630.96,nM,c1c(cc2CCN(CCc2c1)Cc1cc[nH]n1)NS(=O)(=O)c1cc2c(cc1)N(CCO2)C,drd3
63,CHEMBL1078492,P35462,Ki,=,199.53,nM,c1c(cc2CCN(CCc2c1)Cc1cc[nH]n1)NS(=O)(=O)c1sc(cc1)c1ccccn1,drd3
64,CHEMBL1078595,P35462,Ki,=,630.96,nM,c1c(cc2CCN(CCc2c1)Cc1cc[nH]n1)NS(=O)(=O)c1ccc(nc1)N1CCOCC1,drd3
65,CHEMBL1079079,P35462,Inhibition,<,50.0,%,c1c(ccc(c1)c1n(nc(c1C#N)C(=O)NN1CCCCC1)c1ccccc1[125I])OC,drd3
66,CHEMBL1079190,P35462,EC50,>,3162.28,nM,C1CN(C(=O)N1c1cc(ccc1)Cl)CC1CCCCN1C,drd3
67,CHEMBL1079190,P35462,Ki,=,3.981,nM,C1CN(C(=O)N1c1cc(ccc1)Cl)CC1CCCCN1C,drd3
68,CHEMBL1079191,P35462,EC50,>,3162.28,nM,C1CN(C(=O)N1c1ccc(cc1)Cl)CCN1CCCCCC1,drd3
69,CHEMBL1079191,P35462,Ki,=,79.43,nM,C1CN(C(=O)N1c1ccc(cc1)Cl)CCN1CCCCCC1,drd3
70,CHEMBL1079311,P35462,Ki,=,100.0,nM,c1c(cc2CCN(CCc2c1)Cc1cc[nH]n1)NS(=O)(=O)c1cc(c(cc1)C)Cl,drd3
71,CHEMBL1079461,P35462,Ki,=,12.59,nM,C1N(CC2C1(C2)c1cccc(c1)Cl)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
72,CHEMBL1079461,P35462,Ki,=,0.7943,nM,C1N(CC2C1(C2)c1cccc(c1)Cl)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
73,CHEMBL1079461,P35462,Ki,=,5.012,nM,C1N(CC2C1(C2)c1cccc(c1)Cl)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
74,CHEMBL1079462,P35462,Ki,=,501.19,nM,C1N(CC2C1(C2)c1ccc(cc1)F)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
75,CHEMBL1079462,P35462,Ki,=,6.31,nM,C1N(CC2C1(C2)c1ccc(cc1)F)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
76,CHEMBL1079462,P35462,Ki,=,7.943,nM,C1N(CC2C1(C2)c1ccc(cc1)F)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
77,CHEMBL1079475,P35462,Ki,=,1.585,nM,C1N(C[C@H]2[C@@]1(C2)c1ccc(cc1)C(F)(F)F)CCCSc1n(c(nn1)c1cncnc1)C,drd3
78,CHEMBL1079480,P35462,Ki,=,0.631,nM,C1N(C[C@H]2[C@@]1(C2)c1ccc(cc1)C(F)(F)F)CCCSc1n(c(nn1)c1ncc(nc1)C)C,drd3
79,CHEMBL1079481,P35462,Ki,=,0.5012,nM,C1N(CC2C1(C2)c1ccc(cc1)C(F)(F)F)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
80,CHEMBL1079481,P35462,Ki,=,0.5012,nM,C1N(CC2C1(C2)c1ccc(cc1)C(F)(F)F)CCCSc1n(c(nn1)c1c(nco1)C)C,drd3
