,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100239,P00374,IC50,=,620.0,nM,c12c(c(nc(n1)N)N)c(ccc2)Sc1ccccc1,dyr
1,CHEMBL100239,P00374,IC50,=,620.0,nM,c12c(c(nc(n1)N)N)c(ccc2)Sc1ccccc1,dyr
2,CHEMBL100239,P00376,IC50,=,100000000.0,nM,c12c(c(nc(n1)N)N)c(ccc2)Sc1ccccc1,dyr
3,CHEMBL100239,P22906,IC50,=,34.0,nM,c12c(c(nc(n1)N)N)c(ccc2)Sc1ccccc1,dyr
4,CHEMBL100239,P22906,IC50,=,34.0,nM,c12c(c(nc(n1)N)N)c(ccc2)Sc1ccccc1,dyr
5,CHEMBL100239,Q8NWQ9,IC50,>,1000000000.0,nM,c12c(c(nc(n1)N)N)c(ccc2)Sc1ccccc1,dyr
6,CHEMBL100435,Q920D2,Log 1/C,=,7.92,Unspecified,N1(C(=NC(=NC1(C)C)N)N)c1cc(c(cc1)OCCNC(=O)Nc1ccc(S(=O)(=O)F)cc1)Cl,dyr
7,CHEMBL100543,P00374,IC50/[E],=,2.4,nM milliunit-1,c1(c(C(=O)NCCCC(NC(=O)c2ccc(NCc3nc4c(nc(nc4N)N)nc3)cc2)C(=O)O)ccc(c1Cl)Cl)C(=O)O,dyr
8,CHEMBL101378,P16184,IC50,=,25000.0,nM,c1(nc2c(n1)[nH]c(nc2N)N)c1c([N+](=O)[O-])cc(c(c1)OC)OC,dyr
9,CHEMBL101378,P16184,Inhibition,=,15.0,%,c1(nc2c(n1)[nH]c(nc2N)N)c1c([N+](=O)[O-])cc(c(c1)OC)OC,dyr
10,CHEMBL101378,Q920D2,IC50,=,25000.0,nM,c1(nc2c(n1)[nH]c(nc2N)N)c1c([N+](=O)[O-])cc(c(c1)OC)OC,dyr
11,CHEMBL101378,Q920D2,Inhibition,=,14.0,%,c1(nc2c(n1)[nH]c(nc2N)N)c1c([N+](=O)[O-])cc(c(c1)OC)OC,dyr
12,CHEMBL101908,P16184,IC50,=,105000.0,nM,c1c(ccc2c1cccc2)SCc1[nH]c2nc(nc(N)c2n1)N,dyr
13,CHEMBL101908,Q920D2,IC50,=,107000.0,nM,c1c(ccc2c1cccc2)SCc1[nH]c2nc(nc(N)c2n1)N,dyr
14,CHEMBL101908,Q920D2,IC50,=,107000.0,nM,c1c(ccc2c1cccc2)SCc1[nH]c2nc(nc(N)c2n1)N,dyr
15,CHEMBL102303,P16184,IC50,=,9800.0,nM,n1c(nc2c(c1N)nc([nH]2)Cc1ccccc1)N,dyr
16,CHEMBL102303,Q920D2,IC50,=,1584.89,nM,n1c(nc2c(c1N)nc([nH]2)Cc1ccccc1)N,dyr
17,CHEMBL102303,Q920D2,IC50,=,1600.0,nM,n1c(nc2c(c1N)nc([nH]2)Cc1ccccc1)N,dyr
18,CHEMBL102303,Q920D2,IC50,=,1600.0,nM,n1c(nc2c(c1N)nc([nH]2)Cc1ccccc1)N,dyr
19,CHEMBL102418,P16184,IC50,=,460.0,nM,c1([N+](=O)[O-])c(N(Cc2ccc(C(=O)NC)cc2)C)ccc(c2c(nc(nc2CC)N)N)c1,dyr
20,CHEMBL102418,Q920D2,Ki,=,0.00035,nM,c1([N+](=O)[O-])c(N(Cc2ccc(C(=O)NC)cc2)C)ccc(c2c(nc(nc2CC)N)N)c1,dyr
21,CHEMBL102418,Q920D2,IC50,=,6.8,nM,c1([N+](=O)[O-])c(N(Cc2ccc(C(=O)NC)cc2)C)ccc(c2c(nc(nc2CC)N)N)c1,dyr
22,CHEMBL102432,P16184,IC50,=,29000.0,nM,c1c(ccc(c1NCc1[nH]c2nc(nc(N)c2n1)N)OC)OC,dyr
23,CHEMBL102432,P16184,Inhibition,=,7.0,%,c1c(ccc(c1NCc1[nH]c2nc(nc(N)c2n1)N)OC)OC,dyr
24,CHEMBL102432,Q920D2,IC50,>,29000.0,nM,c1c(ccc(c1NCc1[nH]c2nc(nc(N)c2n1)N)OC)OC,dyr
25,CHEMBL102432,Q920D2,IC50,=,29000.0,nM,c1c(ccc(c1NCc1[nH]c2nc(nc(N)c2n1)N)OC)OC,dyr
26,CHEMBL102432,Q920D2,Inhibition,=,15.0,%,c1c(ccc(c1NCc1[nH]c2nc(nc(N)c2n1)N)OC)OC,dyr
27,CHEMBL102444,P16184,IC50,=,34000.0,nM,c12c(nc(n2)CNc2cc(c(c(c2)OC)OC)OC)c(nc([nH]1)N)N,dyr
28,CHEMBL102444,P16184,Inhibition,=,6.0,%,c12c(nc(n2)CNc2cc(c(c(c2)OC)OC)OC)c(nc([nH]1)N)N,dyr
29,CHEMBL102444,Q920D2,IC50,=,34000.0,nM,c12c(nc(n2)CNc2cc(c(c(c2)OC)OC)OC)c(nc([nH]1)N)N,dyr
30,CHEMBL102444,Q920D2,Inhibition,=,19.0,%,c12c(nc(n2)CNc2cc(c(c(c2)OC)OC)OC)c(nc([nH]1)N)N,dyr
31,CHEMBL102447,P16184,IC50,=,450.0,nM,n1c(c(c2cc([N+](=O)[O-])c(NCc3ccc(C(=O)NC(C(=O)OCC)CCC(=O)OCC)cc3)cc2)c(nc1N)CC)N,dyr
32,CHEMBL102447,Q920D2,IC50,=,6.7,nM,n1c(c(c2cc([N+](=O)[O-])c(NCc3ccc(C(=O)NC(C(=O)OCC)CCC(=O)OCC)cc3)cc2)c(nc1N)CC)N,dyr
33,CHEMBL102518,P16184,IC50,=,12000.0,nM,n1c(nc2c(c1N)nc([nH]2)c1ccc(c(c1)OC)OC)N,dyr
34,CHEMBL102518,P16184,Inhibition,=,6.0,%,n1c(nc2c(c1N)nc([nH]2)c1ccc(c(c1)OC)OC)N,dyr
