,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P00533,Residual Activity,=,-1.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
1,CHEMBL10,P00533,Residual Activity,=,1.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
2,CHEMBL10,P00533,Kd,=,2000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
3,CHEMBL10,P00533,Kd,=,1900.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
4,CHEMBL10,P00533,Ki,>,1258.93,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
5,CHEMBL10,P00533,Kd,=,2500.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
6,CHEMBL10,P00533,Kd,=,3200.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
7,CHEMBL10,P00533,Kd,=,1300.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
8,CHEMBL10,P00533,Kd,=,1900.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
9,CHEMBL10,P00533,Kd,=,1500.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
10,CHEMBL10,P00533,Kd,=,1600.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
11,CHEMBL10,P00533,Kd,=,1700.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
12,CHEMBL10,P00533,Kd,=,1300.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
13,CHEMBL10,P00533,Kd,=,710.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
14,CHEMBL10,P00533,Kd,=,340.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
15,CHEMBL10,P00533,Kd,=,1700.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
16,CHEMBL10,P00533,Kd,=,340.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
17,CHEMBL10,P00533,Kd,=,1700.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
18,CHEMBL10,P00533,Kd,=,1600.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
19,CHEMBL10,P00533,Kd,=,1700.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
20,CHEMBL10,P00533,Kd,=,710.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
21,CHEMBL10,P00533,Kd,=,1300.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,egfr
