,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100231,Q92731,IC50,=,3689.78,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)C(C)C,esr2
1,CHEMBL100231,Q92731,IC50,=,4775.29,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)C(C)C,esr2
2,CHEMBL100231,Q92731,IC50,=,3687.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)C(C)C,esr2
3,CHEMBL100231,Q92731,IC50,=,4776.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)C(C)C,esr2
4,CHEMBL100258,Q62986,Selectivity,=,7.7,Unspecified,c1(c(c2c3c(ccc2)cccc3)c2c(o1)cc(cc2)O)C(=O)c1ccc(OC(F)F)cc1,esr2
5,CHEMBL10030,Q62986,Mean weight,=,25.5,mg,c1c(cc2c(c1)c(c(s2)c1ccc(cc1)O)C(=O)c1ccc(cc1)OCCN1CCCC1)O,esr2
6,CHEMBL10030,Q62986,Mean weight,=,25.6,mg,c1c(cc2c(c1)c(c(s2)c1ccc(cc1)O)C(=O)c1ccc(cc1)OCCN1CCCC1)O,esr2
7,CHEMBL10030,Q62986,Inhibition,=,62.0,%,c1c(cc2c(c1)c(c(s2)c1ccc(cc1)O)C(=O)c1ccc(cc1)OCCN1CCCC1)O,esr2
8,CHEMBL10030,Q62986,RBA,=,93.0,Unspecified,c1c(cc2c(c1)c(c(s2)c1ccc(cc1)O)C(=O)c1ccc(cc1)OCCN1CCCC1)O,esr2
9,CHEMBL100303,Q62986,IC50,=,270.0,nM,[C@@H]1(c2c(CC[C@H]1c1ccccc1)cc(cc2)O)c1ccc(cc1)OCCN1CCCC1,esr2
10,CHEMBL10041,Q62986,RBA,~,3e-08,M,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,esr2
11,CHEMBL10041,Q62986,Uterotropic effect,=,12.0,Unspecified,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,esr2
12,CHEMBL10041,Q62986,Antiuterotropic effect,=,16.5,Unspecified,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,esr2
13,CHEMBL10041,Q62986,Inhibition,=,29.7,%,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,esr2
14,CHEMBL100484,Q62986,Selectivity,=,2.1,Unspecified,c1(c(c2c3c(ccc2)cccc3)c2c(o1)cc(cc2)O)C(=O)c1c(Cl)cccc1,esr2
15,CHEMBL100595,Q92731,IC50,=,1104.08,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(C(C)C)ccc1,esr2
16,CHEMBL100595,Q92731,IC50,=,492.04,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(C(C)C)ccc1,esr2
17,CHEMBL100595,Q92731,IC50,=,1105.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(C(C)C)ccc1,esr2
18,CHEMBL100595,Q92731,IC50,=,492.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(C(C)C)ccc1,esr2
19,CHEMBL100617,Q92731,IC50,=,304.09,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(O)ccc1,esr2
20,CHEMBL100617,Q92731,IC50,=,46.99,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(O)ccc1,esr2
21,CHEMBL100617,Q92731,IC50,=,304.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(O)ccc1,esr2
22,CHEMBL100617,Q92731,IC50,=,47.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(O)ccc1,esr2
23,CHEMBL100763,Q92731,IC50,=,302.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)Cl,esr2
24,CHEMBL100763,Q92731,IC50,=,530.88,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)Cl,esr2
25,CHEMBL100763,Q92731,IC50,=,302.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)Cl,esr2
26,CHEMBL100763,Q92731,IC50,=,531.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)Cl,esr2
27,CHEMBL101083,Q92731,IC50,=,316.96,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)F,esr2
28,CHEMBL101083,Q92731,IC50,=,92.04,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)F,esr2
29,CHEMBL101083,Q92731,IC50,=,317.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)F,esr2
30,CHEMBL101083,Q92731,IC50,=,92.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)F,esr2
31,CHEMBL101382,Q92731,IC50,=,345.94,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)OCCN1CCCCC1)c1ccccc1,esr2
32,CHEMBL101382,Q92731,IC50,=,346.0,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)OCCN1CCCCC1)c1ccccc1,esr2
33,CHEMBL101382,Q92731,IC50,=,289.0,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)OCCN1CCCCC1)c1ccccc1,esr2
34,CHEMBL101382,Q92731,IC50,=,289.07,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)OCCN1CCCCC1)c1ccccc1,esr2
35,CHEMBL101382,Q92731,IC50,=,346.0,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)OCCN1CCCCC1)c1ccccc1,esr2
36,CHEMBL101382,Q92731,IC50,=,289.0,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)OCCN1CCCCC1)c1ccccc1,esr2
37,CHEMBL10147,Q62986,Uterotropic effect,=,11.0,Unspecified,C(=C(\c1ccc(cc1)O)/CC)(/c1ccc(cc1)OCCN(C)C)\c1ccccc1,esr2
38,CHEMBL10147,Q62986,Antiuterotropic effect,=,15.7,Unspecified,C(=C(\c1ccc(cc1)O)/CC)(/c1ccc(cc1)OCCN(C)C)\c1ccccc1,esr2
39,CHEMBL10147,Q62986,Inhibition,=,34.3,%,C(=C(\c1ccc(cc1)O)/CC)(/c1ccc(cc1)OCCN(C)C)\c1ccccc1,esr2
40,CHEMBL101719,Q92731,IC50,=,3110.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(N(C)C)ccc1,esr2
41,CHEMBL101719,Q92731,IC50,=,2183.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(N(C)C)ccc1,esr2
42,CHEMBL1018,O08537,RBA,=,20.0,Unspecified,C(=C\C)(/C(=C/C)/c1ccc(cc1)O)\c1ccc(cc1)O,esr2
43,CHEMBL101807,Q92731,IC50,=,103.99,nM,C1(N(CCc2c1ccc(c2)O)c1ccccc1)(c1ccc(cc1)OCCN1CCCCC1)C,esr2
44,CHEMBL101807,Q92731,IC50,=,82.99,nM,C1(N(CCc2c1ccc(c2)O)c1ccccc1)(c1ccc(cc1)OCCN1CCCCC1)C,esr2
45,CHEMBL101807,Q92731,IC50,=,104.0,nM,C1(N(CCc2c1ccc(c2)O)c1ccccc1)(c1ccc(cc1)OCCN1CCCCC1)C,esr2
46,CHEMBL101807,Q92731,IC50,=,83.0,nM,C1(N(CCc2c1ccc(c2)O)c1ccccc1)(c1ccc(cc1)OCCN1CCCCC1)C,esr2
47,CHEMBL101997,Q92731,IC50,=,204.17,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)F,esr2
48,CHEMBL101997,Q92731,IC50,=,82.04,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)F,esr2
49,CHEMBL101997,Q92731,IC50,=,204.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)F,esr2
50,CHEMBL101997,Q92731,IC50,=,82.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCC1)C)c1ccc(cc1)F,esr2
51,CHEMBL103,O08537,RBA,<,0.1,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,esr2
52,CHEMBL103,Q62986,Kd,=,3.9,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,esr2
53,CHEMBL103,Q92731,IC50,Unspecified,1000000.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,esr2
54,CHEMBL103,Q92731,IC50,Unspecified,1000000.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,esr2
55,CHEMBL103294,Q92731,IC50,=,396.28,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)Cl,esr2
56,CHEMBL103294,Q92731,IC50,=,552.08,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)Cl,esr2
57,CHEMBL103294,Q92731,IC50,=,396.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)Cl,esr2
58,CHEMBL103294,Q92731,IC50,=,552.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1ccc(cc1)Cl,esr2
59,CHEMBL103305,Q92731,IC50,=,283.79,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(Cl)ccc1,esr2
60,CHEMBL103305,Q92731,IC50,=,158.85,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(Cl)ccc1,esr2
61,CHEMBL103305,Q92731,IC50,=,284.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(Cl)ccc1,esr2
62,CHEMBL103305,Q92731,IC50,=,159.0,nM,N1(C(c2c(CC1)cc(cc2)O)(c1ccc(cc1)OCCN1CCCCC1)C)c1cc(Cl)ccc1,esr2
63,CHEMBL103650,Q92731,IC50,=,421.0,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)F)c1ccccc1,esr2
64,CHEMBL103650,Q92731,IC50,=,421.0,nM,N1(C(c2c(CC1)cc(cc2)O)c1ccc(cc1)F)c1ccccc1,esr2
65,CHEMBL10560,Q92731,IC50,=,580.0,nM,c1c(cc2c(c1)[C@]1([C@H](CC2)C[C@@](CC1)(O)C#CC)CC)O,esr2
66,CHEMBL106773,Q62986,IC50,=,9.0,nM,C(=C(\c1ccccc1)/CC)(/c1ccc(cc1)O)\c1ccc(OCC(=O)O)cc1,esr2
