,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100013,P00742,IC50,=,2770.0,nM,N1(C(=O)c2cc3c(nccc3cc2)N)[C@H](C(=O)Nc2ccc(c3c(S(=O)(=O)N)cccc3)cc2)Cc2c(C1)cccc2,fa10
1,CHEMBL100059,P00742,IC50,=,750.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)/C(=C(\c3cc(C(=N)NNc4ccccc4)ccc3)/C)/F)cc2)cccc1)N,fa10
2,CHEMBL100067,P00742,IC50,=,1780.0,nM,N1(C(=O)c2cc(C(=N)N)ccc2)[C@@H](C(=O)Nc2ccc(c3c(S(=O)(=O)N)cccc3)cc2)Cc2c(C1)ccc(c2)O,fa10
3,CHEMBL100320,P00742,IC50,>,20000.0,nM,c1c(ccc(c1)CNC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)c1nccs1)CCCNC(=N)N)C(C)C)CC(C)C)F,fa10
4,CHEMBL100333,P00742,IC50,=,3450.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc4c([nH]nc4cc3)N)c3ccccc3)cc2)cccc1)N,fa10
5,CHEMBL100619,P00742,IC50,=,31.3,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc(C(=N)N)ccc3)Cc3ccccc3)cc2)cccc1)N,fa10
6,CHEMBL100666,P00742,IC50,=,337.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)c3ccccc3)cc2)cccc1)N,fa10
7,CHEMBL100722,P00742,IC50,=,762.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)Cc3ccccc3)cc2)cccc1)N,fa10
8,CHEMBL100732,P00742,IC50,=,22.0,nM,S(=O)(=O)(N1CCN(C(=O)c2nc3c(s2)CN(CC3)C)CC1)c1cc2c(cc(cc2)Cl)cc1,fa10
9,CHEMBL100732,P00742,IC50,=,22.0,nM,S(=O)(=O)(N1CCN(C(=O)c2nc3c(s2)CN(CC3)C)CC1)c1cc2c(cc(cc2)Cl)cc1,fa10
10,CHEMBL100751,P00742,IC50,=,24.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,fa10
11,CHEMBL100751,P00742,IC50,=,24.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,fa10
12,CHEMBL100751,Q63207,Inhibition,=,24.7,%,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,fa10
13,CHEMBL100751,Q63207,Inhibition,=,55.8,%,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,fa10
14,CHEMBL100751,Q63207,Inhibition,=,67.4,%,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,fa10
15,CHEMBL101040,P00742,IC50,=,23.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)NCC(=O)N)c1cc2c(cc(cc2)Cl)cc1,fa10
16,CHEMBL101131,P00742,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc4c(noc4cc3)N)c3ccccc3)cc2)cccc1)N,fa10
17,CHEMBL101347,P00742,IC50,=,28.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)/C(=C(\c3cc(C(=N)NNC)ccc3)/C)/F)cc2)cccc1)N,fa10
18,CHEMBL101437,P00742,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H]3N(C(=O)c4cc(C(=N)N)ccc4)CCC3)cc2)cccc1)N,fa10
19,CHEMBL101586,P00742,Ki,=,7800.0,nM,C1(=O)N(c2cc(C(=N)N)ccc2)CCCCN1C1CCN(C(=O)c2ccccc2)CC1.C(C(=O)O)(F)(F)F,fa10
20,CHEMBL101654,P00742,IC50,=,34.8,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc(C(=N)N)ccc3)C(C)C)cc2)cccc1)N,fa10
21,CHEMBL101671,P00742,IC50,=,25.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)NCC(=O)N1CCOCC1)c1cc2c(cc(cc2)Cl)cc1,fa10
22,CHEMBL101734,P00742,IC50,=,635.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)C3CCCCC3)cc2)cccc1)N,fa10
23,CHEMBL101787,P00742,IC50,=,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc4c([nH]nc4cc3)N)c3ccccc3)cc2)cccc1)N,fa10
24,CHEMBL102186,P00742,IC50,=,45.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)NC(C)C)c1cc2c(cc(cc2)Cl)cc1,fa10
25,CHEMBL102216,P00742,IC50,=,1600.0,nM,N1(C(=O)[C@H](NC(=O)OC(C)(C)C)c2ccc(cc2)F)[C@H](C(=O)N[C@H](C=O)CCCN=C(N)N)CCC1,fa10
26,CHEMBL102345,P00742,Ki,=,80.0,nM,C1(=O)N(c2cc(C(=N)N)ccc2)CCCCN1C1CCN(Cc2sccc2)CC1.C(C(=O)O)(F)(F)F,fa10
27,CHEMBL102385,P00742,Ki,=,46.0,nM,C1(CC1)(CN(C(=O)CCc1ccccc1)CC(=O)NC(B(O)O)CCCNC(=N)N)c1ccccc1,fa10
28,CHEMBL102502,P00742,Ki,=,24.0,nM,S(=O)(=O)(N1CCC(N2C(=O)N(c3cc(C(=N)N)ccc3)CCCC2)CC1)c1ccccc1.C(C(=O)O)(F)(F)F,fa10
29,CHEMBL102552,P00743,IC50,=,640.0,nM,N1(C(=O)[C@H]2NCc3c(C2)cccc3)[C@H](C(=O)N[C@H](C=O)CCCNC(=N)N)CCC1,fa10
30,CHEMBL102578,P00742,Ki,=,900.0,nM,C1(=O)N(c2cc(C(=N)N)ccc2)CCCCN1C1CCN(C(=O)Cc2ccccc2)CC1.C(C(=O)O)(F)(F)F,fa10
31,CHEMBL102779,P00742,Ki,=,30.0,nM,N(C(=O)CN(C(=O)CCc1ccccc1)CCc1cc(cc(c1)C)C)C(B(O)O)CCC/N=C/N,fa10
32,CHEMBL102791,P00742,IC50,=,1610.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)/C(=C(\c3cc(C(=N)NC4CC4)ccc3)/C)/F)cc2)cccc1)N,fa10
33,CHEMBL102916,P00742,Ki,=,54.0,nM,N(C(=O)CN(C(=O)CCc1ccccc1)CCc1cc(cc(c1)C)C)C(B(O)O)CCCCN,fa10
34,CHEMBL102930,P00742,Ki,=,630.0,nM,N(C(=O)CCc1ccccc1)(CC1(c2ccccc2)CCCC1)CC(=O)NC(B(O)O)CCC/N=C/N,fa10
35,CHEMBL103041,P00742,IC50,=,5910.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)/C(=C(\c3cc4c(n[nH]c4cc3)N)/C)/F)cc2)cccc1)N,fa10
36,CHEMBL103077,P00742,Ki,=,15.0,nM,N(C(=O)CN(C(=O)CCc1ccccc1)CCc1cc(cc(c1)C)C)C(B(O)O)CCCN=C(N)N,fa10
37,CHEMBL103078,P00742,Ki,=,392.0,nM,N(C(=O)CCc1ccccc1)(CC(c1cc(cc(c1)C)C)(C)C)CC(=O)NC(B(O)O)CCC/N=C/N,fa10
38,CHEMBL103340,P00742,IC50,=,48.0,nM,C1(=O)N(C(=O)C/C/1=C(/c1cc(C(=N)NNC)ccc1)\C)c1ccc(c2c(S(=O)(=O)N)cccc2)cc1,fa10
