,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1077990,P15090,Ki,=,670.0,nM,c1cc(sc1)c1sc(c(c1)NC(=O)/C=C/C(=O)O)C(=O)OC,fabp4
1,CHEMBL1084578,P15090,IC50,>,100000.0,nM,c1cccc(c1)S(=O)(=O)c1ccc(c(c1)OS(=O)(=O)c1cc(cc(c1)Cl)Cl)[N+](=O)[O-],fabp4
2,CHEMBL1084578,P15090,Inhibition,=,40.7,%,c1cccc(c1)S(=O)(=O)c1ccc(c(c1)OS(=O)(=O)c1cc(cc(c1)Cl)Cl)[N+](=O)[O-],fabp4
3,CHEMBL1084579,P15090,IC50,>,100000.0,nM,c1c(cc(c(c1)S(=O)(=O)CCSc1n(c(=O)[nH]n1)c1ccc2c(c1)OCCO2)Cl)Cl,fabp4
4,CHEMBL1084579,P15090,Inhibition,=,37.1,%,c1c(cc(c(c1)S(=O)(=O)CCSc1n(c(=O)[nH]n1)c1ccc2c(c1)OCCO2)Cl)Cl,fabp4
5,CHEMBL1084580,P15090,IC50,>,100000.0,nM,c1c(ccc(c1)c1c(n(nc1C(F)(F)F)C)NC(=O)CSCC(=O)O)OC,fabp4
6,CHEMBL1084580,P15090,Inhibition,=,20.1,%,c1c(ccc(c1)c1c(n(nc1C(F)(F)F)C)NC(=O)CSCC(=O)O)OC,fabp4
7,CHEMBL1084821,P15090,IC50,>,100000.0,nM,c1ccc2c(c1)[nH]c(n2)SCc1cccc(n1)CSc1[nH]c2c(n1)cccc2,fabp4
8,CHEMBL1084821,P15090,Inhibition,=,47.7,%,c1ccc2c(c1)[nH]c(n2)SCc1cccc(n1)CSc1[nH]c2c(n1)cccc2,fabp4
9,CHEMBL1085065,P15090,IC50,>,100000.0,nM,c1c(ccc(c1)SC(C(=O)O)CC(=O)c1ccc(cc1)C)C,fabp4
10,CHEMBL1085065,P15090,Inhibition,=,44.4,%,c1c(ccc(c1)SC(C(=O)O)CC(=O)c1ccc(cc1)C)C,fabp4
