,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,Q05397,Residual Activity,=,115.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fak1
1,CHEMBL10,Q05397,Residual Activity,=,125.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fak1
2,CHEMBL10,Q05397,Ki,>,6309.57,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fak1
3,CHEMBL10,Q05397,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fak1
4,CHEMBL10,Q05397,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fak1
5,CHEMBL101253,Q05397,Ki,>,3981.07,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fak1
6,CHEMBL101253,Q05397,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fak1
7,CHEMBL101253,Q05397,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fak1
8,CHEMBL101311,Q05397,Ki,=,794.33,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,fak1
9,CHEMBL101683,Q05397,Residual Activity,=,73.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,fak1
10,CHEMBL101683,Q05397,Residual Activity,=,143.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,fak1
11,CHEMBL102346,Q05397,Residual Activity,=,76.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,fak1
12,CHEMBL102346,Q05397,Residual Activity,=,108.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,fak1
13,CHEMBL103667,Q05397,IC50,=,2000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,fak1
14,CHEMBL103667,Q05397,Ki,>,6309.57,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,fak1
15,CHEMBL103667,Q05397,Kd,=,7100.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,fak1
16,CHEMBL103667,Q05397,Kd,=,7100.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,fak1
17,CHEMBL104264,Q05397,Residual Activity,=,30.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,fak1
18,CHEMBL104264,Q05397,Residual Activity,=,96.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,fak1
19,CHEMBL104279,Q05397,Residual Activity,=,42.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,fak1
20,CHEMBL104279,Q05397,Residual Activity,=,103.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,fak1
21,CHEMBL104468,Q05397,Residual Activity,=,92.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,fak1
22,CHEMBL104468,Q05397,Residual Activity,=,132.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,fak1
23,CHEMBL105442,Q05397,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,fak1
24,CHEMBL1076555,Q05397,Residual Activity,=,94.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,fak1
25,CHEMBL1076555,Q05397,Residual Activity,=,108.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,fak1
26,CHEMBL1077739,Q05397,Inhibition,=,-3.0,%,c1(ccc2n(c1)c(cn2)C(=O)Nc1ccccc1Cl)C1CCNCC1.C(=O)(C(=O)O)O,fak1
27,CHEMBL1078665,Q05397,Inhibition,<,50.0,%,c1(c(c(=O)n(c(c1)C)Cc1ccc(cc1)CN(C)C)Br)OCc1ccc(cc1F)F,fak1
28,CHEMBL1081312,Q05397,Ki,=,1258.93,nM,C1CCCC1n1nc(c2c1ncnc2N)c1cc2cc[nH]c2nc1,fak1
29,CHEMBL1081678,Q05397,Inhibition,<,50.0,%,c1(c(c(=O)n(c(c1)C)c1ncc(nc1)CO)Br)OCc1c(cc(cc1)F)F,fak1
30,CHEMBL1082440,Q05397,Ki,>,1584.89,nM,c1ncc(c2c1cccc2S(=O)(=O)N1CCCNCC1C)C,fak1
31,CHEMBL1084269,Q05397,IC50,>,10000.0,nM,n1cccc(c1)OCc1cc([nH]n1)NC(=O)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,fak1
32,CHEMBL1084546,Q05397,IC50,=,1.5,nM,n1c(nc(c(c1)C(F)(F)F)NCc1cccnc1N(S(=O)(=O)C)C)Nc1cc2c(cc1)NC(=O)C2,fak1
33,CHEMBL1084546,Q05397,IC50,=,1.0,nM,n1c(nc(c(c1)C(F)(F)F)NCc1cccnc1N(S(=O)(=O)C)C)Nc1cc2c(cc1)NC(=O)C2,fak1
34,CHEMBL1084546,Q05397,IC50,=,1.5,nM,n1c(nc(c(c1)C(F)(F)F)NCc1cccnc1N(S(=O)(=O)C)C)Nc1cc2c(cc1)NC(=O)C2,fak1
35,CHEMBL1084546,Q05397,Ki,=,0.631,nM,n1c(nc(c(c1)C(F)(F)F)NCc1cccnc1N(S(=O)(=O)C)C)Nc1cc2c(cc1)NC(=O)C2,fak1
