,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P11362,Residual Activity,=,90.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fgfr1
1,CHEMBL10,P11362,Residual Activity,=,142.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fgfr1
2,CHEMBL10,P11362,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fgfr1
3,CHEMBL10,P11362,Ki,>,3981.07,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fgfr1
4,CHEMBL10,P11362,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,fgfr1
5,CHEMBL100174,P11362,Selectivity,>,130.0,Unspecified,c1(sc(nc1)/N=N/c1c(cc(N(CCCC)C)cc1)C)[N+](=O)[O-],fgfr1
6,CHEMBL101253,P11362,Inhibition,=,31.0,%,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fgfr1
7,CHEMBL101253,P11362,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fgfr1
8,CHEMBL101253,P11362,Ki,>,3981.07,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fgfr1
9,CHEMBL101253,P11362,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,fgfr1
10,CHEMBL101311,P11362,Ki,=,3981.07,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,fgfr1
11,CHEMBL101464,P11362,Selectivity,=,1620.0,Unspecified,c1(sc(cn1)c1ccccc1)Nc1nc(Br)ccc1,fgfr1
12,CHEMBL101544,P11362,Selectivity,=,214.0,Unspecified,c1(ncc(s1)C#N)Nc1ncccc1,fgfr1
13,CHEMBL101683,P11362,Residual Activity,=,10.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,fgfr1
14,CHEMBL101683,P11362,Residual Activity,=,75.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,fgfr1
15,CHEMBL101804,P11362,Inhibition,=,2.13,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,fgfr1
