,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL107101,P62942,IC50,=,8.2,nM,N1(C(=O)[C@H](c2cc(c(c(c2)OC)OC)OC)C)[C@H](C(=O)O[C@@H](c2cc(OCC(=O)O)ccc2)CCc2cc(c(cc2)OC)OC)CCCC1,fkb1a
1,CHEMBL107603,P62942,Ki,>,10000.0,nM,N1(C(=O)C(=O)C)C(C(=O)OCC)CCCC1,fkb1a
2,CHEMBL107698,P62942,Ki,=,170.0,nM,N1(C(=O)C(=O)C(CC)(C)C)C(C(=O)OCCCC2CCCCC2)CCCC1,fkb1a
3,CHEMBL107774,P62942,IC50,=,64.0,nM,C(=O)(N1[C@H](C(=O)O[C@@H](c2cc(OCC(=O)O)ccc2)CCc2cc(c(cc2)OC)OC)CCCC1)NC(CC)CC,fkb1a
4,CHEMBL108247,P62942,Ki,=,130.0,nM,N1(C(=O)C(=O)C(CC)(C)C)C(C(=O)OCCCc2cnccc2)CCCC1,fkb1a
5,CHEMBL108296,P62942,IC50,=,15.0,nM,N1(C(=O)[C@H](c2cc(c(c(c2)OC)OC)OC)CC)[C@H](C(=O)O[C@@H](c2cc(OCC(=O)O)ccc2)CCc2cnccc2)CCCC1,fkb1a
6,CHEMBL108383,P62942,IC50,=,40.0,nM,N1(C(=O)[C@H](c2ccccc2)CC)[C@H](C(=O)O[C@@H](c2cc(OCC(=O)O)ccc2)CCc2cc(c(cc2)OC)OC)CCCC1,fkb1a
7,CHEMBL108383,P62942,IC50,=,40.0,nM,N1(C(=O)[C@H](c2ccccc2)CC)[C@H](C(=O)O[C@@H](c2cc(OCC(=O)O)ccc2)CCc2cc(c(cc2)OC)OC)CCCC1,fkb1a
8,CHEMBL108383,P62942,IC50,=,40.0,nM,N1(C(=O)[C@H](c2ccccc2)CC)[C@H](C(=O)O[C@@H](c2cc(OCC(=O)O)ccc2)CCc2cc(c(cc2)OC)OC)CCCC1,fkb1a
9,CHEMBL109278,P62942,IC50,=,200.0,nM,S(=O)(=O)(N1[C@H](C(=O)OCCCc2cc(c(c(c2)OC)OC)OC)CCCC1)Cc1ccccc1,fkb1a
10,CHEMBL109278,P62942,Ki,=,230.0,nM,S(=O)(=O)(N1[C@H](C(=O)OCCCc2cc(c(c(c2)OC)OC)OC)CCCC1)Cc1ccccc1,fkb1a
11,CHEMBL109950,P62942,Ki,=,5.0,nM,N1(C(=O)C(=O)C(CC)(C)C)[C@H](C(=O)O[C@@H](c2cc(C(=O)c3ccccc3)ccc2)CCc2ccccc2)CCCC1,fkb1a
12,CHEMBL110010,P62942,Ki,=,190.0,nM,N1(C(=O)C(=O)C(CC)(C)C)[C@H](C(=O)O[C@@H](C(/C=C/C(=O)c2ccccc2)(C)C)CCc2ccccc2)CCCC1,fkb1a
13,CHEMBL110674,P62942,IC50,=,1.8,nM,C(=O)([C@@H]1CCCCN1C(=O)[C@H](c1cc(c(c(OC)c1)OC)OC)CC)O[C@@H](c1cccc(OCC(=O)O)c1)CCc1cc(c(cc1)OC)OC,fkb1a
14,CHEMBL110674,P62942,IC50,=,8.2,nM,C(=O)([C@@H]1CCCCN1C(=O)[C@H](c1cc(c(c(OC)c1)OC)OC)CC)O[C@@H](c1cccc(OCC(=O)O)c1)CCc1cc(c(cc1)OC)OC,fkb1a
15,CHEMBL110674,P62942,IC50,=,1.8,nM,C(=O)([C@@H]1CCCCN1C(=O)[C@H](c1cc(c(c(OC)c1)OC)OC)CC)O[C@@H](c1cccc(OCC(=O)O)c1)CCc1cc(c(cc1)OC)OC,fkb1a
16,CHEMBL110674,P62942,IC50,=,8.2,nM,C(=O)([C@@H]1CCCCN1C(=O)[C@H](c1cc(c(c(OC)c1)OC)OC)CC)O[C@@H](c1cccc(OCC(=O)O)c1)CCc1cc(c(cc1)OC)OC,fkb1a
17,CHEMBL111266,P62942,Ki,=,190.0,nM,N1(C(=O)C(=O)C(CC)(C)C)[C@H](C(=O)O[C@@H](C(/C=C/C(=O)C(CCC)CCC)(C)C)CCc2ccccc2)CCCC1,fkb1a
18,CHEMBL116062,P62942,Ki,=,400.0,nM,C1(=O)N2[C@H](C(=O)OCCCOC(=O)[C@@H](/C=C(/C[C@@H](C(=O)OCCCC(C1=O)(C)C)C)\C)CC=C)CCCC2,fkb1a
