,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100022,P49354,IC50,=,75.0,nM,P(=O)(OCC(=O)NOC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)([O-])[O-].[Na+].[Na+],fnta
1,CHEMBL100230,P49354,IC50,=,200.0,nM,N1(C(=O)[C@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1ccccc1,fnta
2,CHEMBL100288,P49354,IC50,=,5200.0,nM,S(=O)(=O)(N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1)CC,fnta
3,CHEMBL100302,P49354,IC50,=,660.0,nM,N1(C(=O)c2c(C1=O)cccc2)CC(=O)N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1,fnta
4,CHEMBL100369,P49354,IC50,=,30000.0,nM,C(=O)(N[C@@H](C(=O)O)CCC(=O)O)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,fnta
5,CHEMBL100415,P49354,IC50,=,54.0,nM,N1(CC[C@@H](C1=O)N(Cc1n(cnc1)Cc1ccc(cc1)C#N)CCCC)Cc1ccccc1,fnta
6,CHEMBL100415,P49354,IC50,=,42.0,nM,N1(CC[C@@H](C1=O)N(Cc1n(cnc1)Cc1ccc(cc1)C#N)CCCC)Cc1ccccc1,fnta
7,CHEMBL100488,P49354,IC50,=,500.0,nM,P(=O)(C[C@@H](NC(=O)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)C(=O)O)(O)O,fnta
8,CHEMBL100526,P49354,IC50,=,0.6,nM,C1(=O)C(c2cc(Oc3c(C#N)ccc(Cc4n(cnc4)C)c3)ccc2)(CC)CCCCN1C,fnta
9,CHEMBL100526,P49354,IC50,=,0.6,nM,C1(=O)C(c2cc(Oc3c(C#N)ccc(Cc4n(cnc4)C)c3)ccc2)(CC)CCCCN1C,fnta
10,CHEMBL100566,P49354,IC50,=,10.0,nM,c1ccc(N2CC[C@@H](C2=O)NCc2n(cnc2)Cc2ccc(cc2)C#N)c2c1nccc2,fnta
11,CHEMBL100566,P49354,IC50,=,9.5,nM,c1ccc(N2CC[C@@H](C2=O)NCc2n(cnc2)Cc2ccc(cc2)C#N)c2c1nccc2,fnta
12,CHEMBL100579,P49354,IC50,=,49.0,nM,N1(C(=O)[C@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)Cc1ccccc1,fnta
13,CHEMBL100579,P49354,IC50,=,21.0,nM,N1(C(=O)[C@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)Cc1ccccc1,fnta
14,CHEMBL100640,P49354,IC50,=,250.0,nM,n1(c(cnc1)CN[C@H]1C(=O)N(CC1)CCc1ccccc1)Cc1ccc(C#N)cc1,fnta
15,CHEMBL100661,P49354,IC50,=,1.3,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)CCCNC(=O)OC(C)(C)C)Cc1cc(Cl)ccc1,fnta
16,CHEMBL100661,P49354,IC50,=,1.1,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)CCCNC(=O)OC(C)(C)C)Cc1cc(Cl)ccc1,fnta
17,CHEMBL100684,P49354,IC50,=,230.0,nM,C1(=O)OC(CCC(C(C(/C=C(/CC(/C=C(\COC(=O)CC(C(=O)O)C1)/CCC(=O)C(CC(C(=O)O)C)CC)C)\C)C)O)C)CCCC/C=C/C(CCC(OC(=O)CC(C(=O)O)CC(=O)O)C)C,fnta
18,CHEMBL100738,P49354,IC50,=,3600.0,nM,N1(C(=O)c2c(C1=O)cccc2)[C@@H](C(=O)N1CC/C(=C/2\c3c(cc(cc3)Cl)CCc3c2nccc3)/CC1)Cc1nc[nH]c1,fnta
19,CHEMBL100759,P49354,IC50,=,2610.0,nM,P(=O)(CC(=O)NOC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)(OCOC(=O)C(C)(C)C)[O-].[Na+],fnta
20,CHEMBL100798,P49354,IC50,=,6.0,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)CCN1CCOCC1)Cc1cc(Cl)ccc1,fnta
21,CHEMBL100798,P49354,IC50,=,3.3,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)CCN1CCOCC1)Cc1cc(Cl)ccc1,fnta
22,CHEMBL100815,P49354,IC50,=,185.0,nM,C(=C(\C(=O)O)/CCCCCC/C=C\CCCCCCCC)(\C(=O)O)/C,fnta
23,CHEMBL100815,P49354,IC50,=,190.0,nM,C(=C(\C(=O)O)/CCCCCC/C=C\CCCCCCCC)(\C(=O)O)/C,fnta
24,CHEMBL100823,P29703,IC50,=,400.0,nM,c1(C(=O)c2ccccc2)c(NC(=O)Cc2c(C)cccc2)ccc(NC(=O)[C@@H](N)CS)c1.Cl,fnta
25,CHEMBL100868,P49354,IC50,=,41.0,nM,C1(=O)C(c2cc(Oc3c(C#N)ccc(c3)Cn3cncc3)ccc2)CCCCN1,fnta
26,CHEMBL100900,P29703,IC50,=,5000.0,nM,C12C(O1)C(C=C(C2=O)NC(=O)C/C(=C/C(=C/C(CCCC)C)/C)/C)(/C=C/C=C/C=C/C(=O)NC1=C(CCC1=O)O)O,fnta
27,CHEMBL101100,P49354,IC50,=,1000.0,nM,S(=O)(=O)(N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1)Cc1ccccc1,fnta
28,CHEMBL101106,P49354,IC50,=,150.0,nM,C(=O)(N1C[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1c(nccc1)OC,fnta
29,CHEMBL101144,P49354,IC50,=,21000.0,nM,C1(=C(C(=O)c2c(C1=O)nc(c1nc(c(c(c1N)c1c(c(OC)ccc1)O)C)C(=O)O)cc2)OC)N,fnta
30,CHEMBL101465,P49354,IC50,>,11000.0,nM,S(=O)(=O)(c1c(C(=O)O)cccc1)N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1,fnta
31,CHEMBL101467,P49354,IC50,=,89.0,nM,N1(C(=O)c2ccc(cc2)Cl)C[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1,fnta
32,CHEMBL101467,P49354,IC50,=,70.0,nM,N1(C(=O)c2ccc(cc2)Cl)C[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1,fnta
33,CHEMBL101509,P49354,IC50,=,6800.0,nM,C(=O)(N1C[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1c(nccc1)O,fnta
34,CHEMBL101551,P49354,IC50,=,2300.0,nM,c1(c(cn(c1)Cc1nc[nH]c1)c1cc2c(cc1)cccc2)C(=O)c1ccc(cc1)C,fnta
35,CHEMBL101561,P49354,IC50,=,21.0,nM,N1(C(=O)[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1ccc(cc1)Cl,fnta
36,CHEMBL101561,P49354,IC50,=,30.0,nM,N1(C(=O)[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1ccc(cc1)Cl,fnta
37,CHEMBL101564,P49354,IC50,=,65.0,nM,C(=O)(N1C[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1c(Cl)cccc1,fnta
38,CHEMBL101570,P49354,IC50,>,12000.0,nM,S(=O)(=O)(N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1)CCCCCCCC,fnta
39,CHEMBL101603,P49354,IC50,=,1200.0,nM,C\1(=C/2\CCN(C(=O)[C@H](NC(=O)OCc3ccccc3)Cc3ccc(cc3)O)CC2)/c2c(cc(cc2)Cl)CCc2c1nccc2,fnta
40,CHEMBL101708,P49354,IC50,=,67.0,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)Cc1ccccc1)Cc1ccccc1,fnta
41,CHEMBL101782,P49354,IC50,=,13000.0,nM,S(=O)(=O)(c1sccc1)N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1,fnta
42,CHEMBL101788,P49354,IC50,=,6.1,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)CCN1CCNCC1)Cc1cc(Cl)ccc1,fnta
43,CHEMBL101788,P49354,IC50,=,300.0,nM,C1(=O)N(CC[C@@H]1N(Cc1n(cnc1)Cc1ccc(C#N)cc1)CCN1CCNCC1)Cc1cc(Cl)ccc1,fnta
44,CHEMBL101889,P49354,IC50,=,16.0,nM,c1(c(c2c3c(ccc2)cccc3)cn(c1)Cc1nc[nH]c1)C(=O)c1ccc(Oc2ccccc2)cc1,fnta
45,CHEMBL101897,P49354,IC50,=,5000.0,nM,c1(c(cn(c1)Cc1nc[nH]c1)c1ccccc1)C(=O)c1ccccc1,fnta
46,CHEMBL101936,P49354,IC50,=,8400.0,nM,C1(=C2CCN(C(=O)CNC(=O)Cc3ccccc3)CC2)c2c(cc(cc2)Cl)CCc2c1nccc2,fnta
47,CHEMBL101978,P49354,IC50,=,120.0,nM,N1(C(=O)[C@@H](CC1)NCCc1n(cnc1)Cc1ccc(C#N)cc1)c1ccccc1,fnta
48,CHEMBL102031,P49354,IC50,=,370.0,nM,N1(C(=O)[C@@H](NCc2n(cnc2)Cc2ccc(C#N)cc2)CC1)c1ncccc1,fnta
49,CHEMBL102085,P49354,IC50,>,12000.0,nM,S(=O)(=O)(N1CCC(=C2c3c(cc(cc3)Cl)CCc3c2nccc3)CC1)c1cc2c(cc1)cccc2,fnta
50,CHEMBL102107,P49354,IC50,=,240.0,nM,n1(c(cnc1)CCN[C@@H]1C(=O)N(CC1)CCc1ccccc1)Cc1ccc(C#N)cc1,fnta
51,CHEMBL102187,P49354,IC50,=,115.0,nM,c1(c(c2c3c(ccc2)cccc3)cn(c1)Cc1nc[nH]c1)C(=O)c1ccccc1,fnta
52,CHEMBL102202,P29703,IC50,=,540.0,nM,c1(C(=O)c2ccccc2)c(NC(=O)Cc2cc(ccc2)C)ccc(NC(=O)[C@@H](N)CS)c1.Cl,fnta
53,CHEMBL102293,P49354,IC50,=,0.38,nM,c1(C(c2cc(c(C#N)cc2)Oc2cc(C3(C(=O)N(C)CCCC3)CC)ccc2)(N)C)n(cnc1)C,fnta
54,CHEMBL102293,P49354,IC50,=,0.38,nM,c1(C(c2cc(c(C#N)cc2)Oc2cc(C3(C(=O)N(C)CCCC3)CC)ccc2)(N)C)n(cnc1)C,fnta
55,CHEMBL102295,Q04631,IC50,=,2.8,nM,N1(C(=O)[C@@H](NC[C@@H](N)CS)C(C)(C)C)[C@H](C(=O)N[C@H](C(=O)O)CCC(=O)N)Cc2c(C1)cccc2,fnta
56,CHEMBL102435,P49354,IC50,=,1.5,nM,c1(c(c2c3c(ccc2)cccc3)cn(c1)Cc1n(cnc1)Cc1ccccc1)C(=O)N1CCOCC1,fnta
57,CHEMBL102435,P49354,IC50,=,2.1,nM,c1(c(c2c3c(ccc2)cccc3)cn(c1)Cc1n(cnc1)Cc1ccccc1)C(=O)N1CCOCC1,fnta
58,CHEMBL102492,P49354,IC50,=,260.0,nM,N(C(=O)[C@@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1)(CC(=O)NCCOCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,fnta
59,CHEMBL102492,Q04631,IC50,=,320.0,nM,N(C(=O)[C@@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1)(CC(=O)NCCOCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,fnta
60,CHEMBL102492,Q61239,Concentration,=,1.0,uM,N(C(=O)[C@@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1)(CC(=O)NCCOCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,fnta
61,CHEMBL102606,P49354,IC50,=,350.0,nM,C(P(=O)([O-])[O-])(C(=O)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)(F)F.[Na+].[Na+],fnta
62,CHEMBL102955,P49354,IC50,=,170.0,nM,N(C(=O)[C@@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1)(CC(=O)NCCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,fnta
63,CHEMBL102955,Q04631,IC50,=,62.0,nM,N(C(=O)[C@@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1)(CC(=O)NCCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,fnta
64,CHEMBL102955,Q61239,Concentration,=,0.1,uM,N(C(=O)[C@@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1)(CC(=O)NCCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,fnta
65,CHEMBL103075,P49354,IC50,=,83.0,nM,P(=O)(OCC(C(=O)[O-])C(=O)NC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)([O-])[O-].[Na+].[Na+].[Na+],fnta
66,CHEMBL103134,P29702,IC50,=,240.0,nM,S(=O)(=O)(CC[C@H](NC(=O)[C@@H](OC[C@@H](NC[C@@H](N)CS)C(CC)C)Cc1ccccc1)C(=O)O)C,fnta
67,CHEMBL103176,P49354,IC50,=,100.0,nM,C(=O)(C(N(C(=O)[C@H](NC(=O)/C=C/c1c(/C=C\CCC)cccc1)Cc1ccc(cc1)O)C)Cc1c(c(c(cc1)OC)O)Cl)N([C@H](C(=O)OC[C@@H]1NC(=O)CNC1=O)Cc1ccccc1)C,fnta
68,CHEMBL103357,P49354,IC50,=,13.0,nM,C1(=O)C(c2cc(Oc3c(C#N)ccc(c3)Cc3nc[nH]c3)ccc2)(CC)CCCCN1C,fnta
69,CHEMBL103380,P49354,Concentration,=,25.0,uM,S(=O)(=O)(SCCNCCCCOC(C1CCCCC1)CC)O,fnta
70,CHEMBL103380,Q04631,IC50,=,2000.0,nM,S(=O)(=O)(SCCNCCCCOC(C1CCCCC1)CC)O,fnta
71,CHEMBL103387,P49354,IC50,=,100.0,nM,c1(c(c2c3c(ccc2)cccc3)cn(c1)Cc1n(cnc1)C)C(=O)N1CCOCC1,fnta
72,CHEMBL103387,P49354,IC50,=,3.0,nM,c1(c(c2c3c(ccc2)cccc3)cn(c1)Cc1n(cnc1)C)C(=O)N1CCOCC1,fnta
73,CHEMBL103411,P49354,IC50,=,400.0,nM,C(=O)(N([C@H](C(=O)NCCOCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1)C)[C@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1,fnta
74,CHEMBL103411,Q61239,Concentration,=,2.5,uM,C(=O)(N([C@H](C(=O)NCCOCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1)C)[C@H](NC(=O)OCc1ccccc1)Cc1nc[nH]c1,fnta
