,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100154,P14324,IC50,=,61.4,nM,C(Nc1ncccc1C)(P(=O)(O)O)P(=O)(O)C,fpps
1,CHEMBL100154,P14324,Ki,=,11.6,nM,C(Nc1ncccc1C)(P(=O)(O)O)P(=O)(O)C,fpps
2,CHEMBL100154,P14324,IC50,=,1892.0,nM,C(Nc1ncccc1C)(P(=O)(O)O)P(=O)(O)C,fpps
3,CHEMBL100154,P14324,Ki,=,319.7,nM,C(Nc1ncccc1C)(P(=O)(O)O)P(=O)(O)C,fpps
4,CHEMBL100232,P14324,ED50,=,0.007,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)(CCNCCCSc1ccccc1)O,fpps
5,CHEMBL100232,P14324,IC50,=,18.2,nM,C(P(=O)(O)O)(P(=O)(O)O)(CCNCCCSc1ccccc1)O,fpps
6,CHEMBL100295,P14324,ED50,=,0.002,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(s1)CCC,fpps
7,CHEMBL100295,P14324,IC50,=,6.152,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(s1)CCC,fpps
8,CHEMBL100335,P14324,ED50,=,0.0015,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(s1)C,fpps
9,CHEMBL100335,P14324,IC50,=,5.129,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(s1)C,fpps
10,CHEMBL100441,P14324,ED50,=,0.0015,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCCc1cc(ccc1)C)C)O,fpps
11,CHEMBL100441,P14324,IC50,=,3.89,nM,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCCc1cc(ccc1)C)C)O,fpps
12,CHEMBL100483,P14324,IC50,=,1412.54,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(Br)cc1,fpps
13,CHEMBL100483,P14324,Ki,=,140.0,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(Br)cc1,fpps
14,CHEMBL100483,P14324,IC50,=,1400.0,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(Br)cc1,fpps
15,CHEMBL100508,P14324,ED50,=,0.0007,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCSc1ccccc1)C)O,fpps
16,CHEMBL100508,P14324,IC50,=,1.816,nM,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCSc1ccccc1)C)O,fpps
17,CHEMBL100717,P14324,ED50,=,0.5,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc[nH]1,fpps
18,CHEMBL100717,P14324,IC50,=,1945.36,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc[nH]1,fpps
19,CHEMBL100827,P14324,ED50,=,0.00033,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCCSc1ccccc1)C)O,fpps
20,CHEMBL100827,P14324,IC50,=,0.618,nM,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCCSc1ccccc1)C)O,fpps
21,CHEMBL100830,P14324,ED50,=,0.0015,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(s1)CC,fpps
22,CHEMBL100830,P14324,IC50,=,4.819,nM,C(P(=O)(O)O)(P(=O)(O)O)Nc1ncc(s1)CC,fpps
23,CHEMBL100831,P14324,ED50,=,0.005,mg.kg-1,N(C(P(=O)(O)O)P(=O)(O)O)c1sccn1,fpps
24,CHEMBL100831,P14324,IC50,=,18.2,nM,N(C(P(=O)(O)O)P(=O)(O)O)c1sccn1,fpps
25,CHEMBL100835,P14324,ED50,=,0.0017,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCCOc1cc(ccc1)C)C)O,fpps
26,CHEMBL100835,P14324,IC50,=,4.266,nM,C(P(=O)(O)O)(P(=O)(O)O)(CCN(CCCOc1cc(ccc1)C)C)O,fpps
27,CHEMBL101207,P14324,ED50,=,0.0006,mg.kg-1,C(P(=O)(O)O)(P(=O)(O)O)(Cc1n(ccn1)C)O,fpps
