,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100219,P04150,Efficacy,=,92.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
1,CHEMBL100219,P04150,IC50,=,18.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
2,CHEMBL100219,P04150,Efficacy,=,91.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
3,CHEMBL100219,P04150,IC50,=,12.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
4,CHEMBL100219,P04150,IC50,=,29.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
5,CHEMBL100219,P04150,Efficacy,=,98.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
6,CHEMBL100219,P04150,IC50,=,314.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
7,CHEMBL100219,P04150,Efficacy,=,19.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)c(OC)ccc3)c1cc(cc(c1)C)Br,gcr
8,CHEMBL101907,P04150,Ki,=,42.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,gcr
9,CHEMBL101907,P04150,Efficacy,=,97.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,gcr
10,CHEMBL101907,P04150,IC50,=,166.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,gcr
11,CHEMBL101914,P04150,Ki,=,154.0,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,gcr
12,CHEMBL101914,P04150,Efficacy,=,98.0,%,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,gcr
13,CHEMBL101914,P04150,IC50,=,226.0,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,gcr
14,CHEMBL102403,P04150,Ki,=,80.0,nM,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,gcr
15,CHEMBL102403,P04150,Efficacy,=,97.0,%,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,gcr
