,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10041,P04062,Potency,Unspecified,25118.9,nM,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,glcm
1,CHEMBL1008,P04062,Potency,Unspecified,39810.7,nM,N(CC(N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1,glcm
2,CHEMBL101326,P04062,Potency,Unspecified,25118.9,nM,n1(c(c(c(n1)C#N)[S+](C(F)(F)F)[O-])N)c1c(cc(C(F)(F)F)cc1Cl)Cl,glcm
3,CHEMBL1014,P04062,Potency,Unspecified,112.2,nM,c1(n(c2c(n1)cccc2C(=O)OC(C)OC(=O)OC1CCCCC1)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1)OCC,glcm
4,CHEMBL1029,P04062,IC50,=,400000.0,nM,O[C@@H]1[C@H](N(C[C@H](O)[C@H]1O)CCCC)CO,glcm
5,CHEMBL1029,P04062,IC50,=,399000.0,nM,O[C@@H]1[C@H](N(C[C@H](O)[C@H]1O)CCCC)CO,glcm
6,CHEMBL1029,P04062,IC50,=,400000.0,nM,O[C@@H]1[C@H](N(C[C@H](O)[C@H]1O)CCCC)CO,glcm
7,CHEMBL1029,P04062,Inhibition,=,70.0,%,O[C@@H]1[C@H](N(C[C@H](O)[C@H]1O)CCCC)CO,glcm
8,CHEMBL1029,P04062,IC50,=,259000.0,nM,O[C@@H]1[C@H](N(C[C@H](O)[C@H]1O)CCCC)CO,glcm
9,CHEMBL1034,P04062,Potency,Unspecified,1584.9,nM,c1cc(c(c(c1)Cl)Nc1ccccc1CC(=O)[O-])Cl.[Na+],glcm
10,CHEMBL103769,P04062,IC50,=,710.0,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
11,CHEMBL103769,P04062,IC50,=,360.0,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
12,CHEMBL103769,P04062,Potency,=,44668.4,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
13,CHEMBL103769,P04062,Potency,Unspecified,1000.0,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
14,CHEMBL103769,P04062,Potency,=,316.23,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
15,CHEMBL103769,P04062,Potency,=,650.0,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
16,CHEMBL103769,P04062,Potency,=,579.3,nM,n1c(N(Cc2cc(c(cc2)Cl)Cl)CCCNC(=S)NCCCc2nc[nH]c2)ccc(c1)Br,glcm
