,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100009,P19491,EC5X,=,900.0,uM,S1(=O)(=O)N=C(Nc2c1nccc2)C,gria2
1,CHEMBL100009,P19491,EC2x,=,400.0,uM,S1(=O)(=O)N=C(Nc2c1nccc2)C,gria2
2,CHEMBL100155,P19491,IC50,=,3400.0,nM,c12n3c(c(nc1c1c(C2(NC)C)cccc1)O)ncc3,gria2
3,CHEMBL100293,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)NCN(c2c1cncc2)CCCC,gria2
4,CHEMBL100293,P19491,EC2x,=,800.0,uM,S1(=O)(=O)NCN(c2c1cncc2)CCCC,gria2
5,CHEMBL100342,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)C,gria2
6,CHEMBL100342,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)C,gria2
7,CHEMBL100364,P19491,EC5X,>,300.0,uM,S1(=O)(=O)N(CNc2c1cncc2)C(C)C,gria2
8,CHEMBL100364,P19491,EC2x,>,300.0,uM,S1(=O)(=O)N(CNc2c1cncc2)C(C)C,gria2
9,CHEMBL10047,P19491,IC50,=,11000.0,nM,c1(c(onc1O)CC(C(=O)O)N)CCCCC,gria2
10,CHEMBL100515,P19491,EC5X,=,645.0,uM,S1(=O)(=O)c2c(N(C=N1)C)cccn2,gria2
11,CHEMBL100515,P19491,EC2x,=,265.0,uM,S1(=O)(=O)c2c(N(C=N1)C)cccn2,gria2
12,CHEMBL100552,P19491,EC5X,=,805.0,uM,S1(=O)(=O)NCN(c2c1cncc2)CCC,gria2
13,CHEMBL100552,P19491,EC2x,=,300.0,uM,S1(=O)(=O)NCN(c2c1cncc2)CCC,gria2
14,CHEMBL100592,P19491,EC5X,=,450.0,uM,S1(=O)(=O)NC(N(c2c1cncc2)C)C,gria2
15,CHEMBL100592,P19491,EC2x,=,150.0,uM,S1(=O)(=O)NC(N(c2c1cncc2)C)C,gria2
16,CHEMBL100639,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)N,gria2
17,CHEMBL100639,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)N,gria2
18,CHEMBL100660,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)c2c(NCN1)nccc2,gria2
19,CHEMBL100660,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)c2c(NCN1)nccc2,gria2
20,CHEMBL100696,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)NCN(c2c1cncc2)C1CCCCC1,gria2
21,CHEMBL100696,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)NCN(c2c1cncc2)C1CCCCC1,gria2
22,CHEMBL100737,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cncc2)CCC,gria2
23,CHEMBL100737,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cncc2)CCC,gria2
24,CHEMBL100892,P19491,EC5X,=,220.0,uM,S1(=O)(=O)c2c(N(CN1CC)CC)cccn2,gria2
25,CHEMBL100892,P19491,EC2x,=,87.0,uM,S1(=O)(=O)c2c(N(CN1CC)CC)cccn2,gria2
26,CHEMBL100916,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cncc2)CC,gria2
27,CHEMBL100916,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cncc2)CC,gria2
28,CHEMBL100999,P23819,Ki,>,25000.0,nM,c12nc(c(nc1cc(C(F)(F)F)cc2n1cccc1)O)O,gria2
29,CHEMBL10103,P19491,IC50,=,1800.0,nM,S(=O)(=O)(c1c2c(c3c(c(c([nH]3)O)N=O)c1)CCCC2)N(C)C,gria2
30,CHEMBL10103,P19491,IC50,=,1800.0,nM,S(=O)(=O)(c1c2c(c3c(c(c([nH]3)O)N=O)c1)CCCC2)N(C)C,gria2
31,CHEMBL101158,P19491,EC5X,=,766.0,uM,S1(=O)(=O)c2c(NCN1C)cccn2,gria2
32,CHEMBL101158,P19491,EC2x,=,341.0,uM,S1(=O)(=O)c2c(NCN1C)cccn2,gria2
33,CHEMBL101238,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)c2c(NCN1)ccnc2,gria2
34,CHEMBL101238,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)c2c(NCN1)ccnc2,gria2
35,CHEMBL101254,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)NC(CC)C,gria2
36,CHEMBL101254,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)NC(CC)C,gria2
37,CHEMBL101392,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)c2ncccc2NC=N1,gria2
38,CHEMBL101392,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)c2ncccc2NC=N1,gria2
39,CHEMBL101498,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cccn2)C,gria2
40,CHEMBL101498,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cccn2)C,gria2
41,CHEMBL101502,P19491,EC5X,=,381.0,uM,S1(=O)(=O)N(C(Nc2c1cncc2)C)C,gria2
42,CHEMBL101502,P19491,EC2x,=,214.0,uM,S1(=O)(=O)N(C(Nc2c1cncc2)C)C,gria2
43,CHEMBL101546,P19491,EC5X,=,133.0,uM,S1(=O)(=O)c2c(N(CN1C)C)cccn2,gria2
44,CHEMBL101546,P19491,EC2x,=,39.0,uM,S1(=O)(=O)c2c(N(CN1C)C)cccn2,gria2
45,CHEMBL101649,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cncc2)C1CCCCC1,gria2
46,CHEMBL101649,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)NC(Nc2c1cncc2)C1CCCCC1,gria2
47,CHEMBL101702,P19491,EC5X,=,51.0,uM,c1cnc2c(c1)N(CNS2(=O)=O)C,gria2
48,CHEMBL101702,P19491,EC2x,=,21.0,uM,c1cnc2c(c1)N(CNS2(=O)=O)C,gria2
49,CHEMBL101720,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cccn2)C,gria2
50,CHEMBL101720,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cccn2)C,gria2
51,CHEMBL10182,P19491,IC50,=,2800.0,nM,c12c(c([nH]c1c1c(c(S(=O)(=O)NC)c2)CCCC1)O)N=O,gria2
52,CHEMBL101830,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)C(F)(F)F,gria2
53,CHEMBL101830,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)C(F)(F)F,gria2
54,CHEMBL101847,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=CNc2c1cncc2,gria2
55,CHEMBL101847,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=CNc2c1cncc2,gria2
56,CHEMBL102054,P19491,EC5X,=,237.0,uM,S1(=O)(=O)NCN(c2c1cncc2)C(C)C,gria2
57,CHEMBL102054,P19491,EC2x,=,94.0,uM,S1(=O)(=O)NCN(c2c1cncc2)C(C)C,gria2
58,CHEMBL102062,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)NCCC,gria2
59,CHEMBL102062,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=C(Nc2c1cncc2)NCCC,gria2
60,CHEMBL102082,P19491,EC5X,=,215.0,uM,S1(=O)(=O)NCN(c2c1cncc2)CC(F)(F)F,gria2
61,CHEMBL102082,P19491,EC2x,=,110.0,uM,S1(=O)(=O)NCN(c2c1cncc2)CC(F)(F)F,gria2
62,CHEMBL102139,P19491,EC5X,>,1000.0,uM,S1(=O)(=O)N=CNc2c1cccn2,gria2
63,CHEMBL102139,P19491,EC2x,>,1000.0,uM,S1(=O)(=O)N=CNc2c1cccn2,gria2
64,CHEMBL102574,P19491,Kb,=,9200.0,nM,C1([N+](=O)[O-])C(=O)Nc2c(C1)ccc(c2)Cl,gria2
65,CHEMBL102612,P19491,IC50,>,100000.0,nM,c1(n(cnc1)O)CC(C(=O)O)N,gria2
66,CHEMBL102732,P19491,EC5X,>,100.0,uM,S1(=O)(=O)N(CNc2c1cncc2)C1CCCCC1,gria2
67,CHEMBL102732,P19491,EC2x,>,100.0,uM,S1(=O)(=O)N(CNc2c1cncc2)C1CCCCC1,gria2
68,CHEMBL10339,P19491,IC50,=,180.0,nM,c1(c(onc1O)CC(C(=O)O)N)CCCC,gria2
69,CHEMBL10339,P19491,IC50,=,2000.0,nM,c1(c(onc1O)CC(C(=O)O)N)CCCC,gria2
70,CHEMBL10339,P23819,IC50,=,1800.0,nM,c1(c(onc1O)CC(C(=O)O)N)CCCC,gria2
71,CHEMBL103405,P19491,EC5X,>,100.0,uM,S1(=O)(=O)N(CNc2c1cncc2)c1ccccc1,gria2
72,CHEMBL103405,P19491,EC2x,>,100.0,uM,S1(=O)(=O)N(CNc2c1cncc2)c1ccccc1,gria2
73,CHEMBL103452,P19491,IC50,>,100000.0,nM,[C@@]1(C[C@H](NC1)C(=O)O)(C(=O)O)N,gria2
74,CHEMBL103741,P19491,EC5X,=,19.0,uM,c1cnc2c(c1)N(CNS2(=O)=O)CC,gria2
75,CHEMBL103741,P19491,EC2x,=,8.8,uM,c1cnc2c(c1)N(CNS2(=O)=O)CC,gria2
76,CHEMBL103741,P42262,Kd,=,9800.0,nM,c1cnc2c(c1)N(CNS2(=O)=O)CC,gria2
77,CHEMBL104039,P19491,IC50,>,100000.0,nM,c1(n(c(cn1)C)O)CC(C(=O)O)N,gria2
78,CHEMBL104065,P19491,IC50,>,100000.0,nM,c1(n(c(nc1)C)O)CC(C(=O)O)N,gria2
79,CHEMBL104197,P19491,IC50,>,100000.0,nM,c1(n(ccn1)O)CC(C(=O)O)N,gria2
80,CHEMBL104208,P19491,IC50,=,130.0,nM,c1(n(nnc1C)O)CC(C(=O)O)N,gria2
