,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10047,P22756,IC50,>,100000.0,nM,c1(c(onc1O)CC(C(=O)O)N)CCCCC,grik1
1,CHEMBL10103,P22756,IC50,=,27000.0,nM,S(=O)(=O)(c1c2c(c3c(c(c([nH]3)O)N=O)c1)CCCC2)N(C)C,grik1
2,CHEMBL10182,P22756,IC50,=,30000.0,nM,c12c(c([nH]c1c1c(c(S(=O)(=O)NC)c2)CCCC1)O)N=O,grik1
3,CHEMBL102612,P22756,IC50,>,100000.0,nM,c1(n(cnc1)O)CC(C(=O)O)N,grik1
4,CHEMBL10339,P22756,IC50,>,100000.0,nM,c1(c(onc1O)CC(C(=O)O)N)CCCC,grik1
5,CHEMBL103452,P22756,IC50,>,100000.0,nM,[C@@]1(C[C@H](NC1)C(=O)O)(C(=O)O)N,grik1
6,CHEMBL104039,P22756,IC50,>,100000.0,nM,c1(n(c(cn1)C)O)CC(C(=O)O)N,grik1
7,CHEMBL104065,P22756,IC50,>,100000.0,nM,c1(n(c(nc1)C)O)CC(C(=O)O)N,grik1
8,CHEMBL104197,P22756,IC50,>,100000.0,nM,c1(n(ccn1)O)CC(C(=O)O)N,grik1
9,CHEMBL104208,P22756,IC50,=,90000.0,nM,c1(n(nnc1C)O)CC(C(=O)O)N,grik1
10,CHEMBL105892,P22756,Inhibition,=,44.0,%,c12n(nc(n1)C(=O)O)c1c(nc2O)cc(n2cnnc2)cc1,grik1
11,CHEMBL105895,P22756,Inhibition,=,24.0,%,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(c(c1)n1cncc1)Cl,grik1
12,CHEMBL105895,P22756,Inhibition,=,24.0,%,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(c(c1)n1cncc1)Cl,grik1
13,CHEMBL106088,P22756,IC50,=,84000.0,nM,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(c(c1)N)Cl,grik1
14,CHEMBL106433,P22756,Inhibition,=,35.0,%,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(n2cnnc2)cc1,grik1
15,CHEMBL107160,P22756,IC50,>,100000.0,nM,c1(n(ncc1C)O)CC(C(=O)O)N,grik1
16,CHEMBL108147,P22756,IC50,=,34000.0,nM,c1(c(c([N+](=O)[O-])ccc1CC(C(=O)O)N)O)[N+](=O)[O-],grik1
17,CHEMBL110492,P22756,IC50,=,8900.0,nM,c12n(nc(n1)C(=O)O)c1c(nc2O)cc(c(n2cc(cc2)C=O)c1)Cl,grik1
18,CHEMBL110496,P22756,Inhibition,=,20.0,%,c12n(nc(n1)C(=O)OCC)c1cc(n3cnnc3)ccc1nc2O,grik1
19,CHEMBL110497,P22756,Ki,=,23000.0,nM,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(c(c1)n1cccc1)Cl,grik1
20,CHEMBL110497,P22756,Inhibition,=,7.0,%,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(c(c1)n1cccc1)Cl,grik1
21,CHEMBL110664,P22756,IC50,=,36000.0,nM,c12n(nc(n1)C(=O)O)c1c(nc2O)cc(c(c1)n1cccc1)Cl,grik1
22,CHEMBL110929,P22756,IC50,=,88000.0,nM,c12n(nc(n1)C(=O)OCC)c1c(nc2O)cc(c(n2cc(cc2)C=O)c1)Cl,grik1
23,CHEMBL113180,P22756,IC50,>,100000.0,nM,c1(c(onc1O)C(C)(C)C)CC(C(=O)O)N,grik1
24,CHEMBL1161818,P22756,Activity,=,55.0,%,C(C(=O)O)(F)(F)F.C1[C@@](Oc2c1cccc2)(C(=O)O)C[C@H](N)C(=O)O,grik1
25,CHEMBL1161819,P22756,Activity,=,100.0,%,C1[C@@](Oc2c1cccc2)(C[C@H](N)C(=O)O)C(=O)O.C(C(=O)O)(F)(F)F,grik1
26,CHEMBL1161820,P22756,Activity,=,72.0,%,C(C(=O)O)(F)(F)F.C1[C@@](Oc2c1cc(cc2)C)(C(=O)O)C[C@H](N)C(=O)O,grik1
27,CHEMBL1161821,P22756,Activity,=,6.0,%,C1[C@@](Oc2c1cccc2C)(C(=O)O)C[C@H](N)C(=O)O.C(C(=O)O)(F)(F)F,grik1
28,CHEMBL1161821,P22756,Activity,=,55.0,%,C1[C@@](Oc2c1cccc2C)(C(=O)O)C[C@H](N)C(=O)O.C(C(=O)O)(F)(F)F,grik1
29,CHEMBL1161821,P22756,Activity,=,13.0,%,C1[C@@](Oc2c1cccc2C)(C(=O)O)C[C@H](N)C(=O)O.C(C(=O)O)(F)(F)F,grik1
30,CHEMBL11664,P22756,Inhibition,=,20.0,%,C(=O)(C(N)CCCCCSc1c(N)cccc1)O,grik1
31,CHEMBL121771,P22756,IC50,=,7000.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)CC)O)O,grik1
32,CHEMBL121771,P22756,IC50,=,520.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)CC)O)O,grik1
33,CHEMBL121771,P22756,IC50,=,520.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)CC)O)O,grik1
34,CHEMBL121886,P22756,IC50,>,30000.0,nM,c12c3nc(c(nc3cc(c1CCN(C2)CC(CC)C)Br)O)O,grik1
35,CHEMBL121886,P22756,IC50,=,2900.0,nM,c12c3nc(c(nc3cc(c1CCN(C2)CC(CC)C)Br)O)O,grik1
36,CHEMBL121886,P22756,IC50,=,2900.0,nM,c12c3nc(c(nc3cc(c1CCN(C2)CC(CC)C)Br)O)O,grik1
37,CHEMBL121887,P22756,IC50,=,48000.0,nM,n1c2c3c(CN(CC3)CC(CC)C)ccc2nc(c1O)O,grik1
38,CHEMBL121887,P22756,IC50,=,48000.0,nM,n1c2c3c(CN(CC3)CC(CC)C)ccc2nc(c1O)O,grik1
39,CHEMBL121888,P22756,IC50,=,14000.0,nM,n1c2c(nc(c1O)O)cc(c1c2CCN(C1)CC)Br,grik1
40,CHEMBL121888,P22756,IC50,=,14000.0,nM,n1c2c(nc(c1O)O)cc(c1c2CCN(C1)CC)Br,grik1
41,CHEMBL122054,P22756,IC50,=,7000.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)C(C)C)O)O,grik1
42,CHEMBL122054,P22756,IC50,=,290.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)C(C)C)O)O,grik1
43,CHEMBL122054,P22756,IC50,=,290.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)C(C)C)O)O,grik1
44,CHEMBL122082,P22756,IC50,=,26000.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CC,grik1
45,CHEMBL122082,P22756,IC50,=,490.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CC,grik1
46,CHEMBL122082,P22756,IC50,=,490.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CC,grik1
47,CHEMBL122228,P22756,IC50,=,6700.0,nM,n1c2c(nc(c1O)O)cc(c1c2CCN(C1)C)C,grik1
48,CHEMBL122228,P22756,IC50,=,6700.0,nM,n1c2c(nc(c1O)O)cc(c1c2CCN(C1)C)C,grik1
49,CHEMBL122313,P22756,IC50,=,850.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)C(CC)C)O)O,grik1
50,CHEMBL122313,P22756,IC50,=,850.0,nM,c12c3nc(c(nc3cc([N+](=O)[O-])c1CCN(C2)C(CC)C)O)O,grik1
51,CHEMBL122339,P22756,IC50,=,16000.0,nM,n1c(c(nc2c1ncc(c2)Br)O)O,grik1
52,CHEMBL122422,P22756,IC50,=,21000.0,nM,n1c2c3CN(CCc3ccc2nc(c1O)O)C(CC)C,grik1
53,CHEMBL122422,P22756,IC50,=,21000.0,nM,n1c2c3CN(CCc3ccc2nc(c1O)O)C(CC)C,grik1
54,CHEMBL122559,P22756,IC50,=,22000.0,nM,n1c2c(nc(c1O)O)cc(c1c2CCN(C1)C)C(=O)OC,grik1
55,CHEMBL122559,P22756,IC50,=,22000.0,nM,n1c2c(nc(c1O)O)cc(c1c2CCN(C1)C)C(=O)OC,grik1
56,CHEMBL122811,P22756,IC50,=,71230.0,nM,n1c2c3CN(CCc3ccc2nc(c1O)O)C,grik1
57,CHEMBL122811,P22756,IC50,=,71230.0,nM,n1c2c3CN(CCc3ccc2nc(c1O)O)C,grik1
58,CHEMBL122997,P22756,IC50,=,11000.0,nM,n1c2c(nc(c1O)O)ccc1c2NCCC1,grik1
59,CHEMBL122997,P22756,IC50,=,11000.0,nM,n1c2c(nc(c1O)O)ccc1c2NCCC1,grik1
60,CHEMBL123087,P22756,IC50,=,29160.0,nM,n1c2c3c(CN(CC3)C)ccc2nc(c1O)O,grik1
61,CHEMBL123087,P22756,IC50,=,29160.0,nM,n1c2c3c(CN(CC3)C)ccc2nc(c1O)O,grik1
62,CHEMBL123118,P22756,IC50,=,22000.0,nM,n1c(c(nc2c1ncc(c2)Cl)O)O,grik1
63,CHEMBL123196,P22756,IC50,=,2400.0,nM,c12[n+](cc([N+](=O)[O-])cc2nc(c(n1)O)O)[O-],grik1
64,CHEMBL123228,P22756,IC50,=,45000.0,nM,n1c2c3c(CN(CC3)CCCCCCC)ccc2nc(c1O)O,grik1
65,CHEMBL123228,P22756,IC50,=,45000.0,nM,n1c2c3c(CN(CC3)CCCCCCC)ccc2nc(c1O)O,grik1
66,CHEMBL123259,P22756,IC50,=,1700.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CCC,grik1
67,CHEMBL123259,P22756,IC50,=,1700.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CCC,grik1
68,CHEMBL123269,P22756,IC50,=,23000.0,nM,n1c2c3c(CN(CC3)CCC)ccc2nc(c1O)O,grik1
69,CHEMBL123269,P22756,IC50,=,23000.0,nM,n1c2c3c(CN(CC3)CCC)ccc2nc(c1O)O,grik1
70,CHEMBL123323,P22756,IC50,=,79000.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CCCCCCC,grik1
71,CHEMBL123323,P22756,IC50,=,79000.0,nM,c12c([N+](=O)[O-])cc3c(nc(c(n3)O)O)c1CCN(C2)CCCCCCC,grik1
72,CHEMBL123766,P22756,IC50,=,1500.0,nM,n1c2c(nc(c1O)O)cc(c1c2CNCC1)Br,grik1
