,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100282,Q9BY41,IC50,=,4600.0,nM,C(=O)(Nc1cc(ccc1N)OC)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
1,CHEMBL100282,Q9BY41,IC50,=,4600.0,nM,C(=O)(Nc1cc(ccc1N)OC)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
2,CHEMBL100631,Q9BY41,IC50,>,100000.0,nM,C(=O)(Nc1ccccc1)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
3,CHEMBL100631,Q9BY41,IC50,>,100000.0,nM,C(=O)(Nc1ccccc1)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
4,CHEMBL100925,Q9BY41,IC50,>,100000.0,nM,C(=O)(Nc1ccc(N)cc1)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
5,CHEMBL100925,Q9BY41,IC50,>,100000.0,nM,C(=O)(Nc1ccc(N)cc1)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
6,CHEMBL101105,Q9BY41,IC50,>,5000.0,nM,N1([C@H](C(=O)NCCCCCC(=O)NO)Cc2ccccc2)C(=O)CCC1,hdac8
7,CHEMBL101167,Q9BY41,IC50,=,2800.0,nM,C(=O)(Nc1c(ccc(c1)C)N)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
8,CHEMBL101167,Q9BY41,IC50,=,2800.0,nM,C(=O)(Nc1c(ccc(c1)C)N)c1ccc(CNC(=O)OCc2cnccc2)cc1,hdac8
9,CHEMBL1076794,Q9BY41,IC50,=,251.0,nM,c1cccc(c1C)NC(=O)CCCCC(=O)NO,hdac8
10,CHEMBL1077183,Q9BY41,IC50,=,8.9,nM,c1cccc(c1)NC(=O)CCCCC[Se]C#N,hdac8
11,CHEMBL1077183,Q9BY41,Inhibition,=,95.0,%,c1cccc(c1)NC(=O)CCCCC[Se]C#N,hdac8
12,CHEMBL1080580,Q9BY41,EC50,=,4200.0,nM,c1cc(c(cc1NC(=O)c1ccc(cc1)/C=C/C(=O)NO)Nc1scc(n1)c1cccnc1)C,hdac8
13,CHEMBL1086397,Q9BY41,Inhibition,=,81.0,%,C(CCCC(=O)Nc1ccccc1)C[Se][Se]CCCCCC(=O)Nc1ccccc1,hdac8
14,CHEMBL1087690,Q9BY41,IC50,=,5620000.0,nM,c1(c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(c(c1)OC)O)OCC=C(C)C)OC,hdac8
15,CHEMBL108778,Q9BY41,Activity,=,80.0,%,C(=O)(C(C)C)O,hdac8
16,CHEMBL1087807,Q9BY41,IC50,=,347000.0,nM,c1(c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(c(c1)OC)OCC=C(C)C)OCC=C(C)C)OC,hdac8
17,CHEMBL1089339,Q9BY41,IC50,=,30.0,nM,c1cc(cc(c1)NC(=O)CCCCC(=O)NO)C,hdac8
18,CHEMBL109,Q9BY41,Inhibition,=,7.4,%,CCCC(C(=O)O)CCC,hdac8
19,CHEMBL109,Q9BY41,IC50,=,7240000.0,nM,CCCC(C(=O)O)CCC,hdac8
20,CHEMBL109,Q9BY41,Ki,=,564000.0,nM,CCCC(C(=O)O)CCC,hdac8
21,CHEMBL109,Q9BY41,IC50,=,995000.0,nM,CCCC(C(=O)O)CCC,hdac8
22,CHEMBL109,Q9BY41,Fold change,=,3.5,Unspecified,CCCC(C(=O)O)CCC,hdac8
23,CHEMBL1091487,Q9BY41,IC50,=,32.0,nM,c1c(ccc(c1)NC(=O)CCCCC(=O)NO)OC,hdac8
24,CHEMBL1092032,Q9BY41,IC50,=,171.0,nM,c1c(cc(c(c1)NC(=O)CCCCC(=O)NO)C)C,hdac8
25,CHEMBL1092762,Q9BY41,IC50,=,30.0,nM,c1c(ccc(c1)NC(=O)CCCCC(=O)NO)C,hdac8
26,CHEMBL1093040,Q9BY41,IC50,=,215.0,nM,c1ccc(c(c1)NC(=O)CCCCC(=O)NO)CC,hdac8
27,CHEMBL1093041,Q9BY41,IC50,=,21.0,nM,c1cc(cc(c1)NC(=O)CCCCC(=O)NO)CC,hdac8
28,CHEMBL1093042,Q9BY41,IC50,=,26.0,nM,c1c(ccc(c1)NC(=O)CCCCC(=O)NO)CC,hdac8
29,CHEMBL1093043,Q9BY41,IC50,=,206.0,nM,c1cc(c(c(c1)NC(=O)CCCCC(=O)NO)C)C,hdac8
30,CHEMBL1093357,Q9BY41,IC50,=,141.0,nM,c1(ccc(c(c1)NC(=O)CCCCC(=O)NO)C)C,hdac8
31,CHEMBL1093358,Q9BY41,IC50,=,615.0,nM,c1ccc(c(c1C)NC(=O)CCCCC(=O)NO)C,hdac8
32,CHEMBL1093359,Q9BY41,IC50,=,20.0,nM,c1(c(ccc(c1)NC(=O)CCCCC(=O)NO)C)C,hdac8
33,CHEMBL1093713,Q9BY41,IC50,=,35.0,nM,c1(cc(cc(c1)NC(=O)CCCCC(=O)NO)C)C,hdac8
34,CHEMBL109654,Q9BY41,IC50,=,370.0,nM,C(=O)(Nc1ccccc1)CCCCCS,hdac8
35,CHEMBL109654,Q9BY41,IC50,=,370.0,nM,C(=O)(Nc1ccccc1)CCCCCS,hdac8
36,CHEMBL109654,Q9BY41,IC50,=,370.0,nM,C(=O)(Nc1ccccc1)CCCCCS,hdac8
37,CHEMBL1096981,Q9BY41,IC50,=,133.0,nM,[C@H]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CCCCCC(=O)[C@H](C)O)Cc1c[nH]c2c1cccc2)Cc1ccccc1,hdac8
38,CHEMBL1096982,Q9BY41,IC50,=,23600.0,nM,[C@H]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)C/C=C\CCC(=O)O)Cc1c[nH]c2c1cccc2)Cc1ccccc1,hdac8
39,CHEMBL1096984,Q9BY41,Inhibition,=,30.0,%,N12[C@H](CCC1)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)Cc1c[nH]c2c1cccc2)C/C=C\CCC(=O)O)Cc1c[nH]c2c1cccc2,hdac8
40,CHEMBL109796,Q9BY41,IC50,=,11000.0,nM,SCCCCCCOc1ccccc1,hdac8
