,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100082,Q7ZJM1,IC50,=,800.0,nM,c1(c(c2nc(/C=C/c3cc(c(cc3)O)O)ccc2cc1)O)C(=O)[O-].[Na+],hivint
1,CHEMBL102914,Q7ZJM1,IC50,>,300000.0,nM,C(=C\c1ccccc1)/C(=O)CC(=O)/C=C/c1ccccc1,hivint
2,CHEMBL102914,Q7ZJM1,IC50,>,300000.0,nM,C(=C\c1ccccc1)/C(=O)CC(=O)/C=C/c1ccccc1,hivint
3,CHEMBL103006,Q7ZJM1,IC50,>,300000.0,nM,C(=C\c1ccc(cc1)OC)/C(=O)CC(=O)/C=C/c1ccc(cc1)OC,hivint
4,CHEMBL103006,Q7ZJM1,IC50,>,300000.0,nM,C(=C\c1ccc(cc1)OC)/C(=O)CC(=O)/C=C/c1ccc(cc1)OC,hivint
5,CHEMBL103410,Q7ZJM1,IC50,=,18000.0,nM,c1(c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(c(c1)OC)O)O)O,hivint
6,CHEMBL103410,Q7ZJM1,IC50,=,9000.0,nM,c1(c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(c(c1)OC)O)O)O,hivint
7,CHEMBL105350,Q7ZJM1,IC50,=,100000.0,nM,c1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(cc1)O)O,hivint
8,CHEMBL105350,Q7ZJM1,IC50,=,120000.0,nM,c1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(cc1)O)O,hivint
9,CHEMBL105350,Q7ZJM1,IC50,=,80000.0,nM,c1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(cc1)O)O,hivint
10,CHEMBL105350,Q7ZJM1,IC50,>,100000.0,nM,c1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c1ccc(cc1)O)O,hivint
11,CHEMBL105883,Q7ZJM1,IC50,=,22000.0,nM,c1(c(c2c(cc1C)cc(c(c2)O)O)C)c1c(C(F)(F)F)cccc1,hivint
12,CHEMBL106044,Q7ZJM1,IC50,=,84000.0,nM,c1(c2c(cc(c1c1ccc(cc1)C)C)cc(c(c2)O)O)C,hivint
13,CHEMBL106430,Q7ZJM1,IC50,=,500000.0,nM,c1(c(c2cc(c(cc2)O)O)c(cc2c1cccc2)C)C,hivint
14,CHEMBL106446,Q7ZJM1,IC50,=,1300.0,nM,C12OC(c3c(C2)cc(c(c3)O)O)Cc2c1cc(c(c2)O)O,hivint
15,CHEMBL106455,Q7ZJM1,IC50,=,13000.0,nM,c1(c2c(cc(c1c1cc(C(F)(F)F)ccc1)C)cc(c(c2)O)O)C,hivint
16,CHEMBL106604,Q7ZJM1,IC50,=,500000.0,nM,c1(c(c2cc(c(cc2)O)O)c(cc2c1cccc2F)C)C,hivint
17,CHEMBL106946,Q7ZJM1,IC50,=,500000.0,nM,c1(c(c2cc(c(cc2)O)O)c(cc2c1cc(cc2)F)C)C,hivint
18,CHEMBL107490,Q7ZJM1,IC50,>,100000.0,nM,c1(n(nnn1)Cc1ccc(cc1)OC)C(=O)/C=C(/c1cc(cc(c1)OCc1ccccc1)OCc1ccccc1)\O,hivint
19,CHEMBL107490,Q7ZJM1,IC50,>,100000.0,nM,c1(n(nnn1)Cc1ccc(cc1)OC)C(=O)/C=C(/c1cc(cc(c1)OCc1ccccc1)OCc1ccccc1)\O,hivint
20,CHEMBL107777,Q7ZJM1,IC50,>,293000.0,nM,N1(C(=O)/C(=C/c2ccc(cc2)O)/C(=N1)C)C(=O)c1ccc(cc1)Cl,hivint
21,CHEMBL107777,Q7ZJM1,IC50,>,293000.0,nM,N1(C(=O)/C(=C/c2ccc(cc2)O)/C(=N1)C)C(=O)c1ccc(cc1)Cl,hivint
22,CHEMBL107778,Q7ZJM1,IC50,=,168000.0,nM,N1(C(=O)C(C1c1ccc([N+](=O)[O-])cc1)Cl)NC(=O)c1c(O)cccc1,hivint
23,CHEMBL107778,Q7ZJM1,IC50,=,83000.0,nM,N1(C(=O)C(C1c1ccc([N+](=O)[O-])cc1)Cl)NC(=O)c1c(O)cccc1,hivint
24,CHEMBL107778,Q7ZJM1,IC50,=,155000.0,nM,N1(C(=O)C(C1c1ccc([N+](=O)[O-])cc1)Cl)NC(=O)c1c(O)cccc1,hivint
25,CHEMBL107778,Q7ZJM1,IC50,=,192000.0,nM,N1(C(=O)C(C1c1ccc([N+](=O)[O-])cc1)Cl)NC(=O)c1c(O)cccc1,hivint
26,CHEMBL108031,Q7ZJM1,IC50,=,600.0,nM,N1(C(=O)/C(=C/c2ccc(cc2)OC)/C(=N1)C)C(=O)c1c(O)cccc1,hivint
27,CHEMBL108031,Q7ZJM1,IC50,=,900.0,nM,N1(C(=O)/C(=C/c2ccc(cc2)OC)/C(=N1)C)C(=O)c1c(O)cccc1,hivint
28,CHEMBL108062,Q7ZJM1,IC50,=,138000.0,nM,c1(c2c(cc(c1c1ccc(cc1)F)C)cc(c(c2)O)O)C,hivint
29,CHEMBL108150,Q7ZJM1,IC50,>,100000.0,nM,c1(/C(=C/C(=O)C(=O)OCC)/O)c2c([nH]c1)ccc(c2)Cl,hivint
30,CHEMBL108150,Q7ZJM1,IC50,=,6900.0,nM,c1(/C(=C/C(=O)C(=O)OCC)/O)c2c([nH]c1)ccc(c2)Cl,hivint
31,CHEMBL1082256,Q7ZJM1,Activity,=,15.8,%,N([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)[C@@H](C)CC)CCCNC(=N)N)Cc1ccccc1)Cc1cnc[nH]1)[C@@H](C)CC)Cc1ccccc1)CC(C)C)CC(C)C)CCC(=O)N)CCC(=O)N)CC(C)C)C(=O)C,hivint
32,CHEMBL108240,Q7ZJM1,IC50,>,100000.0,nM,c1(n(nnn1)Cc1cc(cc(c1)OC)OC)C(=O)/C=C(/c1c[nH]c2c1cccc2)\O,hivint
33,CHEMBL108240,Q7ZJM1,IC50,>,100000.0,nM,c1(n(nnn1)Cc1cc(cc(c1)OC)OC)C(=O)/C=C(/c1c[nH]c2c1cccc2)\O,hivint
34,CHEMBL108253,Q7ZJM1,IC50,=,350.0,nM,C(=C(\c1cc(OCc2ccccc2)ccc1)/O)/C(=O)C(=O)O,hivint
35,CHEMBL108253,Q7ZJM1,IC50,=,350.0,nM,C(=C(\c1cc(OCc2ccccc2)ccc1)/O)/C(=O)C(=O)O,hivint
36,CHEMBL108253,Q7ZJM1,IC50,=,100000.0,nM,C(=C(\c1cc(OCc2ccccc2)ccc1)/O)/C(=O)C(=O)O,hivint
37,CHEMBL108253,Q7ZJM1,IC50,=,65000.0,nM,C(=C(\c1cc(OCc2ccccc2)ccc1)/O)/C(=O)C(=O)O,hivint
38,CHEMBL108302,Q7ZJM1,IC50,>,100000.0,nM,C(=O)(c1c(C(=O)O)cccc1)NNC(=O)c1c(C(=O)O)cccc1,hivint
39,CHEMBL108302,Q7ZJM1,IC50,>,100000.0,nM,C(=O)(c1c(C(=O)O)cccc1)NNC(=O)c1c(C(=O)O)cccc1,hivint
40,CHEMBL108310,Q7ZJM1,IC50,>,100000.0,nM,c1(c(cc(C(=O)NNC(=O)c2ccc(cc2)Cl)cc1OC)OC)OC,hivint
41,CHEMBL108310,Q7ZJM1,IC50,>,100000.0,nM,c1(c(cc(C(=O)NNC(=O)c2ccc(cc2)Cl)cc1OC)OC)OC,hivint
