,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100034,Q72874,IC50,=,126.0,nM,n1c(C(=O)N[C@H](C(=O)N[C@H]([C@@H](CN(C(=O)NCCCC)CC(C)C)O)Cc2ccccc2)CC(=O)N)ccc2c1cccc2,hivpr
1,CHEMBL100039,Q72874,IC50,=,13.0,nM,C(=O)(N(C[C@H]([C@@H](NC(=O)[C@H](CC(=O)N)NC(=O)OCc1ccccc1)Cc1ccccc1)O)CCC(C)C)NC(C)(C)C,hivpr
2,CHEMBL100040,Q72874,IC50,<,0.2,nM,S(=O)(=O)(C[C@H](C(=O)N[C@H]([C@@H](CN1[C@H](C(=O)NC(C)(C)C)C[C@H]2[C@@H](C1)CCS2)O)Cc1ccccc1)NC(=O)C(F)(F)F)c1ccc(cc1)F,hivpr
3,CHEMBL100048,Q72874,IC50,=,1.7,nM,S1(=O)(=O)C[C@@H](OC(=O)N[C@H]([C@@H](CN2[C@H](C(=O)NC(C)(C)C)C[C@H]3[C@@H](C2)CCS3)O)CSc2ccccc2)CC1,hivpr
4,CHEMBL100089,Q72874,IC50,=,0.5,nM,S(=O)(=O)(C[C@H](C(=O)N[C@H]([C@@H](CN1[C@H](C(=O)NC(C)(C)C)C[C@H]2[C@@H](C1)CCCC2)O)Cc1ccccc1)NS(=O)(=O)C)c1cc2c(cc1)cccc2,hivpr
5,CHEMBL100271,Q72874,IC50,=,2.6,nM,N1([C@H](C(=O)NC(C)(C)C)C[C@H]2[C@@H](C1)CCS2)C[C@H]([C@@H](NC(=O)O[C@@H]1[C@@H](SCC1)C(C)C)Cc1ccccc1)O,hivpr
6,CHEMBL100310,Q72874,IC50,=,0.05,nM,N(C(=O)[C@@H](C[C@@H]([C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)O)Cc1ccccc1)[C@H](C(=O)NCC(O)CO)C(C)C,hivpr
7,CHEMBL100412,Q72874,IC50,<,1.0,nM,C(=O)(N[C@H]([C@H](C[C@@H](NC(=O)[C@@H](NC(=O)CSc1ncccn1)C(C)C)Cc1ccccc1)O)Cc1ccccc1)[C@@H](NC(=O)CSc1ncccn1)C(C)C,hivpr
8,CHEMBL100944,Q72874,Ki,=,33.0,nM,[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C)([C@@H]([C@@H](NC(=O)[C@@H](NC(=O)CCCCCN)C(C)C)Cc1ccccc1)O)NCc1ccccc1,hivpr
9,CHEMBL101111,Q72874,Inhibition,=,71.0,%,C(=O)(N[C@H]([C@H](C[C@@H](NC(=O)[C@@H](NC(=O)Cc1cc(c(c(c1)OC)OC)OC)C(C)C)Cc1ccccc1)O)Cc1ccccc1)[C@@H](NC(=O)Cc1cc(c(c(c1)OC)OC)OC)C(C)C,hivpr
10,CHEMBL101111,Q72874,IC50,<,1.0,nM,C(=O)(N[C@H]([C@H](C[C@@H](NC(=O)[C@@H](NC(=O)Cc1cc(c(c(c1)OC)OC)OC)C(C)C)Cc1ccccc1)O)Cc1ccccc1)[C@@H](NC(=O)Cc1cc(c(c(c1)OC)OC)OC)C(C)C,hivpr
11,CHEMBL101560,Q72874,IC50,=,0.33,nM,O(C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@@H]1[C@@H](Cc2c1cccc2)O)Cc1ccccc1)O)Cc1ccccc1)C1CCCC1,hivpr
12,CHEMBL101560,Q72874,IC95,=,400.0,nM,O(C(=O)N[C@H]([C@H](C[C@H](C(=O)N[C@@H]1[C@@H](Cc2c1cccc2)O)Cc1ccccc1)O)Cc1ccccc1)C1CCCC1,hivpr
13,CHEMBL101962,Q72874,IC50,=,3.4,nM,C(=O)(N[C@H]([C@H]([C@@H]([C@@H](NC(=O)[C@@H](NC(=O)Cc1cc(c(c(c1)OC)OC)OC)C(C)C)Cc1ccccc1)O)O)Cc1ccccc1)[C@@H](NC(=O)Cc1cc(c(c(c1)OC)OC)OC)C(C)C,hivpr
