,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100054,Q72547,Activity,=,0.099,uM,c1(C(=O)OCC)c(ccc(NC(=S)OC(C)C)c1)Cl,hivrt
1,CHEMBL100056,Q72547,IC50,=,40.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
2,CHEMBL100056,Q72547,IC50,=,90.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
3,CHEMBL100056,Q72547,IC50,=,120.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
4,CHEMBL100056,Q72547,IC50,=,250.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
5,CHEMBL100056,Q72547,IC50,=,230.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
6,CHEMBL100056,Q72547,IC50,=,10.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
7,CHEMBL100056,Q72547,IC50,=,10.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(N)ccc1)CC,hivrt
8,CHEMBL100136,Q72547,IC50,=,60.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(ncc1)C)CC,hivrt
9,CHEMBL100136,Q72547,IC50,>,1000.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(ncc1)C)CC,hivrt
10,CHEMBL100136,Q72547,IC50,=,140.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)CCc1cc(ncc1)C)CC,hivrt
11,CHEMBL100237,Q72547,Activity,=,0.021,uM,c1(/C(=N\c2cc(c(cc2)Cl)/C=N/OCC=C)/S)c(occ1)C,hivrt
12,CHEMBL100247,Q72547,Activity,=,0.156,uM,[C@@]1(c2c(NC(=O)O1)cccc2F)(C(F)(F)F)C#CCCC,hivrt
13,CHEMBL100278,Q72547,Activity,=,0.55,uM,[C@@]1(c2c(NC(=O)O1)ccc(c2)Cl)(C(F)(F)F)C#CCO,hivrt
14,CHEMBL100344,Q72547,Activity,=,0.41,uM,[C@@]1(c2c(NC(=O)O1)ccc(c2)Cl)(C1CC1)C#CCOC,hivrt
15,CHEMBL100352,Q72547,IC50,=,50.0,nM,c12c(n(c3c(n(c1=O)C)cccn3)CC)ncc(c2)CO,hivrt
16,CHEMBL100352,Q72547,IC50,=,740.0,nM,c12c(n(c3c(n(c1=O)C)cccn3)CC)ncc(c2)CO,hivrt
17,CHEMBL100394,Q72547,IC50,=,800.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)COc1ccc(C(=O)OC)cc1)CC,hivrt
18,CHEMBL100394,Q72547,Inhibition,=,33.0,%,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)COc1ccc(C(=O)OC)cc1)CC,hivrt
19,CHEMBL100445,Q72547,IC50,=,30.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)COc1cc(ncc1)C)CC,hivrt
20,CHEMBL100445,Q72547,IC50,=,230.0,nM,c12n(c3c(c(=O)n(c1ccc(n2)Cl)C)cc(cn3)COc1cc(ncc1)C)CC,hivrt
