,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100165,P04035,Relative potency,=,150.0,Unspecified,c1(c(cc(cc1C(C)C)C(C)C)c1ccc(cc1)F)OCC(C[C@H](CC(=O)[O-])O)O.[Na+],hmdh
1,CHEMBL100165,P04035,IC50,=,30.0,nM,c1(c(cc(cc1C(C)C)C(C)C)c1ccc(cc1)F)OCC(C[C@H](CC(=O)[O-])O)O.[Na+],hmdh
2,CHEMBL100165,P51639,Relative potency,=,300.0,Unspecified,c1(c(cc(cc1C(C)C)C(C)C)c1ccc(cc1)F)OCC(C[C@H](CC(=O)[O-])O)O.[Na+],hmdh
3,CHEMBL100165,P51639,IC50,=,2.7,nM,c1(c(cc(cc1C(C)C)C(C)C)c1ccc(cc1)F)OCC(C[C@H](CC(=O)[O-])O)O.[Na+],hmdh
4,CHEMBL100188,P51639,Relative potency,=,0.012,Unspecified,C(=C(c1c(cc(cc1)C)C)c1c(cc(cc1)C)C)(c1n(nnn1)C)/C=C/[C@H](C[C@H](CC(=O)[O-])O)O.[Na+],hmdh
5,CHEMBL100188,P51639,IC50,=,1600.0,nM,C(=C(c1c(cc(cc1)C)C)c1c(cc(cc1)C)C)(c1n(nnn1)C)/C=C/[C@H](C[C@H](CC(=O)[O-])O)O.[Na+],hmdh
6,CHEMBL100357,P51639,Relative potency,=,10.0,Unspecified,c1(c(c(cc(c1)Cl)C)OCC(C[C@H](CC(=O)[O-])O)O)C(c1ccc(cc1)F)c1ccc(cc1)F.[Na+],hmdh
7,CHEMBL100357,P51639,IC50,=,70.0,nM,c1(c(c(cc(c1)Cl)C)OCC(C[C@H](CC(=O)[O-])O)O)C(c1ccc(cc1)F)c1ccc(cc1)F.[Na+],hmdh
8,CHEMBL100504,P51639,IC50,=,150000.0,nM,c1(c(c(cc(c1)C)C)CCCP(=O)(C[C@H](CC(=O)O)O)O)c1cc(c(cc1)F)C,hmdh
9,CHEMBL100560,P51639,Relative potency,=,5.0,Unspecified,c1(c(c(cc(c1)C)C)OCC(C[C@H](CC(=O)[O-])O)O)C(c1ccc(cc1)F)C.[Na+],hmdh
