,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL104,P07900,AC50,<,195.0,nM,Clc1ccccc1C(c1ccccc1)(n1cncc1)c1ccccc1,hs90a
1,CHEMBL106,P07900,AC50,=,4687.0,nM,c1(c(cc(cc1)F)F)C(O)(Cn1ncnc1)Cn1ncnc1,hs90a
2,CHEMBL1086440,P07900,AC50,=,4247.0,nM,c1(nc2c([nH]1)cc(c(c2)Cl)Oc1c(c(ccc1)Cl)Cl)SC,hs90a
3,CHEMBL109480,P07900,Ki,=,29.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
4,CHEMBL109480,P07900,IC50,=,140.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
5,CHEMBL109480,P07900,IC50,=,780.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
6,CHEMBL109480,P07900,IC50,=,23200.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
7,CHEMBL109480,P07900,Kd,=,310.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
8,CHEMBL109480,P07900,IC50,=,46.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
9,CHEMBL109480,P07900,Kd,=,326.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
10,CHEMBL109480,P07900,EC50,=,12.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
11,CHEMBL109480,P07900,Ki,=,4.6,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
12,CHEMBL109480,P07900,Kd,=,220.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
13,CHEMBL109480,P07900,INH,=,84.0,ug ml-1,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
14,CHEMBL109480,P07900,IC50,=,1190.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
15,CHEMBL109480,P07900,Kd,=,220.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
16,CHEMBL109480,P07900,EC50,=,60.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
17,CHEMBL109480,P07900,EC50,<,100.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
18,CHEMBL109480,P07900,EC50,=,120.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
19,CHEMBL109480,P07900,IC50,=,9800.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
20,CHEMBL109480,P07900,IC50,=,20.0,nM,C1[C@H](C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C1C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC)C,hs90a
