,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1077604,P35557,Activity,=,17.0,%,c1c(c2c(oc(cc2=O)C)c(c1O)[C@@H]1[C@@H](CN(CC1)C)O)O,hxk4
1,CHEMBL1096435,P17712,EC50,=,235.0,nM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
2,CHEMBL1096435,P35557,EC50,=,334.0,nM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
3,CHEMBL1096435,P35557,Kd,=,500.0,nM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
4,CHEMBL1096435,P35557,Activity,=,30.0,%,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
5,CHEMBL1096435,P35557,EC50,=,500.0,nM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
6,CHEMBL1096435,P35557,%max,=,98.0,%,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
7,CHEMBL1096435,P35557,Activity,=,0.24,uM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
8,CHEMBL1096435,P35557,Emax,=,81.0,%,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
9,CHEMBL1096435,P35557,Ratio,=,4.67,Unspecified,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
10,CHEMBL1096435,P35557,Ratio,=,1.0,Unspecified,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
11,CHEMBL1096435,P35557,Ratio,=,2.55,Unspecified,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
12,CHEMBL1096435,P35557,Ratio,=,1.0,Unspecified,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
13,CHEMBL1096435,P35557,EC50,=,690.0,nM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
14,CHEMBL1096435,P35557,Activity,=,0.127,uM,C(=O)([C@H](CC1CCCC1)c1ccc(cc1)S(=O)(=O)C)Nc1sccn1,hxk4
15,CHEMBL1164184,P35557,EC50,=,89.0,nM,C1C(C1)S(=O)(=O)c1ccc(cc1)C(C(=O)Nc1ncc(s1)F)CC1CCOCC1,hxk4
16,CHEMBL1164184,P35557,FC,=,4.6,Unspecified,C1C(C1)S(=O)(=O)c1ccc(cc1)C(C(=O)Nc1ncc(s1)F)CC1CCOCC1,hxk4
17,CHEMBL1164184,P35557,EC50,=,89.0,nM,C1C(C1)S(=O)(=O)c1ccc(cc1)C(C(=O)Nc1ncc(s1)F)CC1CCOCC1,hxk4
18,CHEMBL1164268,P35557,FC,=,2.17,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)CC)CC1CCOCC1)S(=O)(=O)C,hxk4
19,CHEMBL1164268,P35557,EC50,=,1000.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)CC)CC1CCOCC1)S(=O)(=O)C,hxk4
20,CHEMBL1164315,P35557,FC,=,2.05,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)CC(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
21,CHEMBL1164315,P35557,EC50,=,355.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)CC(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
22,CHEMBL1164323,P35557,FC,=,1.3,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)c1ccccc1)CC1CCOCC1)S(=O)(=O)C,hxk4
23,CHEMBL1164323,P35557,EC50,=,724.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)c1ccccc1)CC1CCOCC1)S(=O)(=O)C,hxk4
24,CHEMBL1164508,P35557,FC,=,1.25,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)c1ccc(cc1)F)CC1CCOCC1)S(=O)(=O)C,hxk4
25,CHEMBL1164508,P35557,EC50,=,1180.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)c1ccc(cc1)F)CC1CCOCC1)S(=O)(=O)C,hxk4
26,CHEMBL1164519,P35557,FC,=,1.67,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc(c(n1)C(C)C)Br)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
27,CHEMBL1164519,P35557,EC50,=,320.0,nM,c1c(ccc(c1)C(C(=O)Nc1sc(c(n1)C(C)C)Br)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
28,CHEMBL1164577,P35557,FC,=,2.1,Unspecified,c1c(ccc(c1)[C@H](C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
29,CHEMBL1164577,P35557,EC50,=,330.0,nM,c1c(ccc(c1)[C@H](C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
30,CHEMBL1164578,P35557,max activation,=,2.97,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
31,CHEMBL1164578,P35557,EC50,=,157.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
32,CHEMBL1164578,P35557,FC,=,2.97,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
33,CHEMBL1164578,P35557,EC50,=,157.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
34,CHEMBL1164579,P35557,FC,=,1.72,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc(c(n1)C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
35,CHEMBL1164579,P35557,EC50,=,2860.0,nM,c1c(ccc(c1)C(C(=O)Nc1sc(c(n1)C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
36,CHEMBL1164586,P35557,FC,=,1.34,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc(c(n1)C(C)C)I)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
37,CHEMBL1164587,P35557,FC,=,1.3,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc2c(n1)cc(cc2)F)CC1CCOCC1)S(=O)(=O)C,hxk4
38,CHEMBL1164726,P35557,FC,=,1.17,Unspecified,c1c(ccc(c1)C(C(=O)NC1=NC(=O)/C(=C/C(C)C)/S1)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
39,CHEMBL1164790,P35557,FC,=,3.4,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc2c(n1)CCC2)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
40,CHEMBL1164790,P35557,EC50,=,79.0,nM,c1c(ccc(c1)C(C(=O)Nc1sc2c(n1)CCC2)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
41,CHEMBL1164848,P35557,FC,=,1.13,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc(c(n1)C)C(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
42,CHEMBL1164970,P35557,FC,=,1.87,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C1CC1)CC1CCOCC1)S(=O)(=O)C,hxk4
43,CHEMBL1164970,P35557,EC50,=,1350.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C1CC1)CC1CCOCC1)S(=O)(=O)C,hxk4
44,CHEMBL1165042,P35557,FC,=,2.49,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
45,CHEMBL1165042,P35557,EC50,=,310.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)C(C)C)CC1CCOCC1)S(=O)(=O)C,hxk4
46,CHEMBL1165056,P35557,FC,=,1.22,Unspecified,c1c(ccc(c1)C(C(=O)Nc1scc(n1)c1ccc(cc1)OC)CC1CCOCC1)S(=O)(=O)C,hxk4
47,CHEMBL1165056,P35557,EC50,=,1040.0,nM,c1c(ccc(c1)C(C(=O)Nc1scc(n1)c1ccc(cc1)OC)CC1CCOCC1)S(=O)(=O)C,hxk4
48,CHEMBL1165213,P35557,FC,=,2.26,Unspecified,c1c(ccc(c1)C(C(=O)Nc1sc2c(n1)CCN(C2)C)CC1CCOCC1)S(=O)(=O)C1CC1,hxk4
