,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P08069,Residual Activity,=,122.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
1,CHEMBL10,P08069,Residual Activity,=,117.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
2,CHEMBL10,P08069,Residual Activity,=,117.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
3,CHEMBL10,P08069,Residual Activity,=,102.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
4,CHEMBL10,P08069,Ki,>,1995.26,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
5,CHEMBL10,P08069,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
6,CHEMBL10,P08069,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,igf1r
7,CHEMBL101253,P08069,Ki,>,1995.26,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,igf1r
8,CHEMBL101253,P08069,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,igf1r
9,CHEMBL101253,P08069,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,igf1r
10,CHEMBL101253,P08069,IC50,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,igf1r
11,CHEMBL101311,P08069,Ki,=,316.23,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,igf1r
12,CHEMBL101683,P08069,Residual Activity,=,96.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,igf1r
13,CHEMBL101683,P08069,Residual Activity,=,109.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,igf1r
14,CHEMBL101683,P08069,Residual Activity,=,111.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,igf1r
15,CHEMBL101683,P08069,Residual Activity,=,125.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,igf1r
16,CHEMBL101683,P08069,IC50,>,10000.0,nM,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,igf1r
17,CHEMBL101804,P08069,Inhibition,=,1.21,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,igf1r
18,CHEMBL101804,P08069,Inhibition,=,2.33,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,igf1r
19,CHEMBL102346,P08069,Residual Activity,=,88.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,igf1r
20,CHEMBL102346,P08069,Residual Activity,=,102.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,igf1r
21,CHEMBL102346,P08069,Residual Activity,=,138.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,igf1r
22,CHEMBL102346,P08069,Residual Activity,=,136.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,igf1r
23,CHEMBL102936,P08069,Inhibition,=,7.15,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,igf1r
24,CHEMBL102936,P08069,Inhibition,=,5.41,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,igf1r
25,CHEMBL103045,P08069,IC50,=,50.0,nM,n1cc(c(c2c1cc(c(c2)OC)OCCCN1CCN(CC1)CC)Nc1ccc(c(c1)Cl)Sc1nccn1C)C#N,igf1r
26,CHEMBL103055,P08069,IC50,>,100000.0,nM,C12=C(c3cn(c4c3cccc4)CCOCCN(CC)CCOCCn3cc1c1c3cccc1)C(=O)NC2=O,igf1r
27,CHEMBL103080,P08069,Inhibition,=,1.3,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,igf1r
28,CHEMBL103080,P08069,Inhibition,=,-1.63,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,igf1r
29,CHEMBL103098,P08069,Inhibition,=,0.89,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,igf1r
30,CHEMBL103098,P08069,Inhibition,=,1.61,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,igf1r
31,CHEMBL103104,P08069,Inhibition,=,5.98,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,igf1r
32,CHEMBL103104,P08069,Inhibition,=,5.23,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,igf1r
33,CHEMBL103115,P08069,Inhibition,=,-1.39,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,igf1r
34,CHEMBL103115,P08069,Inhibition,=,-0.67,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,igf1r
35,CHEMBL103667,P08069,IC50,>,30000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,igf1r
36,CHEMBL103667,P08069,Ki,>,1995.26,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,igf1r
37,CHEMBL103667,P08069,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,igf1r
38,CHEMBL103667,P08069,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,igf1r
39,CHEMBL104264,P08069,Residual Activity,=,105.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,igf1r
40,CHEMBL104264,P08069,Residual Activity,=,103.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,igf1r
41,CHEMBL104264,P08069,Residual Activity,=,111.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,igf1r
42,CHEMBL104264,P08069,Residual Activity,=,90.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,igf1r
43,CHEMBL104279,P08069,Residual Activity,=,86.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,igf1r
44,CHEMBL104279,P08069,Residual Activity,=,81.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,igf1r
45,CHEMBL104279,P08069,Residual Activity,=,114.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,igf1r
46,CHEMBL104279,P08069,Residual Activity,=,118.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,igf1r
47,CHEMBL104466,P08069,IC50,>>,10000.0,nM,n1c2cc(c(cc2ncc1N[C@H]1CC[C@@H](CC1)O)OC)OC,igf1r
48,CHEMBL104468,P08069,Residual Activity,=,101.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,igf1r
49,CHEMBL104468,P08069,Residual Activity,=,107.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,igf1r
50,CHEMBL104468,P08069,Residual Activity,=,122.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,igf1r
51,CHEMBL104468,P08069,Residual Activity,=,124.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,igf1r
52,CHEMBL105442,P08069,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,igf1r
53,CHEMBL1076555,P08069,Residual Activity,=,108.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,igf1r
54,CHEMBL1076555,P08069,Residual Activity,=,103.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,igf1r
