,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1223644,P9WGR1,Kis,=,0.338,uM,c1c(ccc(c1)C(=O)N1CCN(CC1)C1c2c(cccc2)c2c1cccc2)F,inha
1,CHEMBL1223644,P9WGR1,Kii,=,0.348,uM,c1c(ccc(c1)C(=O)N1CCN(CC1)C1c2c(cccc2)c2c1cccc2)F,inha
2,CHEMBL1223644,P9WGR1,IC50,=,397.0,nM,c1c(ccc(c1)C(=O)N1CCN(CC1)C1c2c(cccc2)c2c1cccc2)F,inha
3,CHEMBL1236225,P9WGR1,IC50,=,22.0,nM,Oc1cc(CCCCCC)ccc1Oc1ccccc1C,inha
4,CHEMBL1253716,P9WGR1,Inhibition,=,97.0,%,C1=CN(C=C([C@H]1C(=O)c1ccncc1)C(=O)N)[C@H]1[C@@H]([C@@H]([C@H](O1)COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@H](n2c3ncnc(c3nc2)N)O1)O)O)O)O)O,inha
5,CHEMBL1253716,P9WGR1,Inhibition,=,87.0,%,C1=CN(C=C([C@H]1C(=O)c1ccncc1)C(=O)N)[C@H]1[C@@H]([C@@H]([C@H](O1)COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@H](n2c3ncnc(c3nc2)N)O1)O)O)O)O)O,inha
6,CHEMBL1253716,P9WGR1,Inhibition,=,67.0,%,C1=CN(C=C([C@H]1C(=O)c1ccncc1)C(=O)N)[C@H]1[C@@H]([C@@H]([C@H](O1)COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@H](n2c3ncnc(c3nc2)N)O1)O)O)O)O)O,inha
7,CHEMBL1253716,P9WGR1,Inhibition,=,92.0,%,C1=CN(C=C([C@H]1C(=O)c1ccncc1)C(=O)N)[C@H]1[C@@H]([C@@H]([C@H](O1)COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@H](n2c3ncnc(c3nc2)N)O1)O)O)O)O)O,inha
8,CHEMBL1253731,P9WGR1,Inhibition,=,20.0,%,c1cc(cc(c1)Br)C1(NC(=O)c2c1ccnc2)O,inha
9,CHEMBL1253732,P9WGR1,Inhibition,=,17.0,%,c1cc(cc(c1)O)C1(NC(=O)c2c1ccnc2)O,inha
10,CHEMBL1254640,P9WGR1,Inhibition,=,23.0,%,c1cc(cc(c1)OCC=C)C1(NC(=O)c2c1ccnc2)O,inha
11,CHEMBL1254641,P9WGR1,Inhibition,=,41.0,%,c1cc(cc(c1)OCCCCCCCCCCCC)C1(NC(=O)c2c1ccnc2)O,inha
12,CHEMBL1254641,P9WGR1,Inhibition,=,12.0,%,c1cc(cc(c1)OCCCCCCCCCCCC)C1(NC(=O)c2c1ccnc2)O,inha
