,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100043,P20701,IC50,=,90.0,nM,S(=O)(=O)(C1CCN(C(=O)/C=C/c2cc([N+](=O)[O-])c(Sc3c(C(C)C)cccc3)cc2)CC1)O,ital
1,CHEMBL100367,P20701,IC50,=,25.0,nM,c1(C(F)(F)F)c(Sc2cc3c(OCCO3)cc2)ccc(c1)/C=C/C(=O)N1CC(C(=O)O)CCC1,ital
2,CHEMBL100372,P20701,IC50,=,66.0,nM,[N+](=O)(c1c(Sc2c(C(C)C)cccc2)ccc(c1)/C=C/C(=O)N1CCN(C(=O)c2ccncc2)CC1)[O-],ital
3,CHEMBL10101,P20701,IC50,=,3000.0,nM,n1(c2nc(cs2)c2cc(C(F)(F)F)ccc2)c(c(cn1)C(=O)NCCCO)CC,ital
4,CHEMBL101416,P20701,IC50,=,140.0,nM,N1(C(=O)/C=C/c2cc(c(Sc3c(cc(cc3)Cl)Cl)cc2)Cl)CCN(C(=O)C)CC1,ital
5,CHEMBL101416,P20701,IC50,=,140.0,nM,N1(C(=O)/C=C/c2cc(c(Sc3c(cc(cc3)Cl)Cl)cc2)Cl)CCN(C(=O)C)CC1,ital
6,CHEMBL101416,P20701,IC50,=,130.0,nM,N1(C(=O)/C=C/c2cc(c(Sc3c(cc(cc3)Cl)Cl)cc2)Cl)CCN(C(=O)C)CC1,ital
7,CHEMBL102030,P20701,IC50,=,30.0,nM,c1(C(F)(F)F)c(Sc2cc3c(OCCO3)cc2)ccc(c1)/C=C/C(=O)N1CCC(C(=O)O)CC1,ital
8,CHEMBL1098726,P24063,IC50,=,150.0,nM,c1(cc(cc(c1)Cl)N1C(=O)N([C@]2(C1=O)CN(C[C@H]2c1ccc(cc1)C#N)c1ncc(cc1)C(=O)O)C)Cl,ital
9,CHEMBL116785,P20701,IC50,=,44.0,nM,C1(=CC(=CCC1Sc1c(C(C)C)cccc1)/C=C/C(=O)N1CCN(C(=O)C)CC1)[N+](=O)[O-],ital
10,CHEMBL119467,P20701,IC50,=,80000.0,nM,[N+](=O)(c1cc(/C=C/C(=O)N2CCN(C(=O)C)CC2)ccc1)[O-],ital
11,CHEMBL1221919,P20701,IC50,=,25.0,nM,N(C(=O)c1cccs1)C[C@H](NC(=O)c1c(cc2CN(CCc2c1Cl)C(=O)/C=C/c1ccco1)Cl)C(=O)O,ital
12,CHEMBL1221969,P20701,IC50,=,79.0,nM,N(C(=O)c1cccs1)C[C@H](NC(=O)c1c(cc2CN(CCc2c1Cl)C(=O)c1ccccc1)Cl)C(=O)O,ital
13,CHEMBL1221970,P20701,IC50,=,460.0,nM,N(C(=O)c1cccs1)C[C@H](NC(=O)c1c(cc2CN(CCc2c1Cl)C(=O)c1ccccc1C)Cl)C(=O)O,ital
14,CHEMBL1221971,P20701,IC50,=,90.0,nM,c1(cccc(c1)C)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)c1cccs1)Cl,ital
15,CHEMBL1221972,P20701,IC50,=,10.0,nM,c1(ccc(cc1)C)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)c1cccs1)Cl,ital
16,CHEMBL1222021,P20701,IC50,=,66.0,nM,c1(cccc(c1)Cl)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)c1cccs1)Cl,ital
17,CHEMBL1222022,P20701,IC50,=,22.0,nM,c1(ccc(cc1)Cl)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)c1cccs1)Cl,ital
18,CHEMBL1222022,P20701,IC50,=,22.0,nM,c1(ccc(cc1)Cl)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)c1cccs1)Cl,ital
19,CHEMBL1222022,P20701,IC50,=,1500.0,nM,c1(ccc(cc1)Cl)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)c1cccs1)Cl,ital
20,CHEMBL1222023,P20701,IC50,>,1000.0,nM,c1(ccc(cc1)Cl)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CN)Cl,ital
21,CHEMBL1222024,P20701,IC50,=,620.0,nM,c1(ccc(cc1)Cl)C(=O)N1CCc2c(C1)cc(c(c2Cl)C(=O)N[C@H](C(=O)O)CNC(=O)C)Cl,ital
