,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,O60674,Residual Activity,=,119.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,jak2
1,CHEMBL10,O60674,Residual Activity,=,112.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,jak2
2,CHEMBL10,O60674,Ki,>,2511.89,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,jak2
3,CHEMBL10,O60674,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,jak2
4,CHEMBL10,O60674,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,jak2
5,CHEMBL101253,O60674,Ki,>,1995.26,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,jak2
6,CHEMBL101253,O60674,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,jak2
7,CHEMBL101253,O60674,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,jak2
8,CHEMBL101311,O60674,Ki,=,125.89,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,jak2
9,CHEMBL101683,O60674,Residual Activity,=,74.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,jak2
10,CHEMBL101683,O60674,Residual Activity,=,129.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,jak2
11,CHEMBL101804,O60674,Inhibition,=,2.09,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,jak2
12,CHEMBL101804,O60674,Inhibition,=,0.87,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,jak2
13,CHEMBL102346,O60674,Residual Activity,=,118.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,jak2
14,CHEMBL102346,O60674,Residual Activity,=,101.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,jak2
15,CHEMBL102936,O60674,Inhibition,=,2.88,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,jak2
16,CHEMBL102936,O60674,Inhibition,=,1.06,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,jak2
