,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1077190,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)C2CCCCC2)CCCO1)C(C)(C)C,kif11
1,CHEMBL1077204,P52732,IC50,=,8.0,nM,N(C[C@H]1CC[C@H]2[C@@H](Nc3ccc(cc3[C@H]2O1)C(F)(F)F)c1ccccc1)C(=O)NCCN(C)C,kif11
2,CHEMBL1077227,P52732,IC50,=,5.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cccs2)CC[C@@H](O1)CNC)C(C)(C)C,kif11
3,CHEMBL1077303,P52732,IC50,=,5300.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)N(C)C,kif11
4,CHEMBL1077337,P52732,IC50,=,540.0,nM,c1c(c(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)F)Cl,kif11
5,CHEMBL1077357,P52732,IC50,=,350.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cccc(c2)F)CCCO1)C(C)(C)C,kif11
6,CHEMBL1078393,P52732,IC50,=,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)CCO,kif11
7,CHEMBL1078493,P52732,IC50,>,10000.0,nM,c1c(cc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C(C)(C)C,kif11
8,CHEMBL1078572,P52732,IC50,=,90.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)F)C(F)(F)F,kif11
9,CHEMBL1078573,P52732,IC50,=,1250.0,nM,c1(c(cc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C)C,kif11
10,CHEMBL1078671,P52732,IC50,>,10000.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C)C,kif11
11,CHEMBL1078672,P52732,IC50,>,10000.0,nM,c1c(cc2c(c1C)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C,kif11
12,CHEMBL1078690,P52732,IC50,=,40.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cccc(c2)O)CCCO1)C(C)(C)C,kif11
13,CHEMBL1078691,P52732,IC50,=,34.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(cc2)O)CCCO1)C(C)(C)C,kif11
14,CHEMBL1078692,P52732,IC50,=,95.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(c(c2)O)O)CCCO1)C(C)(C)C,kif11
15,CHEMBL1078774,P52732,IC50,=,17.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(c(c2)F)O)CCCO1)C(C)(C)C,kif11
16,CHEMBL1078775,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(c(c2)F)OC)CCCO1)C(C)(C)C,kif11
17,CHEMBL1078798,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(cc2)NC(=O)C)CCCO1)C(C)(C)C,kif11
18,CHEMBL1078873,P52732,IC50,=,2300.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cccc(c2)N)CCCO1)C(C)(C)C,kif11
19,CHEMBL1078874,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(cc2)C(=O)O)CCCO1)C(C)(C)C,kif11
20,CHEMBL1078893,P52732,IC50,=,170.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2F)CCCO1)C(C)(C)C,kif11
21,CHEMBL1078894,P52732,IC50,=,270.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(cc2)F)CCCO1)C(C)(C)C,kif11
22,CHEMBL1078997,P52732,IC50,=,6800.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cccc(c2)Cl)CCCO1)C(C)(C)C,kif11
23,CHEMBL1078998,P52732,IC50,=,25.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2sccc2)CCCO1)C(C)(C)C,kif11
24,CHEMBL1082248,P52732,IC50,=,3.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNC)F)Br,kif11
25,CHEMBL1082249,P52732,IC50,=,6.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNCCNC(=O)C)F)Br,kif11
26,CHEMBL1083517,P52732,IC50,=,4.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(cc2)O)CC[C@@H](O1)CNC)C(F)(F)F,kif11
27,CHEMBL1083520,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C#N,kif11
28,CHEMBL1083521,P52732,IC50,=,500.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)CC#N,kif11
29,CHEMBL1083829,P52732,IC50,=,3700.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)OC(F)(F)F,kif11
30,CHEMBL1083830,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C(=O)O,kif11
31,CHEMBL1083836,P52732,IC50,=,11.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNC)C1CC1,kif11
32,CHEMBL1084115,P52732,IC50,=,120.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cscc2)CCCO1)C(C)(C)C,kif11
33,CHEMBL1084116,P52732,IC50,=,300.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2sc(cc2)Cl)CCCO1)C(C)(C)C,kif11
34,CHEMBL1084143,P52732,IC50,=,2.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNS(=O)(=O)CCCN(C)C)C(C)C,kif11
35,CHEMBL1084390,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2[nH]ccn2)CCCO1)C(C)(C)C,kif11
36,CHEMBL1084391,P52732,IC50,=,530.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2sccn2)CCCO1)C(C)(C)C,kif11
37,CHEMBL1084392,P52732,IC50,=,1100.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2cnccc2)CCCO1)C(C)(C)C,kif11
38,CHEMBL1084431,P52732,IC50,=,65.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CN(C(=O)c1ccc(cc1)C)CCN)C(F)(F)F,kif11
39,CHEMBL108457,P52732,IC50,>,20000.0,nM,C(c1ccc(c2ccc(C(=O)O)cc2)cc1)(F)(F)F,kif11
40,CHEMBL1084676,P52732,IC50,=,14.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNC(=O)OCCN(C)C)C(F)(F)F,kif11
41,CHEMBL1084677,P52732,IC50,=,4.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNS(=O)(=O)CCNC)C(F)(F)F,kif11
42,CHEMBL1084678,P52732,IC50,=,7.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CN(S(=O)(=O)CCCN)C)C(F)(F)F,kif11
43,CHEMBL1084935,P52732,IC50,=,19.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CN(CCO)CC)C(C)(C)C,kif11
44,CHEMBL1085665,P52732,IC50,>,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)CCCCO)CCCO1)C(C)(C)C,kif11
45,CHEMBL1085666,P52732,IC50,=,20.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CN)C(F)(F)F,kif11
46,CHEMBL1085692,P52732,IC50,=,5.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNC(=O)CCCN(C)C)F)Br,kif11
47,CHEMBL1085895,P52732,IC50,=,11.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNC(=O)NCCCO)C(F)(F)F,kif11
48,CHEMBL1086409,P52732,IC50,=,58.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccc(cc2)F)CC[C@@H](O1)CNC)C(F)(F)F,kif11
49,CHEMBL1086410,P52732,IC50,=,4.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNC)C(C)(C)C,kif11
50,CHEMBL1088740,P52732,IC50,=,420.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C,kif11
51,CHEMBL1089050,P52732,IC50,=,130.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)CC,kif11
52,CHEMBL1089051,P52732,IC50,=,360.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)CCC,kif11
53,CHEMBL1089056,P52732,IC50,=,120.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C(C)(C)C,kif11
54,CHEMBL1089057,P52732,IC50,=,110.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C(F)(F)F,kif11
55,CHEMBL1089058,P52732,IC50,=,910.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)S(F)(F)(F)(F)F,kif11
56,CHEMBL1089393,P52732,IC50,=,720.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)Cl,kif11
57,CHEMBL1091477,P52732,IC50,>,10000.0,nM,c1ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1,kif11
58,CHEMBL1092159,P52732,IC50,=,130.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CCCO1)C(C)C,kif11
59,CHEMBL1093087,P52732,IC50,=,19.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CN(c1ccccc1)CCN)C(F)(F)F,kif11
60,CHEMBL1093088,P52732,IC50,=,6.0,nM,c1(ccc2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)Cn1cncn1)C(F)(F)F,kif11
61,CHEMBL1096002,P52732,IC50,=,7.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNCCO)F)Cl,kif11
62,CHEMBL1096003,P52732,IC50,=,2.0,nM,c1(cc(c2c(c1)[C@@H]1[C@H]([C@@H](N2)c2ccccc2)CC[C@@H](O1)CNS(=O)(=O)CCN(C)C)F)Cl,kif11
63,CHEMBL1096004,P52732,IC50,>,10000.0,nM,c1ccc2c(c1)[C@@H]1[C@H](C(N2)c2ccccc2)CCCO1,kif11
64,CHEMBL1096347,P52732,IC50,=,300.0,nM,c1(ccc2c(c1)[C@@H]1[C@H](C(N2)c2ccccc2)CCCO1)C(C)(C)C,kif11
65,CHEMBL1098378,P52732,IC50,=,870.0,nM,c1(ccc2c(c1)[C@@H]1[C@H](C(N2)c2cccc(c2)F)CCCO1)C(C)(C)C,kif11
66,CHEMBL1098693,P52732,IC50,=,10000.0,nM,c1(ccc2c(c1)[C@@H]1[C@H](C(N2)c2cccc(c2)Cl)CCCO1)C(C)(C)C,kif11
67,CHEMBL1163163,P52732,IC50,=,237.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCN)c1cccc(c1)O)C.Cl,kif11
68,CHEMBL1163525,P52732,IC50,=,483.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)C(C)N)c1cccc(c1)O)Cl.Cl,kif11
69,CHEMBL1163527,P52732,IC50,=,40.0,nM,c1cc(c2c(c1)c1c([nH]2)C(N(CC1)C(=O)CCN)c1cccc(c1)O)Cl.Cl,kif11
70,CHEMBL1163528,P52732,IC50,=,65.0,nM,c1ccc2c(c1)c1c([nH]2)C(NC(C1)C(=O)NCCN)c1cccc(c1)O,kif11
71,CHEMBL1163584,P52732,IC50,=,50.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)c1ccc(cc1)N)c1cccc(c1)O)C,kif11
72,CHEMBL1163628,P52732,IC50,=,83.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCCN)c1cccc(c1)O)C.Cl,kif11
73,CHEMBL1163629,P52732,IC50,=,454.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCCCN)c1cccc(c1)O)C.Cl,kif11
74,CHEMBL1163677,P52732,IC50,=,204.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCCN)c1cccc(c1)O)Cl.Cl,kif11
75,CHEMBL1163678,P52732,IC50,=,7.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCN)c1cccc(c1)O)Cl.Cl,kif11
76,CHEMBL1163729,P52732,IC50,=,163.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)CCC)c1c[nH]c2c1cccc2)Cl,kif11
77,CHEMBL1163742,P52732,IC50,=,462.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C)c1cccc(c1)O)C,kif11
78,CHEMBL1163743,P52732,IC50,=,12378.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)Cc1ccccc1)c1cccc(c1)O)C,kif11
79,CHEMBL1163881,P52732,IC50,<,1.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)CCC)c1c[nH]c2c1cccc2)C,kif11
80,CHEMBL1163890,P52732,IC50,=,664.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C)c1cccc(c1)O)Cl,kif11
81,CHEMBL1163891,P52732,IC50,=,169.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCC)c1cccc(c1)O)Cl,kif11
82,CHEMBL1163892,P52732,IC50,=,710.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)Cc1ccccc1)c1cccc(c1)O)Cl,kif11
83,CHEMBL1164257,P52732,IC50,=,724.0,nM,c1ccc2c(c1)c1c([nH]2)C(N(C(C1)C(=O)OCC)C(=O)C)c1cccc(c1)O,kif11
84,CHEMBL1164258,P52732,IC50,=,75.0,nM,c1ccc2c(c1)c1c([nH]2)C(N(C(C1)C(=O)OCC)C(=O)CC)c1cccc(c1)O,kif11
85,CHEMBL1164373,P52732,IC50,=,51.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)C)c1c[nH]c2c1cccc2)C,kif11
86,CHEMBL1164476,P52732,IC50,=,76.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)c1ccc(cc1)N)c1cccc(c1)O)Cl,kif11
87,CHEMBL1164477,P52732,IC50,=,43.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)CCN)c1c[nH]c2c1cccc2)Cl.Cl,kif11
88,CHEMBL1164547,P52732,IC50,=,3453.0,nM,c1ccc2c(c1)c1c([nH]2)C(N(C(C1)C(=O)O)C(=O)CCC)c1cccc(c1)O,kif11
89,CHEMBL1164552,P52732,IC50,=,49.0,nM,c1cc(ccc1)Cn1c(nc2c(c1=O)ccc(c2)Cl)C(CC)N(C(=O)c1ccc(cc1)Br)CCCN(C)C,kif11
90,CHEMBL1164552,P52732,IC50,=,53.0,nM,c1cc(ccc1)Cn1c(nc2c(c1=O)ccc(c2)Cl)C(CC)N(C(=O)c1ccc(cc1)Br)CCCN(C)C,kif11
91,CHEMBL1164552,P52732,IC50,=,29.0,nM,c1cc(ccc1)Cn1c(nc2c(c1=O)ccc(c2)Cl)C(CC)N(C(=O)c1ccc(cc1)Br)CCCN(C)C,kif11
92,CHEMBL1164553,P52732,IC50,=,216.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)C(C)C)c1c[nH]c2c1cccc2)C,kif11
93,CHEMBL1164859,P52732,IC50,=,224.0,nM,c1ccc2c(c1)c1c([nH]2)C(N(C(C1)C(=O)OCC)C(=O)CCC)c1cccc(c1)O,kif11
94,CHEMBL1164860,P52732,IC50,=,118.0,nM,c1ccc2c(c1)c1c([nH]2)C(N(C(C1)C(=O)O)C(=O)CC)c1cccc(c1)O,kif11
95,CHEMBL1165017,P52732,IC50,=,290.0,nM,c1ccc2c(c1)c1c([nH]2)C(NC(C1)C(=O)NCCO)c1cccc(c1)O,kif11
96,CHEMBL1165475,P52732,IC50,=,347.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)CCCCN)c1cccc(c1)O)Cl.Cl,kif11
97,CHEMBL1165484,P52732,IC50,=,380.0,nM,c1ccc2c(c1)c1c([nH]2)C(N(C(C1)C(=O)OCC)C(=O)C(C)C)c1cccc(c1)O,kif11
98,CHEMBL1165578,P52732,IC50,=,337.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)C)c1c[nH]c2c1cccc2)Cl,kif11
99,CHEMBL1165639,P52732,IC50,=,1703.0,nM,c1(ccc2c(c1)c1c([nH]2)C(N(CC1)C(=O)C(C)C)c1c[nH]c2c1cccc2)Cl,kif11
100,CHEMBL1169609,P52732,IC50,=,3300.0,nM,c1ccc2c(c1)c1c([nH]2)c(ccc1)C(F)(F)F,kif11
101,CHEMBL1169630,P52732,Inhibition,=,11.0,%,c1(ccc2c(c1)c1c([nH]2)ccc(c1)C(C)(C)C)C(=O)OC,kif11
102,CHEMBL1170284,P52732,IC50,=,870.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)C(F)F,kif11
103,CHEMBL1170443,P52732,Inhibition,=,3.0,%,c1ccc2c(c1)c1c([nH]2)cc(cc1)OC,kif11
104,CHEMBL1170444,P52732,IC50,=,950.0,nM,c1ccc2c(c1)c1c([nH]2)ccc(c1)C(F)(F)F,kif11
105,CHEMBL1170444,P52732,Inhibition,=,93.0,%,c1ccc2c(c1)c1c([nH]2)ccc(c1)C(F)(F)F,kif11
106,CHEMBL1170460,P52732,IC50,=,1500.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)C(C)C,kif11
107,CHEMBL1170621,P52732,IC50,=,240.0,nM,c1ccc2c(c1)c1c([nH]2)ccc(c1)C(C)(C)C,kif11
108,CHEMBL1170659,P52732,IC50,=,11000.0,nM,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C)C(F)(F)F,kif11
109,CHEMBL1170659,P52732,Inhibition,=,71.0,%,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C)C(F)(F)F,kif11
110,CHEMBL1170845,P52732,IC50,=,3200.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)OC(C)(C)C,kif11
111,CHEMBL1170901,P52732,Inhibition,<,50.0,%,c1ccc2c(c1)c1c([nH]2)cc(cc1)O,kif11
112,CHEMBL1171063,P52732,Inhibition,<,50.0,%,c1ccc2c(c1)c1c([nH]2)c(ncc1)c1cc(ccc1)O,kif11
113,CHEMBL1171078,P52732,IC50,=,11000.0,nM,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C(C)(C)C)C(=O)O,kif11
114,CHEMBL1171079,P52732,IC50,=,1400.0,nM,c1c(cc2c(c1)c1c([nH]2)cc(cc1)C(C)(C)C)C(F)(F)F,kif11
115,CHEMBL1171081,P52732,Inhibition,<,50.0,%,c1ccc2c(c1)c1c([nH]2)c(ccc1)CO,kif11
116,CHEMBL1171082,P52732,Inhibition,=,1.0,%,c1cc(c2c(c1)c1c([nH]2)ccc(c1)C(=O)OC)C,kif11
117,CHEMBL1171435,P52732,IC50,=,2800.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)CC,kif11
118,CHEMBL1171444,P52732,Inhibition,<,50.0,%,C1CCc2c(C1)c1c([nH]2)cc(cc1)C(F)(F)F,kif11
119,CHEMBL1171637,P52732,Inhibition,=,2.0,%,c1c(cc2c(c1)c1c([nH]2)cc(cc1)C)C(=O)OC,kif11
120,CHEMBL1171980,P52732,IC50,=,510.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)OC(F)(F)F,kif11
121,CHEMBL1172392,P52732,IC50,=,17000.0,nM,c1ccc2c(c1)c1c([nH]2)ccc(c1)C=O,kif11
122,CHEMBL1172393,P52732,IC50,=,14000.0,nM,c1ccc2c(c1)c1c([nH]2)c(ccc1)C(C)(C)C,kif11
123,CHEMBL1172394,P52732,IC50,=,11000.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)C(=O)OC,kif11
124,CHEMBL1172395,P52732,IC50,=,13000.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)C=O,kif11
125,CHEMBL1172721,P52732,IC50,=,7500.0,nM,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C)F,kif11
126,CHEMBL1172721,P52732,Inhibition,=,79.0,%,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C)F,kif11
127,CHEMBL1172898,P52732,Inhibition,<,50.0,%,C1CCc2c(C1=O)c1c([nH]2)cc(cc1)C(F)(F)F,kif11
128,CHEMBL1172899,P52732,IC50,=,25000.0,nM,c1ccc2c(c1)c1c([nH]2)cc2c(c1)CCCC2,kif11
129,CHEMBL1172905,P52732,IC50,=,8800.0,nM,c1(ccc2c(c1)c1c([nH]2)ccc(c1)C)C(F)(F)F,kif11
130,CHEMBL1172905,P52732,Inhibition,=,69.0,%,c1(ccc2c(c1)c1c([nH]2)ccc(c1)C)C(F)(F)F,kif11
131,CHEMBL1172906,P52732,Inhibition,=,1.0,%,c1(ccc2c(c1)c1c([nH]2)ccc(c1)C)C(=O)OC,kif11
132,CHEMBL1173064,P52732,Inhibition,=,1.0,%,c1ccc2c(c1)c1c([nH]2)ccc(c1)c1ccccc1,kif11
133,CHEMBL1173069,P52732,IC50,=,1600.0,nM,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C)C(=O)C,kif11
134,CHEMBL1173069,P52732,Inhibition,=,94.0,%,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C)C(=O)C,kif11
135,CHEMBL1173128,P52732,Inhibition,=,15.0,%,c1(ccc2c(c1)c1c([nH]2)cc(cc1)OC)C(=O)OC,kif11
136,CHEMBL1173161,P52732,Inhibition,<,50.0,%,c1ccc2c(c1)c1c([nH]2)c(ccc1)c1cc(ccc1)O,kif11
137,CHEMBL1173162,P52732,IC50,=,5600.0,nM,c1ccc2c(c1)c1c(n2C)cc(cc1)C(F)(F)F,kif11
138,CHEMBL1173167,P52732,IC50,=,390.0,nM,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C(C)(C)C)C(=O)OC,kif11
139,CHEMBL1173167,P52732,Inhibition,=,69.0,%,c1(ccc2c(c1)c1c([nH]2)cc(cc1)C(C)(C)C)C(=O)OC,kif11
140,CHEMBL1173238,P52732,Inhibition,=,39.0,%,c1ccc2c(c1C(=O)OC)c1c([nH]2)cc(cc1)C,kif11
141,CHEMBL1173621,P52732,IC50,=,1600.0,nM,c1ccc2c(c1)c1c([nH]2)c2c(cc1)CCCC2,kif11
142,CHEMBL1173622,P52732,IC50,=,4600.0,nM,c1ccc2c(c1)c1c([nH]2)c2c(cc1)cccc2,kif11
143,CHEMBL1173640,P52732,IC50,=,22000.0,nM,c1ccc2c(c1)c1c([nH]2)cc(cc1)C,kif11
