,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL101020,P06479,IC50,=,1412.54,nM,n1c2c(c([nH]c1Nc1cc(CCl)ccc1)O)ncn2,kith
1,CHEMBL101135,P04183,IC50,>,500000.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
2,CHEMBL101135,P04183,IC50,=,2200.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
3,CHEMBL101135,P04183,IC50,=,45000.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
4,CHEMBL101135,P04183,IC50,=,1500.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
5,CHEMBL101135,P04183,IC50,=,1500.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
6,CHEMBL101135,P04183,IC50,=,45000.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
7,CHEMBL101135,P04183,IC50,=,180.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
8,CHEMBL101135,P04183,IC50,=,8700.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
9,CHEMBL101135,P04183,IC50,>,50000.0,nM,C(c1ccccc1)(c1ccccc1)(c1ccccc1)OC/C=C\Cn1cc(c(=O)[nH]c1=O)C,kith
10,CHEMBL101143,P06479,IC50,=,100000.0,nM,n1c2c(c([nH]c1Nc1ccc(Cl)cc1)O)ncn2,kith
11,CHEMBL101651,P06479,IC50,=,30199.52,nM,n1c2c(c(nc1Nc1ccc(cc1)CCC)O)[nH]cn2,kith
12,CHEMBL101730,P06479,IC50,=,30199.52,nM,n1c2c(c(nc1Nc1cc(CN)ccc1)O)[nH]cn2,kith
13,CHEMBL102001,P06479,IC50,=,794.33,nM,n1c2c(c([nH]c1Nc1cc(CN=[N+]=[N-])ccc1)O)ncn2,kith
14,CHEMBL102650,P04183,IC50,>,500000.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)Cc1ccc(c2ccccc2)cc1,kith
15,CHEMBL102650,P04183,IC50,=,4100.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)Cc1ccc(c2ccccc2)cc1,kith
16,CHEMBL102650,P04183,IC50,=,119000.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)Cc1ccc(c2ccccc2)cc1,kith
17,CHEMBL102986,P04183,IC50,=,27000.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)C(c1ccccc1)c1ccccc1,kith
18,CHEMBL102986,P04183,IC50,=,115000.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)C(c1ccccc1)c1ccccc1,kith
19,CHEMBL103283,P04183,IC50,>,1000000.0,nM,[C@@H]1([C@@H](O)[C@H](O)[C@H](O1)CO)n1cc(c(=O)[nH]c1=O)C,kith
20,CHEMBL103283,P04183,Inhibition,=,22.0,%,[C@@H]1([C@@H](O)[C@H](O)[C@H](O1)CO)n1cc(c(=O)[nH]c1=O)C,kith
21,CHEMBL103283,P04183,Inhibition,=,55.1,%,[C@@H]1([C@@H](O)[C@H](O)[C@H](O1)CO)n1cc(c(=O)[nH]c1=O)C,kith
22,CHEMBL103283,P04183,Inhibition,=,5.0,%,[C@@H]1([C@@H](O)[C@H](O)[C@H](O1)CO)n1cc(c(=O)[nH]c1=O)C,kith
23,CHEMBL103283,P04183,IC50,>,1000000.0,nM,[C@@H]1([C@@H](O)[C@H](O)[C@H](O1)CO)n1cc(c(=O)[nH]c1=O)C,kith
24,CHEMBL103283,P06479,IC50,=,24000.0,nM,[C@@H]1([C@@H](O)[C@H](O)[C@H](O1)CO)n1cc(c(=O)[nH]c1=O)C,kith
25,CHEMBL103645,P06479,IC50,=,1000.0,nM,n1c2c(c([nH]c1Nc1cc(CBr)ccc1)O)ncn2,kith
26,CHEMBL103810,P06479,IC50,=,1096.48,nM,n1c2c(c([nH]c1Nc1cc(I)ccc1)O)ncn2,kith
27,CHEMBL103978,P06479,IC50,=,199526.23,nM,n1c2c(c(nc1Nc1ccc(cc1)C(C)C)O)[nH]cn2,kith
28,CHEMBL105288,P04183,IC50,=,23000.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)Cc1ccc(Cl)cc1,kith
29,CHEMBL105288,P04183,IC50,=,198000.0,nM,[nH]1c(=O)n(cc(c1=O)C)C/C=C\CNC(=O)Cc1ccc(Cl)cc1,kith
30,CHEMBL105318,P04183,Inhibition,=,62.4,%,[C@@H]1(C[C@@H](O[C@@H]1CO)n1cc(c(=O)[nH]c1=O)C)F,kith
31,CHEMBL105318,P04183,Inhibition,=,60.3,%,[C@@H]1(C[C@@H](O[C@@H]1CO)n1cc(c(=O)[nH]c1=O)C)F,kith
32,CHEMBL1089805,P04183,IC50,=,366000.0,nM,c1(cn(c(=O)[nH]c1=O)[C@@H]1O[C@@H]([C@H](C1)n1nnc(c1)CCCC)CO)C,kith
33,CHEMBL1089867,P04183,IC50,=,71000.0,nM,c1(cn(c(=O)[nH]c1=O)[C@@H]1O[C@@H]([C@H](C1)n1nnc(c1)c1ccc(cc1)Cl)CO)C,kith
34,CHEMBL1090,P04183,Km,=,1500.0,nM,OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@@H]1O,kith
35,CHEMBL1090,P04183,Relative Vmax,=,39.2,Unspecified,OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@@H]1O,kith
36,CHEMBL1090132,P04183,Activity,=,0.2,%,n1([C@H]2C[C@@H](O[C@@H]2CO)n2c(=O)[nH]c(=O)c(c2)C)nnc(c1)c1ccccc1,kith
37,CHEMBL1090132,P04183,Ratio,=,0.7,/min.mg,n1([C@H]2C[C@@H](O[C@@H]2CO)n2c(=O)[nH]c(=O)c(c2)C)nnc(c1)c1ccccc1,kith
38,CHEMBL1090132,P04183,Km,=,57000.0,nM,n1([C@H]2C[C@@H](O[C@@H]2CO)n2c(=O)[nH]c(=O)c(c2)C)nnc(c1)c1ccccc1,kith
39,CHEMBL1090132,P04183,Vmax,=,39.0,nmol/mg.min,n1([C@H]2C[C@@H](O[C@@H]2CO)n2c(=O)[nH]c(=O)c(c2)C)nnc(c1)c1ccccc1,kith
40,CHEMBL1090132,P04183,Activity,=,2.1,%,n1([C@H]2C[C@@H](O[C@@H]2CO)n2c(=O)[nH]c(=O)c(c2)C)nnc(c1)c1ccccc1,kith
