,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P06239,Residual Activity,=,32.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
1,CHEMBL10,P06239,Residual Activity,=,91.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
2,CHEMBL10,P06239,Residual Activity,=,27.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
3,CHEMBL10,P06239,Residual Activity,=,79.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
4,CHEMBL10,P06239,Ki,=,5011.87,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
5,CHEMBL10,P06239,Kd,=,2800.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
6,CHEMBL10,P06239,Inhibition,=,32.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
7,CHEMBL10,P06239,Kd,=,2800.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
8,CHEMBL10,P06239,Inhibition,=,68.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
9,CHEMBL10,P06239,Inhibition,=,55.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
10,CHEMBL10,P06239,IC50,=,3450.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
11,CHEMBL10,P06240,Activity,=,56.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,lck
12,CHEMBL100016,P06239,IC50,=,234000.0,nM,C(=C\c1cc(O)ccc1)/c1cc(O)ccc1,lck
13,CHEMBL100446,P06239,IC50,=,65000.0,nM,c1(cc(c2cc3c(cc2)c(ccc3O)O)ccc1O)C(=O)O,lck
14,CHEMBL100553,P06239,IC50,>,2030000.0,nM,C(=C\c1ccc(OCc2ccccc2)cc1)/c1cc(cc(OCc2ccccc2)c1)OCc1ccccc1,lck
15,CHEMBL100577,P06239,IC50,>,2030000.0,nM,c1(c(OCc2ccccc2)ccc(/C=C/c2ccc(OCc3ccccc3)cc2)c1)OCc1ccccc1,lck
16,CHEMBL100650,P06239,IC50,>,2030000.0,nM,C(=C\c1cc(OCc2ccccc2)ccc1)/c1cc(cc(OCc2ccccc2)c1)OCc1ccccc1,lck
17,CHEMBL100687,P06239,IC50,>,2030000.0,nM,C(=C\c1ccccc1)/c1cc(cc(OCc2ccccc2)c1)OCc1ccccc1,lck
18,CHEMBL1009,P06239,IC50,=,3729.0,nM,N[C@H](C(=O)O)Cc1ccc(c(c1)O)O,lck
19,CHEMBL100922,P06239,IC50,=,203000.0,nM,c1(c(ccc(c1)/C=C/c1ccccc1)O)O,lck
20,CHEMBL101078,P06239,IC50,=,487000.0,nM,c1c(cc(cc1O)CCc1cc(cc(c1)O)O)O,lck
21,CHEMBL101253,P06239,Ki,>,5011.87,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,lck
22,CHEMBL101253,P06239,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,lck
23,CHEMBL101253,P06239,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,lck
24,CHEMBL101311,P06239,Ki,=,199.53,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,lck
25,CHEMBL101337,P06239,IC50,>,2030000.0,nM,c1(c(OCc2ccccc2)ccc(/C=C/c2ccccc2)c1)OCc1ccccc1,lck
26,CHEMBL101506,P06239,IC50,=,193000.0,nM,c1(cc(cc(c1)/C=C/c1ccccc1)O)O,lck
27,CHEMBL101659,P06239,IC50,=,16000.0,nM,C(=C\c1cc(cc(c1)O)O)/c1cc(cc(c1)O)O,lck
28,CHEMBL101683,P06239,Residual Activity,=,49.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,lck
29,CHEMBL101683,P06239,Residual Activity,=,83.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,lck
30,CHEMBL101683,P06239,Residual Activity,=,74.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,lck
31,CHEMBL101683,P06239,Residual Activity,=,95.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,lck
32,CHEMBL101804,P06239,Inhibition,=,3.59,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,lck
33,CHEMBL101804,P06239,Inhibition,=,1.24,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,lck
34,CHEMBL101965,P06239,IC50,=,3800.0,nM,N#CCCN(CCCN(CCCN(CCCN(CCCN(CCC#N)CCC#N)CCCN(CCC#N)CCC#N)CCN)CCCN(CCC#N)CCC#N)CCC#N,lck
35,CHEMBL102336,P06239,IC50,>,200000.0,nM,c1(cc(c2cc3c(cc2)cccc3)ccc1O)C(=O)O,lck
36,CHEMBL102346,P06239,Residual Activity,=,68.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,lck
37,CHEMBL102346,P06239,Residual Activity,=,92.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,lck
38,CHEMBL102346,P06239,Residual Activity,=,59.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,lck
39,CHEMBL102346,P06239,Residual Activity,=,98.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,lck
40,CHEMBL102362,P06239,IC50,=,60.0,nM,c1(C(=O)O)c(ccc(c1)/C=C/c1c(ccc(c1)O)O)O,lck
41,CHEMBL102362,P06239,IC50,=,60.0,nM,c1(C(=O)O)c(ccc(c1)/C=C/c1c(ccc(c1)O)O)O,lck
42,CHEMBL102714,P06240,Activity,=,77.0,%,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,lck
43,CHEMBL102821,P06239,IC50,=,1000.0,nM,c1(C(=O)O)c(ccc(c1)CCc1cc(c(cc1)O)O)O,lck
44,CHEMBL102936,P06239,Inhibition,=,8.63,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,lck
45,CHEMBL102936,P06239,Inhibition,=,2.88,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,lck
46,CHEMBL103080,P06239,Inhibition,=,6.14,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,lck
47,CHEMBL103080,P06239,Inhibition,=,1.99,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,lck
48,CHEMBL103098,P06239,Inhibition,=,4.43,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,lck
49,CHEMBL103098,P06239,Inhibition,=,2.8,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,lck
50,CHEMBL103104,P06239,Inhibition,=,4.8,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,lck
51,CHEMBL103104,P06239,Inhibition,=,1.64,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,lck
52,CHEMBL103115,P06239,Inhibition,=,7.91,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,lck
53,CHEMBL103115,P06239,Inhibition,=,-0.68,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,lck
54,CHEMBL103464,P06239,IC50,=,58000.0,nM,c1(c(ccc(/C=C/c2cc(O)ccc2)c1)O)O,lck
55,CHEMBL103552,P06239,IC50,=,8000.0,nM,c1(cc(N(Cc2c(ccc(c2)O)O)Cc2c(O)cccc2)ccc1O)C(=O)O,lck
56,CHEMBL103667,P06239,IC50,=,2100.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
57,CHEMBL103667,P06239,Ki,=,1995.26,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
58,CHEMBL103667,P06239,Kd,=,1200.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
59,CHEMBL103667,P06239,IC50,=,35000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
60,CHEMBL103667,P06239,Kd,=,1200.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
61,CHEMBL103667,P06239,Inhibition,=,82.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
62,CHEMBL103667,P06239,IC50,>=,1000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
63,CHEMBL103667,P06239,Kd,=,1100.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
64,CHEMBL103667,P06239,IC50,>,20000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
65,CHEMBL103667,P06240,Activity,=,51.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,lck
66,CHEMBL103684,P06239,IC50,=,150000.0,nM,c1(cc(c2cc3cc(c(cc3cc2)O)O)ccc1O)C(=O)O,lck
67,CHEMBL103860,P06239,IC50,=,1000.0,nM,c1(C(=O)O)c(ccc(c1)CCc1c(ccc(c1)O)O)O,lck
68,CHEMBL103960,P06239,IC50,=,42000.0,nM,c1(cc(c2cc3c(c(c(cc3)O)O)cc2)ccc1O)C(=O)O,lck
69,CHEMBL104264,P06239,Inhibition,=,22.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
70,CHEMBL104264,P06239,Residual Activity,=,64.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
71,CHEMBL104264,P06239,Residual Activity,=,92.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
72,CHEMBL104264,P06239,Residual Activity,=,85.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
73,CHEMBL104264,P06239,Residual Activity,=,83.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
74,CHEMBL104264,P06239,Inhibition,=,53.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
75,CHEMBL104264,P06239,Inhibition,=,76.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
76,CHEMBL104264,P06239,Inhibition,=,52.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,lck
77,CHEMBL104279,P06239,Residual Activity,=,34.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,lck
78,CHEMBL104279,P06239,Residual Activity,=,30.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,lck
79,CHEMBL104279,P06239,Residual Activity,=,14.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,lck
80,CHEMBL104279,P06239,Residual Activity,=,20.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,lck
81,CHEMBL1044,P06239,Kd,>,50000000.0,nM,C(=O)(Cc1ccccc1)O,lck
82,CHEMBL104466,P06239,IC50,=,1400.0,nM,n1c2cc(c(cc2ncc1N[C@H]1CC[C@@H](CC1)O)OC)OC,lck
83,CHEMBL104468,P06239,Residual Activity,=,88.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,lck
84,CHEMBL104468,P06239,Residual Activity,=,89.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,lck
85,CHEMBL104468,P06239,Residual Activity,=,101.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,lck
86,CHEMBL104468,P06239,Residual Activity,=,118.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,lck
87,CHEMBL1045,P06239,Kd,=,1700000.0,nM,OC(=O)c1c(C(=O)O)cccc1,lck
88,CHEMBL104718,P06239,Inhibition,=,86.0,%,N1[C@@H]2[C@H](C[C@@H]([C@@H]1C)OC(=O)/C=C/CCCCC)[C@@H](CCC2)CCCCC(O)CCC,lck
89,CHEMBL105442,P06239,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,lck
90,CHEMBL105442,P06239,Inhibition,=,99.0,%,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,lck
91,CHEMBL105442,P06240,Activity,=,85.0,%,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,lck
92,CHEMBL106213,P06239,IC50,=,3.0,nM,c12n(c3c(nc1Nc1c(Cl)cccc1C)cc(c(c3)OC)NCCN(C)C)c(nc2)C,lck
93,CHEMBL106304,P06239,IC50,=,70.0,nM,n12c(c(nc3c1c(N)ccc3)Nc1c(cccc1C)C)cnc2,lck
94,CHEMBL106304,P06239,IC50,=,70.0,nM,n12c(c(nc3c1c(N)ccc3)Nc1c(cccc1C)C)cnc2,lck
95,CHEMBL106378,P06239,IC50,=,9.4,nM,n12c(c(nc3c1c(OC)ccc3)Nc1c(Cl)cccc1C)cnc2,lck
96,CHEMBL106378,P06239,IC50,=,9.4,nM,n12c(c(nc3c1c(OC)ccc3)Nc1c(Cl)cccc1C)cnc2,lck
97,CHEMBL106457,P06239,IC50,=,2.4,nM,c12c(nc3c(n1cnc2)cc(c(c3)OCCN1CCOCC1)OC)Nc1c(Cl)cccc1C,lck
98,CHEMBL106457,P06239,IC50,=,2.4,nM,c12c(nc3c(n1cnc2)cc(c(c3)OCCN1CCOCC1)OC)Nc1c(Cl)cccc1C,lck
99,CHEMBL106482,P06239,IC50,=,10.0,nM,c12c(nc3c(n1cnc2)cc(NCC)cc3)Nc1c(Cl)cccc1C,lck
100,CHEMBL106482,P06239,IC50,=,10.0,nM,c12c(nc3c(n1cnc2)cc(NCC)cc3)Nc1c(Cl)cccc1C,lck
101,CHEMBL106654,P06239,IC50,=,7.0,nM,c12c(nc3c(n1cnc2)cc(NCCN1CCOCC1)cc3)Nc1c(Cl)cccc1C,lck
102,CHEMBL106654,P06239,IC50,=,7.0,nM,c12c(nc3c(n1cnc2)cc(NCCN1CCOCC1)cc3)Nc1c(Cl)cccc1C,lck
103,CHEMBL106772,P06239,IC50,<,5.0,nM,n1(c2nc(ncc2cc(c1=O)c1c(Cl)cccc1Cl)Nc1ccc(N2CCOCC2)cc1)C,lck
104,CHEMBL106822,P06239,IC50,=,11.0,nM,c12c(nc3c(n1cnc2)ccc(c3)N1CCNCC1)Nc1c(Cl)cccc1C,lck
105,CHEMBL106822,P06239,IC50,=,11.0,nM,c12c(nc3c(n1cnc2)ccc(c3)N1CCNCC1)Nc1c(Cl)cccc1C,lck
106,CHEMBL107048,P06239,IC50,=,2.0,nM,c12c(nc3c(n1cnc2)cc(N1CCN(CC1)CC)cc3)Nc1c(Cl)cccc1C,lck
107,CHEMBL107048,P06239,IC50,=,2.0,nM,c12c(nc3c(n1cnc2)cc(N1CCN(CC1)CC)cc3)Nc1c(Cl)cccc1C,lck
108,CHEMBL107183,P06239,IC50,=,240.0,nM,n12c(c(nc3c1c(OCc1ccccc1)ccc3)Nc1c(Cl)cccc1C)cnc2,lck
109,CHEMBL107183,P06239,IC50,=,240.0,nM,n12c(c(nc3c1c(OCc1ccccc1)ccc3)Nc1c(Cl)cccc1C)cnc2,lck
110,CHEMBL1075628,P06239,IC50,=,18.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)NC(=O)c1nn(c(c1)CN1CCN(CC1)C)C(C)(C)C)N,lck
111,CHEMBL1075628,P06239,IC50,=,8.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)NC(=O)c1nn(c(c1)CN1CCN(CC1)C)C(C)(C)C)N,lck
112,CHEMBL1076193,P06239,IC50,=,14.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(cc(c1)n1cc(nc1)C)C(F)(F)F)N,lck
113,CHEMBL1076193,P06239,IC50,=,238.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(cc(c1)n1cc(nc1)C)C(F)(F)F)N,lck
114,CHEMBL1076194,P06239,IC50,=,531.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCCCN(C)C,lck
115,CHEMBL1076194,P06239,IC50,=,22.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCCCN(C)C,lck
116,CHEMBL1076195,P06239,IC50,=,406.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCCCN(CC)CC,lck
117,CHEMBL1076195,P06239,IC50,=,20.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCCCN(CC)CC,lck
118,CHEMBL1076196,P06239,IC50,=,762.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCN1CCN(CC1)C,lck
119,CHEMBL1076196,P06239,IC50,=,38.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCN1CCN(CC1)C,lck
120,CHEMBL1076197,P06239,IC50,=,337.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCCN1CCN(CC1)C,lck
121,CHEMBL1076197,P06239,IC50,=,19.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C)NCCCN1CCN(CC1)C,lck
122,CHEMBL1076198,P06239,IC50,=,38.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCCCN(C)C,lck
123,CHEMBL1076198,P06239,IC50,=,15.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCCCN(C)C,lck
124,CHEMBL1076199,P06239,IC50,=,52.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCCCN(CC)CC,lck
125,CHEMBL1076199,P06239,IC50,=,18.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCCCN(CC)CC,lck
126,CHEMBL1076200,P06239,IC50,=,45.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCN1CCN(CC1)C,lck
127,CHEMBL1076200,P06239,IC50,=,11.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCN1CCN(CC1)C,lck
128,CHEMBL1076201,P06239,IC50,=,23.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCCN1CCN(CC1)C,lck
129,CHEMBL1076201,P06239,IC50,=,18.0,nM,n1c(cc(nc1)n1c(nc2c1cccc2)Nc1cc(ccc1C)C(=O)Nc1cc(ccc1)C(F)(F)F)NCCCN1CCN(CC1)C,lck
