,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL105816,P09960,Inhibition,=,42.0,%,s1c(cc(c1)CCCc1ccccc1)CCCCCCC(=O)O,lkha4
1,CHEMBL106054,P09960,Inhibition,=,100.0,%,s1c(cc(c1)CCCCCCC(=O)O)CCCc1ccccc1,lkha4
2,CHEMBL106055,P09960,Inhibition,=,49.0,%,s1c(cc(c1)CCCCCCC(=O)O)CCc1ccccc1,lkha4
3,CHEMBL106240,P09960,Inhibition,=,73.0,%,C(=O)(O)CCCCCCc1ccc(Cc2ccc(Cl)cc2)cc1,lkha4
4,CHEMBL106240,P30349,Inhibition,=,22.0,%,C(=O)(O)CCCCCCc1ccc(Cc2ccc(Cl)cc2)cc1,lkha4
5,CHEMBL106240,P30349,Inhibition,=,7.0,%,C(=O)(O)CCCCCCc1ccc(Cc2ccc(Cl)cc2)cc1,lkha4
6,CHEMBL106680,P09960,Inhibition,=,76.0,%,C(=O)(O)CCCCCCc1ccc(Cc2ncccc2)cc1,lkha4
7,CHEMBL107760,P09960,Inhibition,=,24.0,%,c1(c(ccs1)CCCCCCC(=O)O)CCCc1ccc(Cl)cc1,lkha4
8,CHEMBL107781,P09960,Inhibition,=,100.0,%,s1c(cc(c1)CCCCCCC(=O)O)CCCc1ccc(cc1)O,lkha4
9,CHEMBL108609,P09960,Inhibition,=,82.0,%,C(=O)(O)CCCCCSc1ccc(Cc2ccccc2)cc1,lkha4
10,CHEMBL108798,P09960,Inhibition,=,70.0,%,s1cc(cc1CCCCCCC(=O)O)Cc1ccccc1,lkha4
11,CHEMBL108811,P09960,Inhibition,=,76.0,%,C(=O)(O)CCCCCCc1ccc(cc1)CCCc1ccccc1,lkha4
12,CHEMBL108811,P30349,Inhibition,=,15.0,%,C(=O)(O)CCCCCCc1ccc(cc1)CCCc1ccccc1,lkha4
13,CHEMBL108825,P09960,Inhibition,=,51.0,%,s1c(ccc1CCCCCCC(=O)O)Cc1ccccc1,lkha4
14,CHEMBL108934,P09960,Inhibition,=,49.0,%,s1c(cc(c1)CCCCCc1ccccc1)CCCCCCC(=O)O,lkha4
15,CHEMBL108951,P09960,Inhibition,=,79.0,%,c1(sc(cc1)CCCc1ccccc1)SCCCCCC(=O)O,lkha4
16,CHEMBL108951,P30349,Inhibition,=,4.0,%,c1(sc(cc1)CCCc1ccccc1)SCCCCCC(=O)O,lkha4
17,CHEMBL108951,P30349,Inhibition,=,19.0,%,c1(sc(cc1)CCCc1ccccc1)SCCCCCC(=O)O,lkha4
18,CHEMBL108951,P30349,Inhibition,=,19.0,%,c1(sc(cc1)CCCc1ccccc1)SCCCCCC(=O)O,lkha4
19,CHEMBL108983,P09960,Inhibition,=,25.0,%,c1(cc(sc1)CCCCCCC(=O)O)c1ccccc1,lkha4
20,CHEMBL108989,P09960,Inhibition,=,85.0,%,n1c2c(cc(c1)Cc1ccc(cc1)CCCCCCC(=O)O)cccc2,lkha4
21,CHEMBL108989,P30349,Inhibition,=,27.0,%,n1c2c(cc(c1)Cc1ccc(cc1)CCCCCCC(=O)O)cccc2,lkha4
22,CHEMBL108989,P30349,Inhibition,=,19.0,%,n1c2c(cc(c1)Cc1ccc(cc1)CCCCCCC(=O)O)cccc2,lkha4
23,CHEMBL108989,P30349,Inhibition,=,27.0,%,n1c2c(cc(c1)Cc1ccc(cc1)CCCCCCC(=O)O)cccc2,lkha4
24,CHEMBL109001,P09960,Inhibition,=,74.0,%,C(=O)(O)CCCCCSc1ccc(cc1)CCCc1ccccc1,lkha4
25,CHEMBL109001,P30349,Inhibition,=,20.0,%,C(=O)(O)CCCCCSc1ccc(cc1)CCCc1ccccc1,lkha4
26,CHEMBL109001,P30349,Inhibition,=,12.0,%,C(=O)(O)CCCCCSc1ccc(cc1)CCCc1ccccc1,lkha4
27,CHEMBL109015,P09960,Inhibition,=,73.0,%,s1c(cc(c1)CCCCCCC(=O)O)CCCc1ccc(Cl)cc1,lkha4
