,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P49137,Residual Activity,=,133.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
1,CHEMBL10,P49137,Residual Activity,=,104.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
2,CHEMBL10,P49137,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
3,CHEMBL10,P49137,Activity,=,84.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
4,CHEMBL10,P49137,Ki,>,7943.28,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
5,CHEMBL10,P49137,Inhibition,=,15.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
6,CHEMBL10,P49137,Inhibition,=,93.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
7,CHEMBL10,P49137,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mapk2
8,CHEMBL100818,P49137,IC50,=,3800.0,nM,c12c(c3c(s1)ccc(c3)OC)NC[C@@H](NC2=O)C,mapk2
9,CHEMBL100818,P49137,IC50,=,300.0,nM,c12c(c3c(s1)ccc(c3)OC)NC[C@@H](NC2=O)C,mapk2
10,CHEMBL101253,P49137,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mapk2
11,CHEMBL101253,P49137,Ki,>,7943.28,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mapk2
12,CHEMBL101253,P49137,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mapk2
13,CHEMBL101683,P49137,Residual Activity,=,114.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,mapk2
14,CHEMBL101683,P49137,Residual Activity,=,81.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,mapk2
15,CHEMBL101804,P49137,Inhibition,=,3.08,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,mapk2
16,CHEMBL101804,P49137,Inhibition,=,2.89,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,mapk2
17,CHEMBL102346,P49137,Residual Activity,=,110.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,mapk2
18,CHEMBL102346,P49137,Residual Activity,=,99.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,mapk2
19,CHEMBL102714,P49137,Activity,=,82.0,%,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,mapk2
20,CHEMBL102936,P49137,Inhibition,=,1.53,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,mapk2
21,CHEMBL102936,P49137,Inhibition,=,1.14,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,mapk2
22,CHEMBL103080,P49137,Inhibition,=,0.07,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,mapk2
23,CHEMBL103080,P49137,Inhibition,=,0.38,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,mapk2
24,CHEMBL103098,P49137,Inhibition,=,1.09,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,mapk2
25,CHEMBL103098,P49137,Inhibition,=,0.96,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,mapk2
26,CHEMBL103104,P49137,Inhibition,=,1.88,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,mapk2
27,CHEMBL103104,P49137,Inhibition,=,2.79,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,mapk2
28,CHEMBL103115,P49137,Inhibition,=,-1.97,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,mapk2
29,CHEMBL103115,P49137,Inhibition,=,-1.79,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,mapk2
30,CHEMBL103667,P49137,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mapk2
31,CHEMBL103667,P49137,Activity,=,105.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mapk2
32,CHEMBL103667,P49137,IC50,>,30000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mapk2
33,CHEMBL103667,P49137,Ki,>,7943.28,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mapk2
34,CHEMBL103667,P49137,Inhibition,=,28.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mapk2
35,CHEMBL103667,P49137,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mapk2
36,CHEMBL104264,P49137,Inhibition,=,46.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mapk2
37,CHEMBL104264,P49137,Residual Activity,=,91.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mapk2
38,CHEMBL104264,P49137,Residual Activity,=,105.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mapk2
39,CHEMBL104264,P49137,Inhibition,=,41.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mapk2
40,CHEMBL104264,P49137,Inhibition,=,99.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mapk2
41,CHEMBL104264,P49137,Inhibition,=,47.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mapk2
42,CHEMBL104279,P49137,Residual Activity,=,71.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,mapk2
43,CHEMBL104279,P49137,Residual Activity,=,83.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,mapk2
44,CHEMBL104468,P49137,Residual Activity,=,87.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,mapk2
45,CHEMBL104468,P49137,Residual Activity,=,100.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,mapk2
46,CHEMBL105442,P49137,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,mapk2
47,CHEMBL105442,P49137,Inhibition,=,98.0,%,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,mapk2
48,CHEMBL105442,P49137,Activity,=,81.0,%,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,mapk2
49,CHEMBL1076555,P49137,Residual Activity,=,71.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,mapk2
50,CHEMBL1076555,P49137,Residual Activity,=,108.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,mapk2
51,CHEMBL1076555,P49137,Ki,=,7943.28,nM,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,mapk2
