,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL101907,P08235,Efficacy,<,20.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,mcr
1,CHEMBL101907,P08235,IC50,>,10000.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,mcr
2,CHEMBL101914,P08235,Efficacy,=,90.0,%,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,mcr
3,CHEMBL101914,P08235,IC50,=,354.0,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,mcr
4,CHEMBL102403,P08235,Efficacy,=,70.0,%,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,mcr
5,CHEMBL102403,P08235,IC50,=,1592.0,nM,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,mcr
6,CHEMBL102541,P08235,Efficacy,<,20.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,mcr
7,CHEMBL102541,P08235,IC50,>,10000.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,mcr
8,CHEMBL102720,P08235,Efficacy,=,58.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,mcr
9,CHEMBL102720,P08235,IC50,=,2035.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,mcr
10,CHEMBL102754,P08235,Efficacy,=,70.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)F,mcr
11,CHEMBL102754,P08235,IC50,=,1358.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)F,mcr
12,CHEMBL103,P08235,Efficacy,=,83.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
13,CHEMBL103,P08235,Efficacy,=,83.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
14,CHEMBL103,P08235,Efficacy,=,83.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
15,CHEMBL103,P08235,Efficacy,=,83.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
16,CHEMBL103,P08235,Efficacy,=,83.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
17,CHEMBL103,P08235,Kd,=,0.39,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
18,CHEMBL103,P08235,IC50,>,14.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
19,CHEMBL103,P08235,IC50,=,14.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
20,CHEMBL103,P08235,IC50,=,14.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
21,CHEMBL103,P08235,IC50,=,14.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
22,CHEMBL103,P08235,IC50,=,30.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
23,CHEMBL103,P08235,IC50,=,14.0,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
24,CHEMBL103,P22199,RBA,=,22.0,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
25,CHEMBL103,P22199,RBA,=,8.0,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,mcr
26,CHEMBL103092,P08235,Efficacy,=,56.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)C)F,mcr
27,CHEMBL103092,P08235,IC50,=,1000.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)C)F,mcr
28,CHEMBL103232,P08235,Efficacy,=,76.0,%,c12c(c3c(OC1c1ccc(cc1)Br)cccc3)ccc1c2C(=CC(N1)(C)C)C,mcr
29,CHEMBL103232,P08235,IC50,=,977.0,nM,c12c(c3c(OC1c1ccc(cc1)Br)cccc3)ccc1c2C(=CC(N1)(C)C)C,mcr
30,CHEMBL1074,P08235,Relative binding affinity,=,0.6,Unspecified,C12(C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC[C@]1(C#C)O)CC,mcr
31,CHEMBL1076438,P08235,Activity,=,82.0,%,c1ccc2c(c1)c1c([nH]2)[C@]2([C@H](C1)CC[C@@]1([C@@]2(CC[C@H](C1(C)C)O)C)O)C,mcr
32,CHEMBL1076438,P08235,IC50,>,3000000.0,nM,c1ccc2c(c1)c1c([nH]2)[C@]2([C@H](C1)CC[C@@]1([C@@]2(CC[C@H](C1(C)C)O)C)O)C,mcr
33,CHEMBL1083754,P08235,IC50,>,10000.0,nM,c1c(ccc(c1)Oc1c(cn(c1C1CC1)CC(=O)NC)C1CC1)C#N,mcr
34,CHEMBL1084770,P08235,IC50,>,5000.0,nM,c1c(ccc(c1)Oc1c(cn(c1CC)CCO)CC)C#N,mcr
35,CHEMBL1087512,P08235,Activity,=,47.0,%,c1ccc2c(c1)c1c([nH]2)[C@]2([C@H](C1)CC[C@@]1([C@@]2(CCC(=O)C1(C)C)C)O)C,mcr
36,CHEMBL1087512,P08235,IC50,>,10000000.0,nM,c1ccc2c(c1)c1c([nH]2)[C@]2([C@H](C1)CC[C@@]1([C@@]2(CCC(=O)C1(C)C)C)O)C,mcr
37,CHEMBL1089350,P08235,EC50,>,10000.0,nM,n1cc(c(c2c1n(nc2CC)C)Cl)C(=O)NCC1Cc2c(C1)cccc2,mcr
38,CHEMBL1089350,P08235,IC50,>,10000.0,nM,n1cc(c(c2c1n(nc2CC)C)Cl)C(=O)NCC1Cc2c(C1)cccc2,mcr
39,CHEMBL1089743,P08235,EC50,>,10000.0,nM,n1cc(c(c2c1n(nc2C)C)Cl)C(=O)NCc1ccccc1c1cc(ccc1)OC,mcr
40,CHEMBL1089743,P08235,IC50,>,10000.0,nM,n1cc(c(c2c1n(nc2C)C)Cl)C(=O)NCc1ccccc1c1cc(ccc1)OC,mcr
41,CHEMBL1091,P22199,RBA,=,11.0,Unspecified,C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(=O)COC(=O)C)O)C)C,mcr
42,CHEMBL1093602,P08235,EC50,>,10000.0,nM,n1cc(c(c2c1n(nc2)CC)Cl)C(=O)NCc1ccc(cc1C)C,mcr
43,CHEMBL1093602,P08235,IC50,>,19952.62,nM,n1cc(c(c2c1n(nc2)CC)Cl)C(=O)NCc1ccc(cc1C)C,mcr
44,CHEMBL1093774,P08235,EC50,>,19952.62,nM,n1cc(c(c2c1n(nc2C)C)Cl)C(=O)NCc1ccc(cc1)c1c(noc1C)C,mcr
45,CHEMBL1093774,P08235,IC50,>,19952.62,nM,n1cc(c(c2c1n(nc2C)C)Cl)C(=O)NCc1ccc(cc1)c1c(noc1C)C,mcr
46,CHEMBL1094113,P08235,IC50,=,536.0,nM,c1(cc(ccc1)[C@@H]1C(=C(NC(=C1C(=O)OC)C)C)C(=O)OC(C)(C)C)[N+](=O)[O-],mcr
47,CHEMBL1094114,P08235,IC50,=,59.0,nM,c1cc(c(cc1F)Cl)C1C(=C(NC(=C1C#N)C)C)C(=O)OC(C)(C)C,mcr
48,CHEMBL1094114,P08235,IC50,=,59.0,nM,c1cc(c(cc1F)Cl)C1C(=C(NC(=C1C#N)C)C)C(=O)OC(C)(C)C,mcr
49,CHEMBL1094169,P08235,IC50,=,41.0,nM,c1cc(c(cc1F)Cl)[C@H]1C(=C(NC(=C1C#N)C)CCl)C(=O)OC,mcr
50,CHEMBL1094796,P08235,IC50,=,3280.0,nM,c1cc([C@@H]2C(=C(NC(=C2C#N)C)CCC)C(=O)OCC)c2c(n1)cccc2,mcr
51,CHEMBL1094797,P08235,IC50,=,10.0,nM,c1cc([C@H]2C(=C(NC(=C2C#N)C)CCC)C(=O)OCC)c2c(n1)cccc2,mcr
52,CHEMBL1094798,P08235,IC50,=,340.0,nM,c1cc([C@H]2C(=C(NC(=C2C#N)C)CCl)C(=O)OC)c2c(n1)cccc2,mcr
53,CHEMBL1094801,P08235,IC50,=,2200.0,nM,c1cc(c(cc1F)Cl)[C@@H]1C(=C(NC(=C1C#N)C)CCl)C(=O)OC,mcr
54,CHEMBL1095097,P08235,Activity,=,5.0,%,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
55,CHEMBL1095097,P08235,IC50,=,1300.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
56,CHEMBL1095097,P08235,IC50,=,2600.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
57,CHEMBL1095097,P08235,IC50,=,122.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
58,CHEMBL1095097,P08235,IC50,=,244.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
59,CHEMBL1095097,P08235,IC50,=,240.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
60,CHEMBL1095097,P08235,IC50,=,2600.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
61,CHEMBL1095097,P08235,IC50,=,1300.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
62,CHEMBL1095097,P08235,IC50,=,122.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
63,CHEMBL1095097,P08235,IC50,=,122.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
64,CHEMBL1095097,P08235,IC50,=,135.0,nM,[C@@]12(OC(=O)CC1)[C@]1(C[C@@H]3[C@@]4([C@]5(CCC(=O)C=C5C[C@@H](C(=O)OC)[C@H]4[C@@H]1CC2)C)O3)C,mcr
65,CHEMBL1095098,P08235,IC50,=,126.0,nM,c1(cc(ccc1)C1C(=C(NC(=C1C(=O)OC)C)C)C(=O)OC(C)(C)C)[N+](=O)[O-],mcr
66,CHEMBL1095098,P08235,IC50,=,126.0,nM,c1(cc(ccc1)C1C(=C(NC(=C1C(=O)OC)C)C)C(=O)OC(C)(C)C)[N+](=O)[O-],mcr
67,CHEMBL1096306,P08235,IC50,=,2800.0,nM,c1cc([C@@H]2C(=C(NC(=C2C#N)C)CCl)C(=O)OC)c2c(n1)cccc2,mcr
68,CHEMBL1097750,P08235,IC50,=,3520.0,nM,c1cc(c(cc1F)Cl)[C@@H]1C(=C(NC(=C1C#N)C)C)C(=O)OC(C)(C)C,mcr
69,CHEMBL1097751,P08235,IC50,=,3.7,nM,c1cc(c(cc1F)Cl)[C@H]1C(=C(NC(=C1C#N)C)C)C(=O)OC(C)(C)C,mcr
70,CHEMBL1097752,P08235,IC50,=,469.0,nM,c1cc([C@@H]2C(=C(NC(=C2C#N)C)C)C(=O)OC)c2c(n1)cccc2,mcr
71,CHEMBL1097753,P08235,IC50,=,77.0,nM,c1cc([C@H]2C(=C(NC(=C2C#N)C)C)C(=O)OC)c2c(n1)cccc2,mcr
72,CHEMBL1098089,P08235,IC50,=,31.0,nM,c1cc(C2C(=C(NC(=C2C#N)C)CCC)C(=O)OCC)c2c(n1)cccc2,mcr
73,CHEMBL1099083,P08235,IC50,=,46.0,nM,c1(cc(ccc1)[C@H]1C(=C(NC(=C1C(=O)OC)C)C)C(=O)OC(C)(C)C)[N+](=O)[O-],mcr
74,CHEMBL110739,P22199,Relative activity,=,0.14,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)[C@H](C[C@]1([C@H]3CC[C@@H]1C(=O)CO)C)O,mcr
75,CHEMBL110739,P22199,RBA,=,18.0,Unspecified,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)[C@H](C[C@]1([C@H]3CC[C@@H]1C(=O)CO)C)O,mcr
76,CHEMBL110739,P22199,RBA,=,14.0,%,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)[C@H](C[C@]1([C@H]3CC[C@@H]1C(=O)CO)C)O,mcr
77,CHEMBL111861,P22199,RBA,=,0.8,Unspecified,[C@]12([C@@](C(=O)CO)(CC[C@H]1[C@H]1[C@@H]([C@@]3(C(=C[C@@H](CC3)O)CC1)C)C(=O)C2)O)C,mcr
78,CHEMBL115904,P08235,Efficacy,=,94.0,%,c12C(=CC(Nc1ccc(c2)c1cc(C#N)ccc1)(C)C)C,mcr
79,CHEMBL115904,P08235,Potency,>,1000.0,nM,c12C(=CC(Nc1ccc(c2)c1cc(C#N)ccc1)(C)C)C,mcr
80,CHEMBL1162,P08235,Relative binding affinity,=,0.2,Unspecified,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,mcr
81,CHEMBL1162,P22199,RBA,=,0.2,Unspecified,O=C1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)C#C)C,mcr
82,CHEMBL1163598,P08235,IC50,>,10000.0,nM,c1c(ccc(c1)C(=O)CC(Nc1ccc(cc1)[N+](=O)[O-])c1cc(ccc1)F)C,mcr
83,CHEMBL1163598,P08235,Efficacy,<,20.0,%,c1c(ccc(c1)C(=O)CC(Nc1ccc(cc1)[N+](=O)[O-])c1cc(ccc1)F)C,mcr
84,CHEMBL1163598,P08235,Efficacy,<,20.0,%,c1c(ccc(c1)C(=O)CC(Nc1ccc(cc1)[N+](=O)[O-])c1cc(ccc1)F)C,mcr
85,CHEMBL1163598,P08235,EC50,>,10000.0,nM,c1c(ccc(c1)C(=O)CC(Nc1ccc(cc1)[N+](=O)[O-])c1cc(ccc1)F)C,mcr
86,CHEMBL1163598,P08235,Ki,>,10000.0,nM,c1c(ccc(c1)C(=O)CC(Nc1ccc(cc1)[N+](=O)[O-])c1cc(ccc1)F)C,mcr
87,CHEMBL117465,P08235,IC50,>,1000.0,nM,c12C(=CC(Nc1ccc(c2)c1cc(C#N)cc(c1)F)(C)C)C,mcr
88,CHEMBL117465,P08235,Efficacy,=,80.0,%,c12C(=CC(Nc1ccc(c2)c1cc(C#N)cc(c1)F)(C)C)C,mcr
89,CHEMBL117465,P08235,Efficacy,=,80.0,%,c12C(=CC(Nc1ccc(c2)c1cc(C#N)cc(c1)F)(C)C)C,mcr
90,CHEMBL117465,P08235,Potency,>,1000.0,nM,c12C(=CC(Nc1ccc(c2)c1cc(C#N)cc(c1)F)(C)C)C,mcr
91,CHEMBL1209109,P08235,EC50,>,10000.0,nM,o1c(c(c(n1)c1c(cccc1Cl)Cl)COc1nc(c(N(Cc2ccc(cc2)C(=O)O)C)cc1)C(F)(F)F)C(C)C,mcr
92,CHEMBL1209170,P08235,EC50,>,10000.0,nM,o1c(c(c(n1)c1c(cccc1Cl)Cl)COc1nc(c(N(Cc2cc(ccc2)C(=O)O)C)cc1)C(F)(F)F)C1CC1,mcr
93,CHEMBL1209173,P08235,EC50,>,10000.0,nM,o1c(c(c(n1)c1c(cccc1Cl)Cl)COc1nc(c(N(Cc2ccc(cc2)C(=O)O)C)cc1)C(F)(F)F)C1CC1,mcr
94,CHEMBL1214685,P08235,IC50,=,101.0,nM,N1(N=C(C[C@@H]1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1ccc(C#N)cc1,mcr
95,CHEMBL1214686,P08235,IC50,=,8360.0,nM,N1(N=C(C[C@H]1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1ccc(C#N)cc1,mcr
96,CHEMBL1214687,P08235,IC50,=,9730.0,nM,N1=C(CC(N1c1ccccc1)c1ccc(cc1)F)c1ccc(C(=O)O)cc1,mcr
97,CHEMBL1214688,P08235,IC50,=,180.0,nM,N1(N=C(CC1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1ccc(C(=O)OCC)cc1,mcr
98,CHEMBL1214764,P08235,IC50,>,10000.0,nM,N1(N=C(CC1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1ccc(C(=O)O)cc1,mcr
99,CHEMBL1214765,P08235,IC50,=,1440.0,nM,N1(N=C(CC1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1ccc(cc1)OC,mcr
100,CHEMBL1214766,P08235,IC50,=,243.0,nM,N1(N=C(CC1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1cc(c(C#N)cc1)F,mcr
101,CHEMBL1214767,P08235,IC50,=,535.0,nM,N1(N=C(CC1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1c(cc(C#N)cc1)F,mcr
102,CHEMBL1214838,P08235,IC50,=,56.0,nM,N1(N=C(CC1c1ccc(cc1)F)c1ccc(C(=O)O)cc1)c1cc(c(C#N)cc1)Cl,mcr
