,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P08581,Residual Activity,=,68.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
1,CHEMBL10,P08581,Residual Activity,=,123.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
2,CHEMBL10,P08581,Ki,>,2511.89,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
3,CHEMBL10,P08581,Kd,=,7900.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
4,CHEMBL10,P08581,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
5,CHEMBL10,P08581,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
6,CHEMBL10,P08581,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,met
7,CHEMBL101253,P08581,Ki,>,2511.89,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,met
8,CHEMBL101253,P08581,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,met
9,CHEMBL101253,P08581,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,met
10,CHEMBL101253,P08581,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,met
11,CHEMBL101253,P08581,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,met
12,CHEMBL101253,P08581,IC50,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,met
13,CHEMBL101311,P08581,Ki,>,2511.89,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,met
14,CHEMBL101683,P08581,Residual Activity,=,91.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,met
15,CHEMBL101683,P08581,Residual Activity,=,91.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,met
16,CHEMBL101683,P08581,IC50,>,10000.0,nM,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,met
17,CHEMBL101804,P08581,Inhibition,=,5.26,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,met
18,CHEMBL101804,P08581,Inhibition,=,4.66,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,met
19,CHEMBL102346,P08581,Residual Activity,=,129.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,met
20,CHEMBL102346,P08581,Residual Activity,=,114.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,met
21,CHEMBL102936,P08581,Inhibition,=,-3.22,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,met
