,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P53779,Residual Activity,=,1.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
1,CHEMBL10,P53779,Residual Activity,=,20.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
2,CHEMBL10,P53779,Activity,=,72.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
3,CHEMBL10,P53779,Ki,=,25.12,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
4,CHEMBL10,P53779,Kd,=,45.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
5,CHEMBL10,P53779,Kd,=,35.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
6,CHEMBL10,P53779,Kd,=,35.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
7,CHEMBL10,P53779,IC50,=,290.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
8,CHEMBL10,P53779,Inhibition,=,86.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
9,CHEMBL10,P53779,Ki,=,90.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
10,CHEMBL10,P53779,IC50,=,790.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mk10
11,CHEMBL101253,P53779,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mk10
12,CHEMBL101253,P53779,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mk10
13,CHEMBL101683,P53779,Residual Activity,=,123.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,mk10
14,CHEMBL101683,P53779,Residual Activity,=,72.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,mk10
15,CHEMBL102346,P53779,Residual Activity,=,89.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,mk10
16,CHEMBL102346,P53779,Residual Activity,=,85.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,mk10
17,CHEMBL102714,P53779,Activity,=,88.0,%,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,mk10
18,CHEMBL103667,P53779,IC50,=,1400.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
19,CHEMBL103667,P53779,Activity,=,69.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
20,CHEMBL103667,P53779,Kd,=,62.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
21,CHEMBL103667,P53779,IC50,=,1400.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
22,CHEMBL103667,P53779,Ki,=,39.81,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
23,CHEMBL103667,P53779,Kd,=,62.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
24,CHEMBL103667,P53779,Kd,=,110.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
25,CHEMBL103667,P53779,Kd,=,110.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
26,CHEMBL103667,P53779,Inhibition,=,9.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
27,CHEMBL103667,P53779,IC50,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,mk10
28,CHEMBL104264,P53779,Residual Activity,=,89.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mk10
29,CHEMBL104264,P53779,Residual Activity,=,126.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,mk10
30,CHEMBL104279,P53779,Residual Activity,=,40.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,mk10
31,CHEMBL104279,P53779,Residual Activity,=,58.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,mk10
32,CHEMBL104468,P53779,Residual Activity,=,70.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,mk10
33,CHEMBL104468,P53779,Residual Activity,=,98.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,mk10
34,CHEMBL105442,P53779,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,mk10
35,CHEMBL105442,P53779,Activity,=,108.0,%,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,mk10
36,CHEMBL1076555,P53779,Residual Activity,=,115.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,mk10
37,CHEMBL1076555,P53779,Residual Activity,=,108.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,mk10
38,CHEMBL1076721,P53779,Ki,>,4000.0,nM,N1=C(/C(=N/Nc2cnccc2)/C(=O)N1)c1ccc(cc1)OC,mk10
39,CHEMBL1077116,P53779,IC50,=,12589.25,nM,c1(c(cc2c(c1)CCN=C2c1cccc(c1)Cl)OC)Cl,mk10
40,CHEMBL1077118,P53779,IC50,=,10000.0,nM,c1(c(cc2c(c1)CCN=C2c1cccc(c1)Cl)OC)OC,mk10
41,CHEMBL1077129,P53779,IC50,=,630.96,nM,c1(c(cc2c(c1)CCN=C2c1cccc(c1F)Cl)Cl)OC,mk10
42,CHEMBL1077132,P53779,IC50,=,6309.57,nM,c1(c(cc2c(c1)CCN=C2c1ccccc1)Cl)OC,mk10
43,CHEMBL1077137,P53779,IC50,=,10000.0,nM,c1(c(cc2c(c1)CCN=C2c1cccc(c1)Br)OC)Cl,mk10
44,CHEMBL1077604,P53779,Activity,=,87.0,%,c1c(c2c(oc(cc2=O)C)c(c1O)[C@@H]1[C@@H](CN(CC1)C)O)O,mk10
