,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100081,P45452,IC50,=,56.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1C)Cc1ccc(cc1)OCCN1CCCCC1)c1ccc(cc1)OC,mmp13
1,CHEMBL100100,P45452,IC50,=,7.943,nM,S(=O)(=O)(c1c2c(c(N(C)C)ccc2)ccc1)N(C[C@@H]([C@H](C(=O)N1CCCCC1)CC1CCCC1)C(=O)NO)C,mmp13
2,CHEMBL100100,P45452,IC50,=,8.0,nM,S(=O)(=O)(c1c2c(c(N(C)C)ccc2)ccc1)N(C[C@@H]([C@H](C(=O)N1CCCCC1)CC1CCCC1)C(=O)NO)C,mmp13
3,CHEMBL100134,P45452,IC50,=,7.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1C)Br)CC#CCN(CC)CC)c1ccc(cc1)OC,mmp13
4,CHEMBL100146,P45452,IC50,=,26.0,nM,S(=O)(=O)(N1C(CN(c2c(C1)cccc2)C(=O)CCc1ccccc1)C(=O)NO)c1ccc(cc1)OC,mmp13
5,CHEMBL100273,P45452,IC50,=,1995.26,nM,S(=O)(=O)(N(C[C@@H]([C@H](C(=O)N(C)C)CC(C)C)C(=O)NO)C)C,mmp13
6,CHEMBL100273,P45452,IC50,=,2000.0,nM,S(=O)(=O)(N(C[C@@H]([C@H](C(=O)N(C)C)CC(C)C)C(=O)NO)C)C,mmp13
7,CHEMBL100280,P45452,IC50,=,14.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN1CCOCC1)C)c1ccc(cc1)OC,mmp13
8,CHEMBL100512,P45452,IC50,=,12.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN1CCN(CC1)C)C)c1ccc(cc1)OC,mmp13
9,CHEMBL100564,P45452,IC50,=,6.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN1C(C(=O)OC)CCC1)C)c1ccc(cc1)OC,mmp13
10,CHEMBL100570,P45452,Ki,=,55.0,nM,c1(ccc(cc1)OC)c1ccc(cc1)CN1S(=O)(=O)CCC1C(=O)NO,mmp13
11,CHEMBL100570,P45452,Ki,=,55.0,nM,c1(ccc(cc1)OC)c1ccc(cc1)CN1S(=O)(=O)CCC1C(=O)NO,mmp13
12,CHEMBL100570,P45452,Ki,=,55.0,nM,c1(ccc(cc1)OC)c1ccc(cc1)CN1S(=O)(=O)CCC1C(=O)NO,mmp13
13,CHEMBL100584,P45452,IC50,=,67.0,nM,n1n(c(=O)c2c(n1)cccc2)CCC(C(=O)NO)COCCc1ccc(c2ccc(cc2)Cl)cc1,mmp13
14,CHEMBL100754,P45452,Ki,=,206.0,nM,S1(=O)(=O)N(C(C(=O)NO)CC1)Cc1ccc(c2ccccc2)cc1,mmp13
15,CHEMBL100777,P45452,IC50,=,3.0,nM,S(=O)(=O)(N(c1c(cc(cc1CN1CCN(CC1)C)c1cc2c(cc1)cccc2)C(=O)NO)C)c1ccc(cc1)OC,mmp13
16,CHEMBL100805,P45452,IC50,=,65.0,nM,n1(c(=O)[nH]c2c(c1=O)cccc2)CCC(C(=O)NO)COc1ccc(c2ccccc2)cc1,mmp13
17,CHEMBL100950,P45452,IC50,=,11.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1C)Cc1ccc(CN(C)C)cc1)c1ccc(cc1)OC,mmp13
18,CHEMBL101121,P45452,IC50,=,7.0,nM,N1(C(=O)c2c(C1=O)cccc2)CCC(C(=O)NO)COc1ccc(c2ccccc2)cc1,mmp13
19,CHEMBL101210,P45452,IC50,=,6.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1CN1CCN(C(=O)OC(C)(C)C)CC1)Br)C)c1ccc(cc1)OC,mmp13
20,CHEMBL101413,P45452,IC50,=,43.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1Cn1cncc1)C)c1ccc(cc1)OC,mmp13
21,CHEMBL101612,P45452,IC50,=,0.7,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1CN1CCN(CC1)C)Br)C)c1ccc(Oc2ccc(Cl)cc2)cc1,mmp13
22,CHEMBL101789,P45452,Ki,<,5.0,nM,S1(=O)(=O)N([C@@H](C(=O)NO)CCC1)Cc1ccc(c2ccc(cc2)Cl)cc1,mmp13
23,CHEMBL10180,P45452,IC50,=,89.0,nM,S(=O)(=O)(NC(C(=O)O)CC#Cc1ccccc1)c1ccc(C#Cc2ccc(cc2)C)cc1,mmp13
24,CHEMBL101864,P45452,IC50,=,5.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cc(cc1CN1CCN(CC1)C)Br)C)c1ccc(cc1)OC,mmp13
25,CHEMBL10193,P45452,IC50,>,10000.0,nM,S(=O)(=O)(NC(C(=O)O)CC#CCOC)c1ccc(NC(=O)N2CCOCC2)cc1,mmp13
26,CHEMBL101981,P45452,IC50,=,84.0,nM,S(=O)(=O)(N(c1c(C(=O)NO)cccc1CN(CC)CC)C)c1ccc(cc1)OC,mmp13
27,CHEMBL102057,P45452,IC50,=,4.0,nM,S(=O)(=O)(N(c1c(cc(cc1CN1CCN(CC1)C)c1ccc(OC(F)(F)F)cc1)C(=O)NO)C)c1ccc(cc1)OC,mmp13
28,CHEMBL102415,P45452,IC50,=,5.5,nM,S(=O)(=O)(N1[C@H](C(C(C1)(C)C)CSCc1ccccc1)C(=O)NO)c1ccc(cc1)OC,mmp13
29,CHEMBL102438,P45452,IC50,=,0.7,nM,S(=O)(=O)(N(C(C(=O)NO)CCSCc1ccccc1)CC(=O)NCc1ccc(cc1)OC)c1ccc(cc1)OC,mmp13
