,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,Q02750,Residual Activity,=,110.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mp2k1
1,CHEMBL10,Q02750,Residual Activity,=,113.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mp2k1
2,CHEMBL10,Q02750,Ki,>,3162.28,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mp2k1
3,CHEMBL10,Q02750,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mp2k1
4,CHEMBL10,Q02750,Activity,=,85.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mp2k1
5,CHEMBL10,Q02750,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,mp2k1
6,CHEMBL100473,Q02750,IC50,=,500.0,nM,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,mp2k1
7,CHEMBL101253,Q02750,Ki,>,1995.26,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mp2k1
8,CHEMBL101253,Q02750,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mp2k1
9,CHEMBL101253,Q02750,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,mp2k1
10,CHEMBL101311,Q02750,Ki,>,3162.28,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,mp2k1
11,CHEMBL101683,Q02750,Residual Activity,=,108.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,mp2k1
12,CHEMBL101683,Q02750,Residual Activity,=,103.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,mp2k1
13,CHEMBL101804,Q02750,Inhibition,=,0.75,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,mp2k1
14,CHEMBL101804,Q02750,Inhibition,=,-0.04,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,mp2k1
