,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100113,P29475,IC50,=,50000.0,nM,c12c(nc(nc1O)N)NCCN2/C(=N/c1ccccc1)/S,nos1
1,CHEMBL100285,P29475,IC50,=,44000.0,nM,C1(N=N1)(C(F)(F)F)c1ccc(C(=O)OCc2nc3c(nc(nc3O)N)nc2)cc1,nos1
2,CHEMBL100524,P29475,Ki,=,30400.0,nM,[N+](=O)(N/C(=N/CCC[C@@H](C(=O)N[C@H](C(=O)N)CCN)NC(=O)C)/N)[O-],nos1
3,CHEMBL100658,P29475,IC50,=,40000.0,nM,c12c(nc(nc2ncc(n1)c1ccc(cc1)OC)N)N(CC)CC,nos1
4,CHEMBL100659,P29475,IC50,=,34720.0,nM,c12c(nc(nc2ncc(n1)c1ccc(cc1)OC)N)N(Cc1ccccc1)Cc1ccccc1,nos1
5,CHEMBL100659,P29475,IC50,=,4000.0,nM,c12c(nc(nc2ncc(n1)c1ccc(cc1)OC)N)N(Cc1ccccc1)Cc1ccccc1,nos1
6,CHEMBL100716,P29475,IC50,=,9280.0,nM,c12c(nc(nc1NCC(N2)c1ccc(cc1)OC)N)N(CCC)CCC,nos1
7,CHEMBL100716,P29475,IC50,=,34000.0,nM,c12c(nc(nc1NCC(N2)c1ccc(cc1)OC)N)N(CCC)CCC,nos1
8,CHEMBL100761,P29475,Ki,=,7300.0,nM,[N+](=O)(N/C(=N/CCC[C@@H](C(=O)N([C@H](C(=O)N)CCCCN)C)N)/N)[O-],nos1
9,CHEMBL100766,P29475,IC50,=,28000.0,nM,c12c(nc(nc2O)N)NCC(N1C(=O)c1ccc(N=[N+]=[N-])cc1)COC(=O)c1ccc(N=[N+]=[N-])cc1,nos1
10,CHEMBL100785,P29475,IC50,=,40000.0,nM,c12c(nc(nc1O)N)NCC(N2)CS(=O)(=O)C,nos1
11,CHEMBL100930,P29475,IC50,=,34000.0,nM,c12c(nc(nc2ncc(n1)c1ccc(cc1)OC)N)N1CCOCC1,nos1
12,CHEMBL100932,P29475,IC50,=,74000.0,nM,c12c(nc(nc2ncc(n1)c1ccc(cc1)OC)N)N(C)C,nos1
13,CHEMBL101037,P29475,IC50,=,42000.0,nM,c1(nc2c(c(n1)O)nc(cn2)c1ccc(N=[N+]=[N-])cc1)NC(=O)C(C)C,nos1
14,CHEMBL101042,P29475,Ki,=,4600.0,nM,[N+](=O)(N/C(=N/CCC[C@@H](C(=O)N([C@H](C(=O)N)CCCN)C)N)/N)[O-],nos1
15,CHEMBL101062,P29475,IC50,=,2000.0,nM,c12c(nc(nc2ncc(n1)c1cc(c(cc1)OC)OC)N)N(Cc1ccccc1)Cc1ccccc1,nos1
16,CHEMBL101104,P29475,IC50,=,42000.0,nM,c12c(nc(nc1NCC(N2)c1ccc(cc1)OC)N)N1CCCCC1,nos1
17,CHEMBL101107,P29475,IC50,=,46000.0,nM,n1c2c(c(nc1N)O)nc(cn2)c1ccc(N=[N+]=[N-])cc1,nos1
18,CHEMBL101214,P29475,Ki,=,30600.0,nM,[N+](=O)(N/C(=N/CCC[C@@H](C(=O)N(CC(=O)N)CCCN)N)/N)[O-],nos1
19,CHEMBL101216,P29475,IC50,=,172000.0,nM,c12c(nc(nc2O)N)NCC(N1C(=O)c1ccccc1)COC(=O)c1ccccc1,nos1
20,CHEMBL101266,P29475,IC50,>,50000.0,nM,c1(nc2c(o1)ccc(c2)F)O,nos1
21,CHEMBL101267,P29475,IC50,=,63000.0,nM,n1c2c(c(nc1N)O)nc(cn2)COc1ccccc1,nos1
22,CHEMBL101399,P29475,IC50,=,129300.0,nM,c12c(nc(nc2ncc(n1)c1ccccc1)N)N(Cc1ccccc1)Cc1ccccc1,nos1
23,CHEMBL101399,P29475,IC50,=,3000.0,nM,c12c(nc(nc2ncc(n1)c1ccccc1)N)N(Cc1ccccc1)Cc1ccccc1,nos1
24,CHEMBL101405,P29475,IC50,=,30000.0,nM,c12c(nc(nc1N)N)NCC(N2)COCC,nos1
25,CHEMBL101439,P29475,IC50,=,50000.0,nM,c1(nc2c(o1)ccc(c2)C)O,nos1
26,CHEMBL101450,P29475,IC50,=,30000.0,nM,c12c(nc(nc2ncc(n1)c1ccccc1)N)N1CCCCC1,nos1
27,CHEMBL101494,P29475,IC50,=,81000.0,nM,c12c(nc(nc1O)N)NCC(N2)COCCCCCCCCCC,nos1
28,CHEMBL101495,P29475,IC50,>,500000.0,nM,c12c(nc(nc2O)N)NCCN1C(=O)c1ccccc1,nos1
29,CHEMBL101495,P29475,IC50,=,90000.0,nM,c12c(nc(nc2O)N)NCCN1C(=O)c1ccccc1,nos1
30,CHEMBL101513,P29475,IC50,=,75000.0,nM,c12c(nc(nc2ncc(n1)c1ccc(cc1)C)N)N(C)C,nos1
31,CHEMBL101527,P29475,IC50,=,42000.0,nM,C1(N=N1)(C(F)(F)F)c1ccc(C(=O)OCC2Nc3c(nc(nc3O)N)NC2)cc1,nos1
32,CHEMBL101541,P29475,IC50,=,180000.0,nM,c1nc2nc(N)[nH]c(=O)c2nc1CO,nos1
33,CHEMBL101565,P29475,IC50,=,7300.0,nM,c12c(nc(nc1O)N)NCC(N2)c1ccccc1,nos1
34,CHEMBL101598,P29475,IC50,=,94000.0,nM,c1(c2c(nc(n1)NC(=O)C(C)C)nc(c(n2)c1ccccc1)c1ccccc1)NC(=O)C(C)C,nos1
35,CHEMBL101620,P29475,IC50,=,180000.0,nM,n1c(c2c(nc1N)ncc(n2)COC(=O)C(NC(=O)OCc1ccccc1)Cc1ccccc1)N,nos1
36,CHEMBL101738,P29475,IC50,=,39000.0,nM,c12c(nc(nc2ncc(n1)c1cc(c(cc1)OC)OC)N)N(CCC)CCC,nos1
37,CHEMBL101766,P29475,Ki,=,2400.0,nM,[N+](=O)(N/C(=N/CCC[C@@H](C(=O)N([C@H](C(=O)N)CCN)C)N)/N)[O-],nos1
38,CHEMBL101879,P29475,IC50,=,10560.0,nM,c12c(nc(nc1NCC(N2)c1ccc(cc1)Cl)N)N1CCCCC1,nos1
39,CHEMBL101879,P29475,IC50,=,13000.0,nM,c12c(nc(nc1NCC(N2)c1ccc(cc1)Cl)N)N1CCCCC1,nos1
40,CHEMBL101885,P29475,IC50,=,22350.0,nM,c12c(nc(nc1O)N)NCC1N2C(=O)OC1,nos1
41,CHEMBL101885,P29475,IC50,=,40000.0,nM,c12c(nc(nc1O)N)NCC1N2C(=O)OC1,nos1
42,CHEMBL101926,P29476,IC50,=,1586000.0,nM,C(=N\CCC[C@H](C(=O)O)N)(\N)/NCc1ncc[nH]1,nos1
43,CHEMBL102099,P29475,IC50,=,11000.0,nM,n1c(nc2c(c1OCCCCC)nc(SCC(=O)c1ccccc1)cn2)N,nos1
44,CHEMBL102100,P29475,IC50,=,8000.0,nM,n1c(nc2c(c1OCCCCC)nc(C#Cc1ccccc1)cn2)N,nos1
45,CHEMBL102198,P29475,IC50,=,190000.0,nM,c12c(nc(nc1O)NC(=O)C(C)C)NCCN2C(=O)CCc1ccc(C(=O)c2ccccc2)cc1,nos1
46,CHEMBL1037,P29476,Activity,<,0.1,uM,O1C2(OCC1CNC(=N)N)CCCCC2,nos1
47,CHEMBL103896,P29476,IC50,=,1494000.0,nM,n1c([nH]cc1)CCN/C(=N/CCC[C@H](C(=O)O)N)/N,nos1
