,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100637,P03468,IC50,=,190000.0,nM,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)NC,nram
1,CHEMBL100637,P03474,IC50,=,80000.0,nM,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)NC,nram
2,CHEMBL100677,P03468,IC50,=,2400.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)N)C(=O)O,nram
3,CHEMBL100677,P03468,IC50,=,2400.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)N)C(=O)O,nram
4,CHEMBL100677,P03474,IC50,=,61000.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)N)C(=O)O,nram
5,CHEMBL100677,P03474,IC50,=,61000.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)N)C(=O)O,nram
6,CHEMBL100991,P03468,IC50,=,25.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)NC(=N)N)C(=O)O,nram
7,CHEMBL100991,P03468,IC50,=,25.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)NC(=N)N)C(=O)O,nram
8,CHEMBL100991,P03474,IC50,=,11000.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)NC(=N)N)C(=O)O,nram
9,CHEMBL100991,P03474,IC50,=,11000.0,nM,C1(=C[C@@H]([C@H]([C@@H](O1)C(=O)N(C)C)NC(=O)C)NC(=N)N)C(=O)O,nram
10,CHEMBL101842,P03468,IC50,=,4.0,nM,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)N(CCC)CCCC,nram
11,CHEMBL101842,P03468,IC50,=,0.005,ug.mL-1,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)N(CCC)CCCC,nram
12,CHEMBL101842,P03468,IC50,=,4.0,nM,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)N(CCC)CCCC,nram
13,CHEMBL101842,P03474,IC50,>,1.0,ug.mL-1,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)N(CCC)CCCC,nram
14,CHEMBL101842,P03474,IC50,=,950.0,nM,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)N(CCC)CCCC,nram
15,CHEMBL101842,P03474,IC50,=,1000.0,nM,[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N)C(=O)O)C(=O)N(CCC)CCCC,nram
16,CHEMBL1095053,P03468,logIC50,=,0.84,Unspecified,O1/C(=C\2/C=CC(=CC2)O)/C(=O)c2c1cc(cc2O)O,nram
