,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL101849,P14555,IC50,=,230.0,nM,N(c1cc(cc(c1)OCCCCCCCCCC)OCCCCCCCCCC)(CC(=O)O)CC(=O)O,pa2ga
1,CHEMBL109073,P14555,Inhibition,=,74.6,%,C1(=CC(=O)OC1O)C1OC(C(=CC1)C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)O,pa2ga
2,CHEMBL109073,P14555,IC50,=,900.0,nM,C1(=CC(=O)OC1O)C1OC(C(=CC1)C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)O,pa2ga
3,CHEMBL109301,P14555,Inhibition,=,63.1,%,C1(=CC(=O)OC1O)C1OCC(=CC1)C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,pa2ga
4,CHEMBL109301,P14555,IC50,=,4200.0,nM,C1(=CC(=O)OC1O)C1OCC(=CC1)C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,pa2ga
5,CHEMBL1094359,P14555,IC50,=,290.0,nM,c1(ccc(cc1)Cc1noc(=O)[nH]1)NC(=O)N1CCN(C(=O)NCCCCCCCCCCCCCCCCCC)CC1,pa2ga
6,CHEMBL1094504,P14555,IC50,=,4880.0,nM,C1CN(CCN1C(=O)c1ccc(cc1)Cc1noc(=O)[nH]1)C(=O)NCCCCCCCCCCCCCC,pa2ga
7,CHEMBL1094827,P14555,IC50,=,580.0,nM,c1(ccc(cc1)Cc1noc(=O)[nH]1)C(=O)N1CCN(CC1C)CCCCCCCCCCCCCCCCCC,pa2ga
8,CHEMBL1094836,P14555,IC50,>,10000.0,nM,C(CCCCCCCCCCCCC)Oc1ccc(N2CCN(CC2)Cc2ccc(cc2)Cc2noc(=O)[nH]2)cc1,pa2ga
9,CHEMBL1094837,P14555,IC50,=,3250.0,nM,C(CCCCCCCCC)Oc1ccc(N2CCN(CC2)C(=O)c2ccc(cc2)Cc2noc(=O)[nH]2)cc1,pa2ga
