,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL105765,P09874,IC50,=,250.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCCCCC(=O)NCC(=O)N1CCN(c2ncccn2)CC1,parp1
1,CHEMBL105925,P09874,IC50,=,450.0,nM,[nH]1c(=O)n(c2c(c1=O)CCCC2)CCC(=O)NCC(=O)c1ccccc1,parp1
2,CHEMBL105995,P09874,IC50,=,45.0,nM,n1c2c3c(c(nc2ccc1N1CCN(CC1)C)O)cccc3,parp1
3,CHEMBL106154,P09874,IC50,=,180.0,nM,c1ccc2c(c1)c(=O)[nH]c1c2ncc(c1)N,parp1
4,CHEMBL106154,P09874,IC50,=,180.0,nM,c1ccc2c(c1)c(=O)[nH]c1c2ncc(c1)N,parp1
5,CHEMBL106298,P09874,IC50,=,247.0,nM,n1c2c3c(c(nc2ccc1N1CC[N+](CC1)([O-])C)O)cccc3,parp1
6,CHEMBL106734,P09874,IC50,=,209.0,nM,c1(nc2c(c3c1cccc3)nc(N)cc2)O,parp1
7,CHEMBL107260,P09874,IC50,=,90.0,nM,[nH]1c(=O)n(c2c(c1=O)CCCC2)CCC(=O)NCC(=O)N1CCN(c2ncccn2)CC1,parp1
8,CHEMBL107260,P09874,EC50,=,300.0,nM,[nH]1c(=O)n(c2c(c1=O)CCCC2)CCC(=O)NCC(=O)N1CCN(c2ncccn2)CC1,parp1
9,CHEMBL107284,P09874,IC50,=,58.0,nM,n1c2c3c(c(nc2ccc1N1CCNCC1)O)cccc3.S(=O)(=O)(O)C,parp1
10,CHEMBL107601,P09874,IC50,=,20.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)N1CCN(c2ncccn2)CC1,parp1
11,CHEMBL107601,P09874,IC50,=,20.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)N1CCN(c2ncccn2)CC1,parp1
12,CHEMBL107601,P09874,EC50,=,100.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)N1CCN(c2ncccn2)CC1,parp1
13,CHEMBL107616,P09874,IC50,=,70.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)c1cc(c2ccccc2)ccc1,parp1
14,CHEMBL107616,P09874,EC50,=,2000.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)c1cc(c2ccccc2)ccc1,parp1
15,CHEMBL107659,P09874,IC50,=,51.0,nM,N1(c2nc3c4c(c(nc3cc2)O)cccc4)[C@@H]2C[C@@H](N(C2)C)C1.S(=O)(=O)(O)C,parp1
16,CHEMBL107709,P09874,IC50,=,339.0,nM,c1(nc2c(c3c1cccc3)nc(NCCN1CCOCC1)cc2)O,parp1
17,CHEMBL107738,P09874,IC50,=,14000.0,nM,c1(nc2c(c3c1nccc3)cccc2)O,parp1
18,CHEMBL107764,P09874,IC50,=,12.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)c1ccc(cc1)c1cnccc1,parp1
19,CHEMBL107764,P09874,EC50,=,200.0,nM,[nH]1c(=O)n(c2c(c1=O)CSCC2)CCC(=O)NCC(=O)c1ccc(cc1)c1cnccc1,parp1
